id,name,english,source,rarity
0,无,None,mhxx-save-format-community,0
2,皮制服饰,Leather Vest,mhxx-dex-1.0,1
7,锁甲服饰,Chainmail Vest,mhxx-dex-1.0,1
12,贝鲁纳铠甲,Bherna Mail,mhxx-dex-1.0,1
17,狩猎铠甲,Hunting Mail,mhxx-dex-1.0,1
22,狩猎轻甲,Hunting Vest,mhxx-dex-1.0,1
27,毛皮外套,Mafumofu Jacket,mhxx-dex-1.0,1
32,结云之道服,Yukumo Dogi,mhxx-dex-1.0,1
36,石架服装,Loc Lac Shawl,mhxx-dex-1.0,1
40,猎人铠甲,Hunter's Mail,mhxx-dex-1.0,1
45,猎人轻甲,Hunter's Vest,mhxx-dex-1.0,1
50,骨制铠甲,Bone Mail,mhxx-dex-1.0,1
55,骨制轻甲,Bone Vest,mhxx-dex-1.0,1
62,混沌的铠,Chaos Plate,mhxx-dex-1.0,1
64,混沌的衣,Chaos Brigandine,mhxx-dex-1.0,1
78,狗龙铠甲,Jaggi Mail,mhxx-dex-1.0,1
83,狗龙轻甲,Jaggi Vest,mhxx-dex-1.0,1
88,跳狗龙铠甲,Maccao Mail,mhxx-dex-1.0,1
93,跳狗龙轻甲,Maccao Vest,mhxx-dex-1.0,1
98,蓝速龙铠甲,Velociprey Mail,mhxx-dex-1.0,1
103,蓝速龙轻甲,Velociprey Vest,mhxx-dex-1.0,1
108,白速龙铠甲,Giaprey Mail,mhxx-dex-1.0,1
113,白速龙轻甲,Giaprey Vest,mhxx-dex-1.0,1
118,黄速龙铠甲,Genprey Mail,mhxx-dex-1.0,1
123,黄速龙轻甲,Genprey Vest,mhxx-dex-1.0,1
128,巨蜂铠甲,Vespoid Mail,mhxx-dex-1.0,1
133,巨蜂轻甲,Vespoid Vest,mhxx-dex-1.0,1
138,巨甲虫铠甲,Hornetaur Mail,mhxx-dex-1.0,1
143,巨甲虫轻甲,Hornetaur Vest,mhxx-dex-1.0,1
148,飞甲虫服装,Bnahabra Suit,mhxx-dex-1.0,1
153,飞甲虫服饰,Bnahabra Vest,mhxx-dex-1.0,1
162,蘑菇猪身躯,Mosswine Vest,mhxx-dex-1.0,1
167,硬甲龙铠甲,Rhenoplos Mail,mhxx-dex-1.0,1
172,硬甲龙轻甲,Rhenoplos Vest,mhxx-dex-1.0,1
177,野猪铠甲,Bulldrome Mail,mhxx-dex-1.0,1
182,野猪轻甲,Bulldrome Vest,mhxx-dex-1.0,1
188,青熊兽铠甲,Arzuros Mail,mhxx-dex-1.0,1
193,青熊兽轻甲,Arzuros Vest,mhxx-dex-1.0,1
198,砂龙铠甲,Cephalos Mail,mhxx-dex-1.0,1
203,砂龙轻甲,Cephalos Vest,mhxx-dex-1.0,1
208,勇气服饰,Derring Jacket,mhxx-dex-1.0,2
213,合金铠甲,Alloy Mail,mhxx-dex-1.0,2
218,合金轻甲,Alloy Vest,mhxx-dex-1.0,2
223,战斗铠甲,Battle Mail,mhxx-dex-1.0,2
228,战斗轻甲,Battle Vest,mhxx-dex-1.0,2
233,铸铁铠甲,Ingot Mail,mhxx-dex-1.0,2
238,铸铁轻甲,Ingot Vest,mhxx-dex-1.0,2
243,矿石铠甲,High Metal Mail,mhxx-dex-1.0,2
248,矿石轻甲,High Metal Vest,mhxx-dex-1.0,2
255,花瓣枝干,Melahoa Jacket,mhxx-dex-1.0,2
260,花瓣枝部,Melahoa Stalk,mhxx-dex-1.0,2
