id,name,english,source,rarity
0,无,None,mhxx-romfs-game-array,0
1,皮制长裤,Leather Trousers,mhxx-romfs-game-array+mhxx-dex-1.0+mhxx-save-format-community,1
2,锁甲长裤,Chainmail Trousers,mhxx-romfs-game-array+mhxx-dex-1.0+mhxx-save-format-community,1
3,贝鲁纳护腿,Bherna Greaves,mhxx-romfs-game-array+mhxx-dex-1.0+mhxx-save-format-community,1
4,狩猎护腿,Hunting Greaves,mhxx-romfs-game-array+mhxx-dex-1.0+mhxx-save-format-community,1
5,狩猎胫甲,Hunting Leggings,mhxx-romfs-game-array+mhxx-dex-1.0+mhxx-save-format-community,1
6,毛皮靴,Mafumofu Boots,mhxx-romfs-game-array+mhxx-dex-1.0+mhxx-save-format-community,1
7,结云之下裳,Yukumo Hakama,mhxx-romfs-game-array+mhxx-dex-1.0+mhxx-save-format-community,1
8,石架靴,Loc Lac Boots,mhxx-romfs-game-array+mhxx-dex-1.0+mhxx-save-format-community,1
9,猎人护腿,Hunter's Greaves,mhxx-romfs-game-array+mhxx-dex-1.0+mhxx-save-format-community,1
10,猎人胫甲,Hunter's Leggings,mhxx-romfs-game-array+mhxx-dex-1.0+mhxx-save-format-community,1
11,骨制护腿,Bone Greaves,mhxx-romfs-game-array+mhxx-dex-1.0+mhxx-save-format-community,1
12,骨制胫甲,Bone Leggings,mhxx-romfs-game-array+mhxx-dex-1.0+mhxx-save-format-community,1
17,猎手皮护腿,Trapper's Greaves,mhxx-romfs-game-array+mhxx-dex-1.0+mhxx-save-format-community,1
18,猎手皮长靴,Trapper's Boots,mhxx-romfs-game-array+mhxx-dex-1.0+mhxx-save-format-community,1
19,跳狗龙王皮护腿,Maccao Shinguards,mhxx-romfs-game-array+mhxx-dex-1.0+mhxx-save-format-community,1
20,跳狗龙王皮长靴,Maccao Boots,mhxx-romfs-game-array+mhxx-dex-1.0+mhxx-save-format-community,1
21,狗龙王皮护腿,Jaggi Shinguards,mhxx-romfs-game-array+mhxx-dex-1.0+mhxx-save-format-community,1
22,狗龙王皮长靴,Jaggi Boots,mhxx-romfs-game-array+mhxx-dex-1.0+mhxx-save-format-community,1
23,狗龙护腿,Jaggi Greaves,mhxx-romfs-game-array+mhxx-dex-1.0+mhxx-save-format-community,1
24,狗龙胫甲,Jaggi Leggings,mhxx-romfs-game-array+mhxx-dex-1.0+mhxx-save-format-community,1
25,跳狗龙护腿,Maccao Greaves,mhxx-romfs-game-array+mhxx-dex-1.0+mhxx-save-format-community,1
26,跳狗龙胫甲,Maccao Leggings,mhxx-romfs-game-array+mhxx-dex-1.0+mhxx-save-format-community,1
27,蓝速龙护腿,Velociprey Greaves,mhxx-romfs-game-array+mhxx-dex-1.0+mhxx-save-format-community,1
28,蓝速龙胫甲,Velociprey Leggings,mhxx-romfs-game-array+mhxx-dex-1.0+mhxx-save-format-community,1
29,白速龙护腿,Giaprey Greaves,mhxx-romfs-game-array+mhxx-dex-1.0+mhxx-save-format-community,1
30,白速龙胫甲,Giaprey Leggings,mhxx-romfs-game-array+mhxx-dex-1.0+mhxx-save-format-community,1
31,黄速龙护腿,Genprey Greaves,mhxx-romfs-game-array+mhxx-dex-1.0+mhxx-save-format-community,1
32,黄速龙胫甲,Genprey Leggings,mhxx-romfs-game-array+mhxx-dex-1.0+mhxx-save-format-community,1
33,巨蜂护腿,Vespoid Greaves,mhxx-romfs-game-array+mhxx-dex-1.0+mhxx-save-format-community,1
34,巨蜂胫甲,Vespoid Leggings,mhxx-romfs-game-array+mhxx-dex-1.0+mhxx-save-format-community,1
35,巨甲虫护腿,Hornetaur Greaves,mhxx-romfs-game-array+mhxx-dex-1.0+mhxx-save-format-community,1
