id,name,english,source,slot_cost
0,无,None,mhxx-save-format-community,0
2638,耐毒珠【1】,Antidote Jwl 1,mhxx-romfs-game-array+mhxx-dex-1.0+mhxx-save-format-community+mhxx-romfs-native-table,1
2639,耐毒珠【2】,Antidote Jwl 2,mhxx-romfs-game-array+mhxx-dex-1.0+mhxx-save-format-community+mhxx-romfs-native-table,2
2640,耐麻珠【1】,Paralysis Jwl 1,mhxx-romfs-game-array+mhxx-dex-1.0+mhxx-save-format-community+mhxx-romfs-native-table,1
2641,耐麻珠【2】,Paralysis Jwl 2,mhxx-romfs-game-array+mhxx-dex-1.0+mhxx-save-format-community+mhxx-romfs-native-table,2
2642,耐眠珠【1】,Pep Jwl 1,mhxx-romfs-game-array+mhxx-dex-1.0+mhxx-save-format-community+mhxx-romfs-native-table,1
2643,耐眠珠【2】,Pep Jwl 2,mhxx-romfs-game-array+mhxx-dex-1.0+mhxx-save-format-community+mhxx-romfs-native-table,2
2644,耐绝珠【1】,Steadfast Jwl 1,mhxx-romfs-game-array+mhxx-dex-1.0+mhxx-save-format-community+mhxx-romfs-native-table,1
2645,制绝珠【1】,Standfast Jwl 1,mhxx-romfs-game-array+mhxx-dex-1.0+mhxx-save-format-community+mhxx-romfs-native-table,1
2646,防音珠【1】,Earplug Jwl 1,mhxx-romfs-game-array+mhxx-dex-1.0+mhxx-save-format-community+mhxx-romfs-native-table,1
2647,防音珠【3】,Earplug Jwl 3,mhxx-romfs-game-array+mhxx-dex-1.0+mhxx-save-format-community+mhxx-romfs-native-table,3
2648,防风珠【1】,Wind Res Jwl 1,mhxx-romfs-game-array+mhxx-dex-1.0+mhxx-save-format-community+mhxx-romfs-native-table,1
2649,防风珠【2】,Wind Res Jwl 2,mhxx-romfs-game-array+mhxx-dex-1.0+mhxx-save-format-community+mhxx-romfs-native-table,2
2650,耐震珠【1】,Footing Jwl 1,mhxx-romfs-game-array+mhxx-dex-1.0+mhxx-save-format-community+mhxx-romfs-native-table,1
2651,抗震珠【1】,Tectonic Jwl 1,mhxx-romfs-game-array+mhxx-dex-1.0+mhxx-save-format-community+mhxx-romfs-native-table,1
2652,耐达摩珠【1】,Bind Jwl 1,mhxx-romfs-game-array+mhxx-dex-1.0+mhxx-save-format-community+mhxx-romfs-native-table,1
2653,抗达摩珠【1】,Shackle Jwl 1,mhxx-romfs-game-array+mhxx-dex-1.0+mhxx-save-format-community+mhxx-romfs-native-table,1
2654,耐暑珠【1】,Heat Res Jwl 1,mhxx-romfs-game-array+mhxx-dex-1.0+mhxx-save-format-community+mhxx-romfs-native-table,1
2655,耐寒珠【1】,Cold Res Jwl 1,mhxx-romfs-game-array+mhxx-dex-1.0+mhxx-save-format-community+mhxx-romfs-native-table,1
2656,北风珠【1】,Polar Jwl 1,mhxx-romfs-game-array+mhxx-dex-1.0+mhxx-save-format-community+mhxx-romfs-native-table,1
2657,北风珠【3】,Polar Jwl 3,mhxx-romfs-game-array+mhxx-dex-1.0+mhxx-save-format-community+mhxx-romfs-native-table,3
2658,南风珠【1】,Solar Jwl 1,mhxx-romfs-game-array+mhxx-dex-1.0+mhxx-save-format-community+mhxx-romfs-native-table,1
2659,南风珠【3】,Solar Jwl 3,mhxx-romfs-game-array+mhxx-dex-1.0+mhxx-save-format-community+mhxx-romfs-native-table,3
2660,耐盗珠【1】,Safe Jwl 1,mhxx-romfs-game-array+mhxx-dex-1.0+mhxx-save-format-community+mhxx-romfs-native-table,1
2661,耐防珠【1】,Def Lock Jwl 1,mhxx-romfs-game-array+mhxx-dex-1.0+mhxx-save-format-community+mhxx-romfs-native-table,1
2662,抗狂珠【1】,Sane Jwl 1,mhxx-romfs-game-array+mhxx-dex-1.0+mhxx-save-format-community+mhxx-romfs-native-table,1
2663,抗狂珠【3】,Sane Jwl 3,mhxx-romfs-game-array+mhxx-dex-1.0+mhxx-save-format-community+mhxx-romfs-native-table,3
2664,菌学珠【1】,Biology Jwl 1,mhxx-romfs-game-array+mhxx-dex-1.0+mhxx-save-format-community+mhxx-romfs-native-table,1
2665,菌究珠【1】,Microbio Jwl 1,mhxx-romfs-game-array+mhxx-dex-1.0+mhxx-save-format-community+mhxx-romfs-native-table,1
2666,抗伤珠【1】,Staunch Jwl 1,mhxx-romfs-game-array+mhxx-dex-1.0+mhxx-save-format-community+mhxx-romfs-native-table,1
2667,攻击珠【1】,Attack Jwl 1,mhxx-romfs-game-array+mhxx-dex-1.0+mhxx-save-format-community+mhxx-romfs-native-table,1
2668,攻击珠【2】,Attack Jwl 2,mhxx-romfs-game-array+mhxx-dex-1.0+mhxx-save-format-community+mhxx-romfs-native-table,2
2669,攻击珠【3】,Attack Jwl 3,mhxx-romfs-game-array+mhxx-dex-1.0+mhxx-save-format-community+mhxx-romfs-native-table,3
2670,防御珠【1】,Defense Jwl 1,mhxx-romfs-game-array+mhxx-dex-1.0+mhxx-save-format-community+mhxx-romfs-native-table,1
2671,防御珠【2】,Defense Jwl 2,mhxx-romfs-game-array+mhxx-dex-1.0+mhxx-save-format-community+mhxx-romfs-native-table,2
2672,体力珠【1】,Vitality Jwl 1,mhxx-romfs-game-array+mhxx-dex-1.0+mhxx-save-format-community+mhxx-romfs-native-table,1
2673,耐火珠【1】,Fire Res Jwl 1,mhxx-romfs-game-array+mhxx-dex-1.0+mhxx-save-format-community+mhxx-romfs-native-table,1
2674,制火珠【1】,Nul-Fire Jwl 1,mhxx-romfs-game-array+mhxx-dex-1.0+mhxx-save-format-community+mhxx-romfs-native-table,1
2675,耐水珠【1】,Water Res Jwl 1,mhxx-romfs-game-array+mhxx-dex-1.0+mhxx-save-format-community+mhxx-romfs-native-table,1
