domain,equipment_type,variant,value,name,english,source
weapon_special,"14,20",phial,1,强击瓶,Power,mhxx-dex-1.0
weapon_special,"14,20",phial,2,麻痹瓶,Para,mhxx-dex-1.0
weapon_special,"14,20",phial,3,毒瓶,Poison,mhxx-dex-1.0
weapon_special,"14,20",phial,4,灭龙瓶,Dragon,mhxx-dex-1.0
weapon_special,"14,20",phial,5,强属性瓶,Element,mhxx-dex-1.0
weapon_special,"14,20",phial,6,减气瓶,Exhaust,mhxx-dex-1.0
weapon_special,"14,20",phial,7,榴弹瓶,Impact,mhxx-dex-1.0
weapon_special,16,arc_type,1,放射型,Wide,mhxx-dex-1.0
weapon_special,16,arc_type,2,集中型,Focus,mhxx-dex-1.0
weapon_special,16,arc_type,3,爆裂型,Blast,mhxx-dex-1.0
weapon_special,16,arc_type,4,刚射型,Power,mhxx-dex-1.0
weapon_special,"11,12",recoil,1,小,Low,mhxx-dex-1.0
weapon_special,"11,12",recoil,2,较小,Some,mhxx-dex-1.0
weapon_special,"11,12",recoil,3,中,Avg.,mhxx-dex-1.0
weapon_special,"11,12",recoil,4,大,High,mhxx-dex-1.0
weapon_special,"11,12",reload_speed,1,极快,V. Fast,mhxx-dex-1.0
weapon_special,"11,12",reload_speed,2,较快,Abv.Avg,mhxx-dex-1.0
weapon_special,"11,12",reload_speed,3,普通,Average,mhxx-dex-1.0
weapon_special,"11,12",reload_speed,4,较慢,Bel.Avg,mhxx-dex-1.0
weapon_special,"11,12",reload_speed,5,极慢,V. Slow,mhxx-dex-1.0
weapon_special,"11,12",deviation,0,无,-,mhxx-dex-1.0
weapon_special,"11,12",deviation,1,左右/小,LR Mild,mhxx-dex-1.0
weapon_special,"11,12",deviation,2,左右/大,LR Severe,mhxx-dex-1.0
weapon_special,"11,12",deviation,3,左/小,L Mild,mhxx-dex-1.0
weapon_special,"11,12",deviation,4,左/大,L Severe,mhxx-dex-1.0
weapon_special,"11,12",deviation,5,右/小,R Mild,mhxx-dex-1.0
weapon_special,"11,12",deviation,6,右/大,R Severe,mhxx-dex-1.0
weapon_special,18,song_category,1,攻击类,Offensive,mhxx-dex-1.0
weapon_special,18,song_category,2,防御类,Defensive,mhxx-dex-1.0
weapon_special,18,song_category,3,保护类,Protection,mhxx-dex-1.0
weapon_special,18,song_category,4,回复类,Healing,mhxx-dex-1.0
weapon_special,18,song_category,5,自身类,User-only,mhxx-dex-1.0
weapon_special,18,song_category,6,其他类,Other,mhxx-dex-1.0
kinsect,19,damage_type,1,切断,Cutting,mhxx-dex-1.0
kinsect,19,damage_type,2,打击,Blunt,mhxx-dex-1.0
