id,name,english,source
0,无,None,mhxx-save-format-community
1,头甲,Head,mhxx-save-format-community
2,胴甲,Chest,mhxx-save-format-community
3,腕甲,Arms,mhxx-save-format-community
4,腰甲,Waist,mhxx-save-format-community
5,腿甲,Legs,mhxx-save-format-community
6,护石,Talisman,mhxx-save-format-community
7,大剑,Great Sword,mhxx-save-format-community
8,片手剑,Sword and Shield,mhxx-save-format-community
9,锤,Hammer,mhxx-save-format-community
10,长枪,Lance,mhxx-save-format-community
11,轻弩,Light Bowgun,mhxx-save-format-community
12,重弩,Heavy Bowgun,mhxx-save-format-community
13,太刀,Long Sword,mhxx-save-format-community
14,斩击斧,Switch Axe,mhxx-save-format-community
15,铳枪,Gunlance,mhxx-save-format-community
16,弓,Bow,mhxx-save-format-community
17,双剑,Dual Blades,mhxx-save-format-community
18,狩猎笛,Hunting Horn,mhxx-save-format-community
19,操虫棍,Insect Glaive,mhxx-save-format-community
20,盾斧,Charge Blade,mhxx-save-format-community
