id,name,english,source
1,调和书1入门篇,Book of Combos 1,mhxx-dex-1.0
2,调和书2初级篇,Book of Combos 2,mhxx-dex-1.0
3,调和书3中级篇,Book of Combos 3,mhxx-dex-1.0
4,调和书4高级篇,Book of Combos 4,mhxx-dex-1.0
5,调和书5达人篇,Book of Combos 5,mhxx-dex-1.0
6,收纳高手･技之书,Organizer Guide,mhxx-dex-1.0
7,收纳高手･力之书,Pack Rat Guide,mhxx-dex-1.0
8,望远镜,Binoculars,mhxx-dex-1.0
9,回复药,Potion,mhxx-dex-1.0
10,回复药G,Mega Potion,mhxx-dex-1.0
11,营养剂,Nutrients,mhxx-dex-1.0
12,营养剂G,Mega Nutrients,mhxx-dex-1.0
13,解毒药,Antidote,mhxx-dex-1.0
14,活力剂,Immunizer,mhxx-dex-1.0
15,狂奔药,Dash Juice,mhxx-dex-1.0
16,狂奔药G,Mega Dash Juice,mhxx-dex-1.0
17,鬼人药,Demondrug,mhxx-dex-1.0
18,鬼人药G,Mega Demondrug,mhxx-dex-1.0
19,怪力药丸,Might Pill,mhxx-dex-1.0
20,硬化药,Armorskin,mhxx-dex-1.0
21,硬化药G,Mega Armorskin,mhxx-dex-1.0
22,忍耐药丸,Adamant Pill,mhxx-dex-1.0
23,冷饮,Cool Drink,mhxx-dex-1.0
24,热饮,Hot Drink,mhxx-dex-1.0
25,消散剂,Cleanser,mhxx-dex-1.0
26,千里眼之药,Psychoserum,mhxx-dex-1.0
27,汉方药,Herbal Medicine,mhxx-dex-1.0
28,秘药,Max Potion,mhxx-dex-1.0
29,古老秘药,Ancient Potion,mhxx-dex-1.0
30,振奋饮料,Energy Drink,mhxx-dex-1.0
31,生命粉尘,Lifepowder,mhxx-dex-1.0
32,大生命粉尘,Dust of Life,mhxx-dex-1.0
33,狩技饮料,Hunter's Drink,mhxx-dex-1.0
34,增强剂,Catalyst,mhxx-dex-1.0
35,炸药,Gunpowder,mhxx-dex-1.0
36,生命粉,Lifecrystals,mhxx-dex-1.0
37,捕获用麻醉药,Tranquilizer,mhxx-dex-1.0
38,结云温泉蛋,Yukumo Egg,mhxx-dex-1.0
39,丹治亚土豆片,Tanzia Chips,mhxx-dex-1.0
40,力量之护符,Powercharm,mhxx-dex-1.0
41,力量之爪,Powertalon,mhxx-dex-1.0
42,守护之护符,Armorcharm,mhxx-dex-1.0
43,守护之爪,Armortalon,mhxx-dex-1.0
44,烤肉组合,BBQ Spit,mhxx-dex-1.0
45,生肉,Raw Meat,mhxx-dex-1.0
46,毒生肉,Poisoned Meat,mhxx-dex-1.0
47,麻痹生肉,Tinged Meat,mhxx-dex-1.0
48,睡眠生肉,Drugged Meat,mhxx-dex-1.0
49,半生肉,Rare Steak,mhxx-dex-1.0
50,烤熟的肉,Well-done Steak,mhxx-dex-1.0
51,焦糊肉,Burnt Meat,mhxx-dex-1.0
52,冷烤肉,Chilled Meat,mhxx-dex-1.0
53,热烤肉,Hot Meat,mhxx-dex-1.0
54,蘑菇猪肉干,Mosswine Jerky,mhxx-dex-1.0
55,肉中王,Kingmeat,mhxx-dex-1.0
56,砥石,Whetstone,mhxx-dex-1.0
57,破烂十字镐,Old Pickaxe,mhxx-dex-1.0
58,十字镐,Iron Pickaxe,mhxx-dex-1.0
59,十字镐G,Mega Pickaxe,mhxx-dex-1.0
