id,name,english,source,rarity
0,无,None,mhxx-save-format-community,0
2,橡子猫铠甲,F Acorn Mail,mhxx-dex-1.0,1
4,贝鲁纳猫铠甲,F Bherna Mail,mhxx-dex-1.0,1
6,合金猫铠甲,F Alloy Mail,mhxx-dex-1.0,1
8,骨制猫铠甲,F Bone Mail,mhxx-dex-1.0,1
10,狗龙猫铠甲,F Jaggi Mail,mhxx-dex-1.0,1
12,狩猎猫铠甲,F Hunting Mail,mhxx-dex-1.0,2
14,毛皮猫服饰,F Mafumofu Vest,mhxx-dex-1.0,2
16,结云猫道服,F Yukumo Dogi,mhxx-dex-1.0,2
18,变化猫衬衫,F Alta Shirt,mhxx-dex-1.0,2
20,硬甲龙猫铠甲,F Rheno Mail,mhxx-dex-1.0,2
22,飞甲虫猫服装,F Bnaha Suit,mhxx-dex-1.0,2
24,跳狗龙猫铠甲,F Maccao Mail,mhxx-dex-1.0,2
26,蓝速龙猫铠甲,F Velociprey Mail,mhxx-dex-1.0,2
28,野猪王猫服饰,F Bulldrome Vest,mhxx-dex-1.0,2
30,青熊兽猫铠甲,F Arzuros Mail,mhxx-dex-1.0,2
32,黄速龙猫铠甲,F Genprey Mail,mhxx-dex-1.0,2
34,砂龙猫连衣裙,F Cephalos Dress,mhxx-dex-1.0,2
36,猫兽人的石身,F Stone Body,mhxx-dex-1.0,2
38,毒蜂猫宠物服,F Venombee Wings,mhxx-dex-1.0,2
40,美食家猫服装,F Gourmet Suit,mhxx-dex-1.0,2
42,云羊鹿猫服装,F Moofy Suit,mhxx-dex-1.0,2
44,草食龙猫服装,F Aptonoth Suit,mhxx-dex-1.0,2
46,波波猫衣服,F Popo Wear,mhxx-dex-1.0,2
48,丸鸟猫服饰,F Gargwa Vest,mhxx-dex-1.0,2
50,红速龙猫铠甲,F Ioprey Mail,mhxx-dex-1.0,2
52,白兔兽猫铠甲,F Lagombi Mail,mhxx-dex-1.0,2
54,怪鸟猫衣服,F Kut-Ku Wear,mhxx-dex-1.0,2
56,毒怪鸟猫服装,F Gypceros Cloth,mhxx-dex-1.0,2
58,鬼蛙猫兜铠,F Cabra Wrap,mhxx-dex-1.0,2
60,大名盾蟹猫服装,F Daimyo Suit,mhxx-dex-1.0,2
62,水兽猫铠甲,F Ludroth Mail,mhxx-dex-1.0,2
64,白电猫围裙,F Khezu Apron,mhxx-dex-1.0,2
66,潜口龙猫铠甲,F Nibel Mail,mhxx-dex-1.0,2
68,贤者猫服装,F Scholarly Suit,mhxx-dex-1.0,2
70,勇气猫军铠,F Derring Lorica,mhxx-dex-1.0,2
72,雪绒花猫褶裙,F Edel Frills,mhxx-dex-1.0,2
74,克鲁茵猫服装,F Kittendant Suit,mhxx-dex-1.0,2
76,南瓜猫铠甲,F Mosgharl Mail,mhxx-dex-1.0,2
78,首鸣龙猫服装,F Larinoth Suit,mhxx-dex-1.0,2
80,死神猫大衣,F Death Stench Coat,mhxx-dex-1.0,2
82,武者猫装甲,F Marauder Armor,mhxx-dex-1.0,2
84,赤甲兽猫铠甲,F Volvi Mail,mhxx-dex-1.0,2
86,夜鸟猫铠甲,F Malfestio Mail,mhxx-dex-1.0,2
88,雌火龙猫铠甲,F Rathian Mail,mhxx-dex-1.0,2
90,雪狮子猫装束,F Blango Garb,mhxx-dex-1.0,2
92,将军镰蟹猫服装,F Ceanataur Suit,mhxx-dex-1.0,2
94,绞蛇龙猫宽裤,F Naja Sirwal,mhxx-dex-1.0,2
96,迅龙猫铠甲,F Narga Mail,mhxx-dex-1.0,2
98,女仆猫铠甲,F Maiden Mail,mhxx-dex-1.0,3
100,支援者猫铠甲,F Helper Mail,mhxx-dex-1.0,3
102,喵和抚子【花衣】,F Pretty Robe,mhxx-dex-1.0,3
104,混沌的玛奥,F Chaos Skirt,mhxx-dex-1.0,3
106,黄金乡猫铠甲,F El Dora Mail,mhxx-dex-1.0,3
108,机械猫齿轮,F Artian Gear,mhxx-dex-1.0,3
110,黑狼鸟猫衣,F Garuga Robe,mhxx-dex-1.0,3
112,爆锤龙猫铠甲,F Uragaan Mail,mhxx-dex-1.0,3
114,火龙猫铠甲,F Rathalos Mail,mhxx-dex-1.0,3
116,海龙猫铠甲,F Lagia Mail,mhxx-dex-1.0,3
118,电龙猫服装,F Astalos Suit,mhxx-dex-1.0,3
120,巨兽猫大衣,F Gammoth Coat,mhxx-dex-1.0,3
122,泡狐龙猫衣,F Mizutsune Suit,mhxx-dex-1.0,3
124,公会猫服装,F Guild Suit,mhxx-dex-1.0,3
