id,name,english,source,generation_tier,generation_group,role,teachable,memory_cost,generation_weights
0,-----,-----,mhxx-save-format-community,0,,empty,0,,
1,药草笛之技,Herb Horn,bahamut-mhxx-palico-zh-tw+axibug-mhxx-wiki-zh-cn,0,,common,0,,
2,回复笛之技,Health Horn,bahamut-mhxx-palico-zh-tw+axibug-mhxx-wiki-zh-cn,3,A,generated,1,,15/10/50/15
3,真・回复笛之技,True Health Horn,bahamut-mhxx-palico-zh-tw+axibug-mhxx-wiki-zh-cn,0,,primary,0,,
4,解毒・消臭笛之技,Detox Horn,bahamut-mhxx-palico-zh-tw+axibug-mhxx-wiki-zh-cn,2,B,generated,1,,7/3/20/10
5,应援笛之技,Cheer Horn,bahamut-mhxx-palico-zh-tw+axibug-mhxx-wiki-zh-cn,0,,secondary,1,,
6,鬼人笛之技,Demon Horn,bahamut-mhxx-palico-zh-tw+axibug-mhxx-wiki-zh-cn,0,,secondary,1,,
7,硬化笛之技,Armor Horn,bahamut-mhxx-palico-zh-tw+axibug-mhxx-wiki-zh-cn,0,,secondary,1,,
8,超音波笛之技,Ultrasonic Horn,bahamut-mhxx-palico-zh-tw+axibug-mhxx-wiki-zh-cn,1,C,generated,1,,5/2/2/15
9,迷你桶爆弹之技,Mini Barrel Bombay,bahamut-mhxx-palico-zh-tw+axibug-mhxx-wiki-zh-cn,0,,common,0,,
10,小桶爆弹之技,Barrel Bombay,bahamut-mhxx-palico-zh-tw+axibug-mhxx-wiki-zh-cn,1,C,generated,1,,5/7/2/3
11,大桶爆弹之技,Big Barrel Bombay,bahamut-mhxx-palico-zh-tw+axibug-mhxx-wiki-zh-cn,2,B,generated,1,,8/15/3/3
12,特大桶爆弹之技,Mega Barrel Bombay,bahamut-mhxx-palico-zh-tw+axibug-mhxx-wiki-zh-cn,0,,primary,0,,
13,大桶爆弹G之技,Giga Barrel Bombay,bahamut-mhxx-palico-zh-tw+axibug-mhxx-wiki-zh-cn,3,A,generated,1,,15/25/5/5
14,冲天爆弹之技,Bounce Bombay,bahamut-mhxx-palico-zh-tw+axibug-mhxx-wiki-zh-cn,1,C,generated,1,,5/7/2/3
15,闪光爆弹之技,Flash Bombay,bahamut-mhxx-palico-zh-tw+axibug-mhxx-wiki-zh-cn,2,B,generated,1,,8/3/3/10
16,设置型爆弹之技,Anti-Monster Mine,bahamut-mhxx-palico-zh-tw+axibug-mhxx-wiki-zh-cn,2,B,generated,1,,8/15/3/3
17,设置型爆弹G之技,Anti-Monster Mine+,bahamut-mhxx-palico-zh-tw+axibug-mhxx-wiki-zh-cn,3,A,generated,1,,15/25/5/5
18,落穴陷阱之技,Pitfall Purr-ison,bahamut-mhxx-palico-zh-tw+axibug-mhxx-wiki-zh-cn,3,A,generated,1,,15/5/15/25
19,麻痹陷阱之技,Shock Purr-ison,bahamut-mhxx-palico-zh-tw+axibug-mhxx-wiki-zh-cn,3,A,generated,1,,15/5/15/25
20,剧毒陷阱之技,Poison Purr-ision,bahamut-mhxx-palico-zh-tw+axibug-mhxx-wiki-zh-cn,0,,primary,0,,
21,弹跳床设置之技,Trampoliner,bahamut-mhxx-palico-zh-tw+axibug-mhxx-wiki-zh-cn,2,B,generated,1,,7/3/8/10
22,猫式活力壶之技,Vase of Vitality,bahamut-mhxx-palico-zh-tw+axibug-mhxx-wiki-zh-cn,2,B,generated,1,,7/3/20/10
23,回复赠礼之技,Parting Gift,bahamut-mhxx-palico-zh-tw+axibug-mhxx-wiki-zh-cn,1,C,generated,1,,5/2/14/3
24,紧急撤退之技,Emergency Retreat,bahamut-mhxx-palico-zh-tw+axibug-mhxx-wiki-zh-cn,0,,secondary,1,,
25,巨大回旋镖之技,Big Boomerangs,bahamut-mhxx-palico-zh-tw+axibug-mhxx-wiki-zh-cn,1,C,generated,1,,5/8/2/3
26,贯通回旋镖之技,Piercing Boomerangs,bahamut-mhxx-palico-zh-tw+axibug-mhxx-wiki-zh-cn,0,,secondary,1,,
27,隐密防御之技,Camoflage,bahamut-mhxx-palico-zh-tw+axibug-mhxx-wiki-zh-cn,0,,secondary,1,,
28,武器强化之技,Weapon Upgrade,bahamut-mhxx-palico-zh-tw+axibug-mhxx-wiki-zh-cn,2,B,generated,1,,8/15/3/3
29,愤怒之技,Furr-ious,bahamut-mhxx-palico-zh-tw+axibug-mhxx-wiki-zh-cn,0,,primary,0,,
