id,name,english,source,rarity
0,无,None,mhxx-romfs-game-array,0
1,骨制猫尖刃刀,F Bone Wedge,mhxx-romfs-game-array+mhxx-dex-1.0+mhxx-save-format-community,1
2,贝鲁纳猫杖,F Bherna Staff,mhxx-romfs-game-array+mhxx-dex-1.0+mhxx-save-format-community,1
3,铁制猫剑,F Iron Sword,mhxx-romfs-game-array+mhxx-dex-1.0+mhxx-save-format-community,1
4,骨制猫锤,F Bone Hammer,mhxx-romfs-game-array+mhxx-dex-1.0+mhxx-save-format-community,1
5,狗龙猫匕首,F Jaggi Knife,mhxx-romfs-game-array+mhxx-dex-1.0+mhxx-save-format-community,1
6,狩猎猫匕首,F Hunting Knife,mhxx-romfs-game-array+mhxx-dex-1.0+mhxx-save-format-community,2
7,结云猫木刀,F Yukumo Bokken,mhxx-romfs-game-array+mhxx-dex-1.0+mhxx-save-format-community,2
8,砍柴猫斧,F Wood Chopper,mhxx-romfs-game-array+mhxx-dex-1.0+mhxx-save-format-community,2
9,肉球猫拳,F Paw Punch,mhxx-romfs-game-array+mhxx-dex-1.0+mhxx-save-format-community,2
10,变化猫捕虫网,F Alta Net,mhxx-romfs-game-array+mhxx-dex-1.0+mhxx-save-format-community,2
11,硬甲龙猫铁锤,F Rheno Hammer,mhxx-romfs-game-array+mhxx-dex-1.0+mhxx-save-format-community,2
12,飞甲虫猫短剑,F Bnaha Dagger,mhxx-romfs-game-array+mhxx-dex-1.0+mhxx-save-format-community,2
13,跳狗龙猫短剑,F Maccao Dagger,mhxx-romfs-game-array+mhxx-dex-1.0+mhxx-save-format-community,2
14,蓝速龙猫刺刀,F Vprey Bayonet,mhxx-romfs-game-array+mhxx-dex-1.0+mhxx-save-format-community,2
15,野猪王猫獠牙,F Bulldrome Tusk,mhxx-romfs-game-array+mhxx-dex-1.0+mhxx-save-format-community,2
16,青熊兽猫狼牙棒,F Arzuros Mace,mhxx-romfs-game-array+mhxx-dex-1.0+mhxx-save-format-community,2
17,黄速龙猫刺刀,F Genprey Bayonet,mhxx-romfs-game-array+mhxx-dex-1.0+mhxx-save-format-community,2
18,砂龙猫刷,F Cephalos Brush,mhxx-romfs-game-array+mhxx-dex-1.0+mhxx-save-format-community,2
19,燕雀猫尖刃刀,F Machalite Wedge,mhxx-romfs-game-array+mhxx-dex-1.0+mhxx-save-format-community,2
20,橡子猫巨锤,F Giant Acorn,mhxx-romfs-game-array+mhxx-dex-1.0+mhxx-save-format-community,2
21,猫兽人的石像,F Stone Cat Statue,mhxx-romfs-game-array+mhxx-dex-1.0+mhxx-save-format-community,2
22,毒蜂猫棒,F Venombee Bat,mhxx-romfs-game-array+mhxx-dex-1.0+mhxx-save-format-community,2
23,美食家猫奶酪,F Gourmet Cheese,mhxx-romfs-game-array+mhxx-dex-1.0+mhxx-save-format-community,2
24,云羊鹿猫毛线,F Moofah Cotton,mhxx-romfs-game-array+mhxx-dex-1.0+mhxx-save-format-community,2
25,草食龙猫肉锤,F Aptonoth Meat,mhxx-romfs-game-array+mhxx-dex-1.0+mhxx-save-format-community,2
26,鱼猫尖刃刀,F Fish Stick,mhxx-romfs-game-array+mhxx-dex-1.0+mhxx-save-format-community,2
27,炙烧猫锤,F Grilled Hammer,mhxx-romfs-game-array+mhxx-dex-1.0+mhxx-save-format-community,2
28,红速龙猫刺刀,F Ioprey Bayonet,mhxx-romfs-game-array+mhxx-dex-1.0+mhxx-save-format-community,2
29,白兔兽猫棍,F Lagombi Staff,mhxx-romfs-game-array+mhxx-dex-1.0+mhxx-save-format-community,2
30,怪鸟猫团扇,F Kut-Ku Cutter,mhxx-romfs-game-array+mhxx-dex-1.0+mhxx-save-format-community,2
31,毒怪鸟猫安卡,F Gypceros Glare,mhxx-romfs-game-array+mhxx-dex-1.0+mhxx-save-format-community,2
32,鬼蛙猫拨浪鼓,F Cabra Pounder,mhxx-romfs-game-array+mhxx-dex-1.0+mhxx-save-format-community,2
33,大名盾蟹猫钳,F Daimyo Shears,mhxx-romfs-game-array+mhxx-dex-1.0+mhxx-save-format-community,2
34,水兽猫爪,F Ludroth Paw,mhxx-romfs-game-array+mhxx-dex-1.0+mhxx-save-format-community,2
35,白电猫针筒,F Khezu Whaccine,mhxx-romfs-game-array+mhxx-dex-1.0+mhxx-save-format-community,2
36,潜口龙猫枪锤,F Nibel Blammer,mhxx-romfs-game-array+mhxx-dex-1.0+mhxx-save-format-community,2
37,贤者猫书本,F Quest Book,mhxx-romfs-game-array+mhxx-dex-1.0+mhxx-save-format-community,2
38,蓝速龙猫尖刃刀,F Vprey Wedge,mhxx-romfs-game-array+mhxx-dex-1.0+mhxx-save-format-community,2
39,大桶猫锤,F Barrel Basher,mhxx-romfs-game-array+mhxx-dex-1.0+mhxx-save-format-community,2
40,勇气猫长枪,F Derring Lance,mhxx-romfs-game-array+mhxx-dex-1.0+mhxx-save-format-community,2
41,雪绒花猫棒,F Edel Rod,mhxx-romfs-game-array+mhxx-dex-1.0+mhxx-save-format-community,2
42,南瓜猫扫把,F Mosgharl Broom,mhxx-romfs-game-array+mhxx-dex-1.0+mhxx-save-format-community,2
43,首鸣龙猫木棒,F Bushwhacker,mhxx-romfs-game-array+mhxx-dex-1.0+mhxx-save-format-community,2
44,死神猫镰,F Death Stench Scythe,mhxx-romfs-game-array+mhxx-dex-1.0+mhxx-save-format-community,2
45,武者猫之太刀,F Marauder Blade,mhxx-romfs-game-array+mhxx-dex-1.0+mhxx-save-format-community,2
46,武者猫之锤,F Marauder Gavel,mhxx-romfs-game-array+mhxx-dex-1.0+mhxx-save-format-community,2
47,赤甲兽猫灯笼,F Volvi Lantern,mhxx-romfs-game-array+mhxx-dex-1.0+mhxx-save-format-community,2
48,夜鸟猫阳伞,F Jester Parasol,mhxx-romfs-game-array+mhxx-dex-1.0+mhxx-save-format-community,2
49,雌火龙猫细剑,F Rathian Rapier,mhxx-romfs-game-array+mhxx-dex-1.0+mhxx-save-format-community,2
50,雪狮子猫枪,F Blango Spear,mhxx-romfs-game-array+mhxx-dex-1.0+mhxx-save-format-community,2
51,将军镰蟹猫镰,F Ceanataur Cutter,mhxx-romfs-game-array+mhxx-dex-1.0+mhxx-save-format-community,2
52,绞蛇龙猫蛇笛,F Naja Pungi,mhxx-romfs-game-array+mhxx-dex-1.0+mhxx-save-format-community,2
53,迅龙猫手里剑,F Narga Shuriken,mhxx-romfs-game-array+mhxx-dex-1.0+mhxx-save-format-community,2
54,可可特猫啤酒,F Kokoto Beer,mhxx-romfs-game-array+mhxx-dex-1.0+mhxx-save-format-community,3
55,波凯猫拖把,F Pokke Mop,mhxx-romfs-game-array+mhxx-dex-1.0+mhxx-save-format-community,3
56,结云猫扇子,F Yukumo Fan,mhxx-romfs-game-array+mhxx-dex-1.0+mhxx-save-format-community,3
57,迷幻菇猫棒,F Shroom Rod,mhxx-romfs-game-array+mhxx-dex-1.0+mhxx-save-format-community,3
58,黄金乡猫掌,F Eldora Paw,mhxx-romfs-game-array+mhxx-dex-1.0+mhxx-save-format-community,3
59,黑狼鸟猫羽扇,F Garuga Fan,mhxx-romfs-game-array+mhxx-dex-1.0+mhxx-save-format-community,3
60,爆锤龙猫铁块,F Uragaan Iron,mhxx-romfs-game-array+mhxx-dex-1.0+mhxx-save-format-community,3
61,火龙猫刃,F Rathalos Blade,mhxx-romfs-game-array+mhxx-dex-1.0+mhxx-save-format-community,3
62,海龙猫锚,F Lagia Anchor,mhxx-romfs-game-array+mhxx-dex-1.0+mhxx-save-format-community,3
63,电龙猫枪,F Astalos Spear,mhxx-romfs-game-array+mhxx-dex-1.0+mhxx-save-format-community,3
64,巨猫杖,F Enormews Staff,mhxx-romfs-game-array+mhxx-dex-1.0+mhxx-save-format-community,3
65,泡狐龙猫花伞,F Mizutsune Parasol,mhxx-romfs-game-array+mhxx-dex-1.0+mhxx-save-format-community,3
66,公会猫细剑,F Guild Rapier,mhxx-romfs-game-array+mhxx-dex-1.0+mhxx-save-format-community,3
67,晚安猫菲妮,F Moofy Plush,mhxx-romfs-game-array+mhxx-dex-1.0+mhxx-save-format-community,3
68,灼炎之喵剑,F Scorching Blade,mhxx-romfs-game-array+mhxx-dex-1.0+mhxx-save-format-community,3
69,王猫剑滚滚,F Mewsurper's Peal,mhxx-romfs-game-array+mhxx-dex-1.0+mhxx-save-format-community,3
70,灯笼of喵喵,F Katzenlampe,mhxx-romfs-game-array+mhxx-dex-1.0+mhxx-save-format-community,3
71,千刃龙猫斧,F Seregios Edge,mhxx-romfs-game-array+mhxx-dex-1.0+mhxx-save-format-community,3
72,轰龙猫轰锤,F Tigrex Whammer,mhxx-romfs-game-array+mhxx-dex-1.0+mhxx-save-format-community,3
73,神猫剑轰隆,F Kirin Rumblezap,mhxx-romfs-game-array+mhxx-dex-1.0+mhxx-save-format-community,3
74,碎龙猫拳,F Brachy Punch,mhxx-romfs-game-array+mhxx-dex-1.0+mhxx-save-format-community,3
75,THE喵喵心,F Le Cœur de Chat,mhxx-romfs-game-array+mhxx-dex-1.0+mhxx-save-format-community,3
76,钢龙猫杖,F Kushala Wand,mhxx-romfs-game-array+mhxx-dex-1.0+mhxx-save-format-community,3
77,魔神猫欺瞒剑,F Genie Breath,mhxx-romfs-game-array+mhxx-dex-1.0+mhxx-save-format-community,3
78,帝王猫权杖,F Kaiser Mace,mhxx-romfs-game-array+mhxx-dex-1.0+mhxx-save-format-community,3
79,其名为猫的白骸,F White Felyne Husk,mhxx-romfs-game-array+mhxx-dex-1.0+mhxx-save-format-community,3
80,骨制S猫尖刃刀,F Bone Wedge S,mhxx-romfs-game-array+mhxx-dex-1.0+mhxx-save-format-community,4
81,贝鲁纳S猫杖,F Bherna Staff S,mhxx-romfs-game-array+mhxx-dex-1.0+mhxx-save-format-community,4
82,狩猎S猫匕首,F Hunting Knife S,mhxx-romfs-game-array+mhxx-dex-1.0+mhxx-save-format-community,4
83,结云猫木刀･鲣鱼干,F Yukumo Bonito,mhxx-romfs-game-array+mhxx-dex-1.0+mhxx-save-format-community,4
84,灵鹤猫尖刃刀,F Carbalite Wedge,mhxx-romfs-game-array+mhxx-dex-1.0+mhxx-save-format-community,4
85,橡子S猫巨锤,F Giant Acorn S,mhxx-romfs-game-array+mhxx-dex-1.0+mhxx-save-format-community,4
86,蓝速龙S猫尖刃刀,F Vprey Wedge S,mhxx-romfs-game-array+mhxx-dex-1.0+mhxx-save-format-community,4
87,大桶S猫锤,F Barrel Basher S,mhxx-romfs-game-array+mhxx-dex-1.0+mhxx-save-format-community,4
88,美食家S猫奶酪,F Gourmet Cheese S,mhxx-romfs-game-array+mhxx-dex-1.0+mhxx-save-format-community,4
89,云羊鹿S猫毛线,F Moofah Cotton S,mhxx-romfs-game-array+mhxx-dex-1.0+mhxx-save-format-community,4
90,猫猫的BBQ,F Barbecue,mhxx-romfs-game-array+mhxx-dex-1.0+mhxx-save-format-community,4
91,鱼S猫尖刃刀,F Fish Stick S,mhxx-romfs-game-array+mhxx-dex-1.0+mhxx-save-format-community,4
92,猫的晚餐,F Fingerlicker,mhxx-romfs-game-array+mhxx-dex-1.0+mhxx-save-format-community,4
93,首鸣龙S猫木棒,F Bushwhacker S,mhxx-romfs-game-array+mhxx-dex-1.0+mhxx-save-format-community,4
94,肉球S猫拳,F Paw Punch S,mhxx-romfs-game-array+mhxx-dex-1.0+mhxx-save-format-community,4
95,灵鹤猫剑,F Carbalite Sword,mhxx-romfs-game-array+mhxx-dex-1.0+mhxx-save-format-community,4
96,骨制S猫锤,F Bone Hammer S,mhxx-romfs-game-array+mhxx-dex-1.0+mhxx-save-format-community,4
97,变化S猫捕虫网,F Alta Net S,mhxx-romfs-game-array+mhxx-dex-1.0+mhxx-save-format-community,4
98,飞甲虫S猫短剑,F Bnaha Dagger S,mhxx-romfs-game-array+mhxx-dex-1.0+mhxx-save-format-community,4
99,狗龙S猫匕首,F Jaggi Knife S,mhxx-romfs-game-array+mhxx-dex-1.0+mhxx-save-format-community,4
100,硬甲龙S猫铁锤,F Rheno Hammer S,mhxx-romfs-game-array+mhxx-dex-1.0+mhxx-save-format-community,4
101,垂皮龙猫叶,F Slagtoth Leaf,mhxx-romfs-game-array+mhxx-dex-1.0+mhxx-save-format-community,4
102,跳狗龙S猫短剑,F Maccao Dagger S,mhxx-romfs-game-array+mhxx-dex-1.0+mhxx-save-format-community,4
103,蓝速龙S猫刺刀,F Vprey Bayonet S,mhxx-romfs-game-array+mhxx-dex-1.0+mhxx-save-format-community,4
104,野猪王S猫獠牙,F Bulldrome Tusk S,mhxx-romfs-game-array+mhxx-dex-1.0+mhxx-save-format-community,4
105,青熊兽S猫狼牙棒,F Arzuros Mace S,mhxx-romfs-game-array+mhxx-dex-1.0+mhxx-save-format-community,4
106,黄速龙S猫刺刀,F Genprey Bayonet S,mhxx-romfs-game-array+mhxx-dex-1.0+mhxx-save-format-community,4
107,白兔兽S猫棍,F Lagombi Staff S,mhxx-romfs-game-array+mhxx-dex-1.0+mhxx-save-format-community,4
108,砂龙S猫刷,F Cephalos Brush S,mhxx-romfs-game-array+mhxx-dex-1.0+mhxx-save-format-community,4
109,怪鸟S猫团扇,F Kut-Ku Cutter S,mhxx-romfs-game-array+mhxx-dex-1.0+mhxx-save-format-community,4
110,毒怪鸟S猫安卡,F Gypceros Glare S,mhxx-romfs-game-array+mhxx-dex-1.0+mhxx-save-format-community,4
111,鬼蛙S猫拨浪鼓,F Cabra Pounder S,mhxx-romfs-game-array+mhxx-dex-1.0+mhxx-save-format-community,4
112,大名盾蟹S猫钳,F Daimyo Shears S,mhxx-romfs-game-array+mhxx-dex-1.0+mhxx-save-format-community,4
113,水兽S猫爪,F Ludroth Paw S,mhxx-romfs-game-array+mhxx-dex-1.0+mhxx-save-format-community,4
114,奇猿狐猫耙,F Kecha Harrow,mhxx-romfs-game-array+mhxx-dex-1.0+mhxx-save-format-community,4
115,铃兰猫棒,F Bell Rod,mhxx-romfs-game-array+mhxx-dex-1.0+mhxx-save-format-community,5
116,兽神石像鬼的华尔兹,F Gargouille Waltz,mhxx-romfs-game-array+mhxx-dex-1.0+mhxx-save-format-community,5
117,毒蜂S猫棒,F Venombee Bat S,mhxx-romfs-game-array+mhxx-dex-1.0+mhxx-save-format-community,5
118,南瓜S猫扫把,F Mosgharl Broom S,mhxx-romfs-game-array+mhxx-dex-1.0+mhxx-save-format-community,5
119,名刀喵铁,F Meowtetsuken,mhxx-romfs-game-array+mhxx-dex-1.0+mhxx-save-format-community,5
120,敲打喵锤,F Pounderpurr,mhxx-romfs-game-array+mhxx-dex-1.0+mhxx-save-format-community,5
121,红速龙S猫刺刀,F Ioprey Bayonet S,mhxx-romfs-game-array+mhxx-dex-1.0+mhxx-save-format-community,5
122,赤甲兽S猫灯笼,F Volvi Lantern S,mhxx-romfs-game-array+mhxx-dex-1.0+mhxx-save-format-community,5
123,白电S猫针筒,F Khezu Whaccine S,mhxx-romfs-game-array+mhxx-dex-1.0+mhxx-save-format-community,5
124,潜口龙S猫枪锤,F Nibel Blammer S,mhxx-romfs-game-array+mhxx-dex-1.0+mhxx-save-format-community,5
125,催眠伞公爵猫香箱,F Slumbering Duke,mhxx-romfs-game-array+mhxx-dex-1.0+mhxx-save-format-community,5
126,雌火龙S猫细剑,F Queen Rapier,mhxx-romfs-game-array+mhxx-dex-1.0+mhxx-save-format-community,5
127,雪狮子S猫长矛,F Blango Spear S,mhxx-romfs-game-array+mhxx-dex-1.0+mhxx-save-format-community,5
128,将军镰蟹S猫镰,F Ceanataur Cutter S,mhxx-romfs-game-array+mhxx-dex-1.0+mhxx-save-format-community,5
129,绞蛇龙S猫蛇笛,F Naja Pungi S,mhxx-romfs-game-array+mhxx-dex-1.0+mhxx-save-format-community,5
130,迅龙S猫手里剑,F Narga Shuriken S,mhxx-romfs-game-array+mhxx-dex-1.0+mhxx-save-format-community,5
131,黑狼鸟S猫羽扇,F Garuga Fan S,mhxx-romfs-game-array+mhxx-dex-1.0+mhxx-save-format-community,5
132,爆锤龙S猫铁块,F Uragaan Iron S,mhxx-romfs-game-array+mhxx-dex-1.0+mhxx-save-format-community,5
133,变形冰鲨猫掌,F Zamtrios Paw,mhxx-romfs-game-array+mhxx-dex-1.0+mhxx-save-format-community,5
134,水龙猫冲浪板,F Plesioth Board,mhxx-romfs-game-array+mhxx-dex-1.0+mhxx-save-format-community,5
135,熔岩龙猫权杖,F Lava Mace,mhxx-romfs-game-array+mhxx-dex-1.0+mhxx-save-format-community,5
136,雪绒花S猫棒,F Edel Rod S,mhxx-romfs-game-array+mhxx-dex-1.0+mhxx-save-format-community,6
137,沉睡猫菲妮,F Lulling Moofy Plush,mhxx-romfs-game-array+mhxx-dex-1.0+mhxx-save-format-community,6
138,砍柴S猫斧,F Wood Chopper S,mhxx-romfs-game-array+mhxx-dex-1.0+mhxx-save-format-community,6
139,怪鸟的咕咕咕,F Kut-Ku Cackle,mhxx-romfs-game-array+mhxx-dex-1.0+mhxx-save-format-community,6
140,野猪王的咚咚咚,F Bulldrome Rrrush,mhxx-romfs-game-array+mhxx-dex-1.0+mhxx-save-format-community,6
141,大迷幻喵菇棒,F Mighty Shroom Rod,mhxx-romfs-game-array+mhxx-dex-1.0+mhxx-save-format-community,6
142,死神S猫镰,F D. Stench Scythe S,mhxx-romfs-game-array+mhxx-dex-1.0+mhxx-save-format-community,6
143,亡国之宝杖喵喵拳,F Lost Catspaw Staff,mhxx-romfs-game-array+mhxx-dex-1.0+mhxx-save-format-community,6
144,海龙S猫锚,F Lagia Anchor S,mhxx-romfs-game-array+mhxx-dex-1.0+mhxx-save-format-community,6
145,斩龙猫剑,F Scorched Whiskers,mhxx-romfs-game-array+mhxx-dex-1.0+mhxx-save-format-community,6
146,电枪猫枪,F Lightning Spear,mhxx-romfs-game-array+mhxx-dex-1.0+mhxx-save-format-community,6
147,巨猫･拂侠,F Ginormews Staff,mhxx-romfs-game-array+mhxx-dex-1.0+mhxx-save-format-community,6
148,夏喵草深绯之伞,F Crimson Parasol,mhxx-romfs-game-array+mhxx-dex-1.0+mhxx-save-format-community,6
149,炎剑猫刃,F Blazing Blade,mhxx-romfs-game-array+mhxx-dex-1.0+mhxx-save-format-community,6
150,王牙猫剑【猫雷】,F Mewsurper's Roar,mhxx-romfs-game-array+mhxx-dex-1.0+mhxx-save-format-community,6
151,漆黑of喵喵,F Katzenfunzel,mhxx-romfs-game-array+mhxx-dex-1.0+mhxx-save-format-community,6
152,轰龙S猫轰锤,F Tigrex Whammer S,mhxx-romfs-game-array+mhxx-dex-1.0+mhxx-save-format-community,6
153,重甲虫猫钻头,F Seltas Drill,mhxx-romfs-game-array+mhxx-dex-1.0+mhxx-save-format-community,6
154,炎戈龙猫长枪,F Agnaktor Lance,mhxx-romfs-game-array+mhxx-dex-1.0+mhxx-save-format-community,6
155,尾锤龙猫斧,F Duram Axe,mhxx-romfs-game-array+mhxx-dex-1.0+mhxx-save-format-community,6
156,神猫剑【猫光】,F Kirin Bolt,mhxx-romfs-game-array+mhxx-dex-1.0+mhxx-save-format-community,6
157,金色猫机关,F Golden Gadget,mhxx-romfs-game-array+mhxx-dex-1.0+mhxx-save-format-community,6
158,恐暴龙猫暴锤,F Vangis Mace,mhxx-romfs-game-array+mhxx-dex-1.0+mhxx-save-format-community,6
159,猛怪鸟猫团扇,F Kut-Ku Cutter R,mhxx-romfs-game-array+mhxx-dex-1.0+mhxx-save-format-community,6
160,猛奇猿狐猫耙,F Kecha Harrow R,mhxx-romfs-game-array+mhxx-dex-1.0+mhxx-save-format-community,6
161,猛毒怪鸟猫安卡,F Gypceros Ankh R,mhxx-romfs-game-array+mhxx-dex-1.0+mhxx-save-format-community,6
162,猛鬼蛙猫拨浪鼓,F Cabra Pounder R,mhxx-romfs-game-array+mhxx-dex-1.0+mhxx-save-format-community,6
163,猛大名盾蟹猫钳,F Daimyo Shears R,mhxx-romfs-game-array+mhxx-dex-1.0+mhxx-save-format-community,6
164,猛水兽猫爪,F Ludroth Paw R,mhxx-romfs-game-array+mhxx-dex-1.0+mhxx-save-format-community,6
165,猛夜鸟猫阳伞,F Jester Parasol R,mhxx-romfs-game-array+mhxx-dex-1.0+mhxx-save-format-community,6
166,猛变形冰鲨猫掌,F Zamtrios Paw R,mhxx-romfs-game-array+mhxx-dex-1.0+mhxx-save-format-community,6
167,猛白电猫针筒,F Khezu Whaccine R,mhxx-romfs-game-array+mhxx-dex-1.0+mhxx-save-format-community,6
168,猛雌火龙猫细剑,F Rathian Rapier R,mhxx-romfs-game-array+mhxx-dex-1.0+mhxx-save-format-community,6
169,猛潜口龙猫枪锤,F Nibel Blammer R,mhxx-romfs-game-array+mhxx-dex-1.0+mhxx-save-format-community,6
170,猛水龙猫冲浪板,F Plesioth Board R,mhxx-romfs-game-array+mhxx-dex-1.0+mhxx-save-format-community,6
171,猛雪狮子猫枪,F Blango Spear R,mhxx-romfs-game-array+mhxx-dex-1.0+mhxx-save-format-community,6
172,贤者S猫书本,F Quest Book S,mhxx-romfs-game-array+mhxx-dex-1.0+mhxx-save-format-community,7
173,可可特S猫啤酒,F Kokoto Beer S,mhxx-romfs-game-array+mhxx-dex-1.0+mhxx-save-format-community,7
174,波凯S猫拖把,F Pokke Mop S,mhxx-romfs-game-array+mhxx-dex-1.0+mhxx-save-format-community,7
175,结云S猫扇子,F Yukumo Fan S,mhxx-romfs-game-array+mhxx-dex-1.0+mhxx-save-format-community,7
176,公会猫利剑,F Guildcalibur,mhxx-romfs-game-array+mhxx-dex-1.0+mhxx-save-format-community,7
177,悠久的龙头琴,F Dragon Evertones,mhxx-romfs-game-array+mhxx-dex-1.0+mhxx-save-format-community,7
178,木桶小锤【天地无用】,F Barrel Mallet,mhxx-romfs-game-array+mhxx-dex-1.0+mhxx-save-format-community,7
179,北辰纳豆流喵蛮刀,F Dirty Blade,mhxx-romfs-game-array+mhxx-dex-1.0+mhxx-save-format-community,7
180,名剑烤鱼,F Meowsketeer Rapier,mhxx-romfs-game-array+mhxx-dex-1.0+mhxx-save-format-community,7
181,大师猫刃,F Master's Blade,mhxx-romfs-game-array+mhxx-dex-1.0+mhxx-save-format-community,7
182,勇气S猫长枪,F Derring Lance S,mhxx-romfs-game-array+mhxx-dex-1.0+mhxx-save-format-community,7
183,千刃龙S猫斧,F Seregios Edge S,mhxx-romfs-game-array+mhxx-dex-1.0+mhxx-save-format-community,7
184,碎龙猫重拳,F Brachy Wallop,mhxx-romfs-game-array+mhxx-dex-1.0+mhxx-save-format-community,7
185,THE喵纳斯,F Le Chatphrodite,mhxx-romfs-game-array+mhxx-dex-1.0+mhxx-save-format-community,7
186,白骸之猫杖,F White Felyne Staff,mhxx-romfs-game-array+mhxx-dex-1.0+mhxx-save-format-community,7
187,极星剑喵喵,F Polaris Sword,mhxx-romfs-game-array+mhxx-dex-1.0+mhxx-save-format-community,7
188,猛熔岩龙猫权杖,F Lava Mace R,mhxx-romfs-game-array+mhxx-dex-1.0+mhxx-save-format-community,7
189,猛将军镰蟹猫镰,F Ceanataur Cutter R,mhxx-romfs-game-array+mhxx-dex-1.0+mhxx-save-format-community,7
190,猛迅龙猫手里剑,F Narga Shuriken R,mhxx-romfs-game-array+mhxx-dex-1.0+mhxx-save-format-community,7
191,猛绞蛇龙猫蛇笛,F Naja Pungi R,mhxx-romfs-game-array+mhxx-dex-1.0+mhxx-save-format-community,7
192,猛黑狼鸟猫羽扇,F Garuga Fan R,mhxx-romfs-game-array+mhxx-dex-1.0+mhxx-save-format-community,7
193,猛爆锤龙猫铁块,F Uragaan Iron R,mhxx-romfs-game-array+mhxx-dex-1.0+mhxx-save-format-community,7
194,猛重甲虫猫钻头,F Seltas Drill R,mhxx-romfs-game-array+mhxx-dex-1.0+mhxx-save-format-community,7
195,猛火龙猫刃,F Rathalos Blade R,mhxx-romfs-game-array+mhxx-dex-1.0+mhxx-save-format-community,7
196,猛海龙猫锚,F Lagia Anchor R,mhxx-romfs-game-array+mhxx-dex-1.0+mhxx-save-format-community,7
197,猛王猫剑滚滚,F Mewsurper's Peal R,mhxx-romfs-game-array+mhxx-dex-1.0+mhxx-save-format-community,7
198,钢龙S猫杖,F Kushala Wand S,mhxx-romfs-game-array+mhxx-dex-1.0+mhxx-save-format-community,7
199,魔神S猫欺瞒剑,F Genie Breath S,mhxx-romfs-game-array+mhxx-dex-1.0+mhxx-save-format-community,7
200,帝王S猫权杖,F Kaiser Mace S,mhxx-romfs-game-array+mhxx-dex-1.0+mhxx-save-format-community,7
201,霸剑猫黑神,F Akantor Sword,mhxx-romfs-game-array+mhxx-dex-1.0+mhxx-save-format-community,7
202,崩剑猫白神,F Ukanlos Shovel,mhxx-romfs-game-array+mhxx-dex-1.0+mhxx-save-format-community,7
