id,name,english,source
0,无,None,mhxx-romfs-game-array
1,毒,Poison,mhxx-romfs-game-array+mhxx-dex-1.0
2,麻痹,Paralysis,mhxx-romfs-game-array+mhxx-dex-1.0
3,睡眠,Sleep,mhxx-romfs-game-array+mhxx-dex-1.0
4,昏厥,Stun,mhxx-romfs-game-array+mhxx-dex-1.0
5,听觉保护,Hearing,mhxx-romfs-game-array+mhxx-dex-1.0
6,风压,Wind Res,mhxx-romfs-game-array+mhxx-dex-1.0
7,耐震,Tremor Res,mhxx-romfs-game-array+mhxx-dex-1.0
8,雪人,Bind Res,mhxx-romfs-game-array+mhxx-dex-1.0
9,耐暑,Heat Res,mhxx-romfs-game-array+mhxx-dex-1.0
10,耐寒,Cold Res,mhxx-romfs-game-array+mhxx-dex-1.0
11,适应寒冷,ColdBlooded,mhxx-romfs-game-array+mhxx-dex-1.0
12,适应炎热,HotBlooded,mhxx-romfs-game-array+mhxx-dex-1.0
13,偷窃无效,Anti-Theft,mhxx-romfs-game-array+mhxx-dex-1.0
14,对防御DOWN,Def Lock,mhxx-romfs-game-array+mhxx-dex-1.0
15,狂击耐性,Frenzy Res,mhxx-romfs-game-array+mhxx-dex-1.0
16,细菌学,Biology,mhxx-romfs-game-array+mhxx-dex-1.0
17,裂伤,Bleeding,mhxx-romfs-game-array+mhxx-dex-1.0
18,攻击,Attack,mhxx-romfs-game-array+mhxx-dex-1.0
19,防御,Defense,mhxx-romfs-game-array+mhxx-dex-1.0
20,体力,Health,mhxx-romfs-game-array+mhxx-dex-1.0
21,火耐性,Fire Res,mhxx-romfs-game-array+mhxx-dex-1.0
22,水耐性,Water Res,mhxx-romfs-game-array+mhxx-dex-1.0
23,雷耐性,Thunder Res,mhxx-romfs-game-array+mhxx-dex-1.0
24,冰耐性,Ice Res,mhxx-romfs-game-array+mhxx-dex-1.0
25,龙耐性,Dragon Res,mhxx-romfs-game-array+mhxx-dex-1.0
26,属性耐性,Blight Res,mhxx-romfs-game-array+mhxx-dex-1.0
27,火属性攻击,Fire Atk,mhxx-romfs-game-array+mhxx-dex-1.0
28,水属性攻击,Water Atk,mhxx-romfs-game-array+mhxx-dex-1.0
29,雷属性攻击,Thunder Atk,mhxx-romfs-game-array+mhxx-dex-1.0
30,冰属性攻击,Ice Atk,mhxx-romfs-game-array+mhxx-dex-1.0
31,龙属性攻击,Dragon Atk,mhxx-romfs-game-array+mhxx-dex-1.0
32,属性攻击,Elemental,mhxx-romfs-game-array+mhxx-dex-1.0
33,特殊攻击,Status,mhxx-romfs-game-array+mhxx-dex-1.0
34,磨刀匠,Sharpener,mhxx-romfs-game-array+mhxx-dex-1.0
35,匠,Handicraft,mhxx-romfs-game-array+mhxx-dex-1.0
36,锋利度,Sharpness,mhxx-romfs-game-array+mhxx-dex-1.0
37,剑术,Fencing,mhxx-romfs-game-array+mhxx-dex-1.0
38,打磨术,Grinder,mhxx-romfs-game-array+mhxx-dex-1.0
39,钝器,Blunt,mhxx-romfs-game-array+mhxx-dex-1.0
40,拔刀会心,Crit Draw,mhxx-romfs-game-array+mhxx-dex-1.0
41,拔刀减气,Punish Draw,mhxx-romfs-game-array+mhxx-dex-1.0
42,收刀,Sheathing,mhxx-romfs-game-array+mhxx-dex-1.0
43,收刀打磨,Sheathe Sharpen,mhxx-romfs-game-array+mhxx-dex-1.0
44,刃鳞,Bladescale,mhxx-romfs-game-array+mhxx-dex-1.0
45,装填速度,Reload Spd,mhxx-romfs-game-array+mhxx-dex-1.0
46,后坐力,Recoil,mhxx-romfs-game-array+mhxx-dex-1.0
47,精确射击,Precision,mhxx-romfs-game-array+mhxx-dex-1.0
48,通常弹强化,Normal Up,mhxx-romfs-game-array+mhxx-dex-1.0
49,贯穿弹强化,Pierce Up,mhxx-romfs-game-array+mhxx-dex-1.0
50,散弹强化,Pellet Up,mhxx-romfs-game-array+mhxx-dex-1.0
51,重击弹强化,Heavy Up,mhxx-romfs-game-array+mhxx-dex-1.0
52,通常弹追加,Normal S+,mhxx-romfs-game-array+mhxx-dex-1.0
53,贯穿弹追加,Pierce S+,mhxx-romfs-game-array+mhxx-dex-1.0
54,散弹追加,Pellet S+,mhxx-romfs-game-array+mhxx-dex-1.0
55,榴弹追加,Crag S+,mhxx-romfs-game-array+mhxx-dex-1.0
56,扩散弹追加,Clust S+,mhxx-romfs-game-array+mhxx-dex-1.0
57,毒瓶追加,Poison C+,mhxx-romfs-game-array+mhxx-dex-1.0
58,麻痹瓶追加,Para C+,mhxx-romfs-game-array+mhxx-dex-1.0
59,睡眠瓶追加,Sleep C+,mhxx-romfs-game-array+mhxx-dex-1.0
60,强击瓶追加,Power C+,mhxx-romfs-game-array+mhxx-dex-1.0
61,属强瓶追加,Elem C+,mhxx-romfs-game-array+mhxx-dex-1.0
62,近战瓶追加,C.Range C+,mhxx-romfs-game-array+mhxx-dex-1.0
63,减气瓶追加,Exhaust C+,mhxx-romfs-game-array+mhxx-dex-1.0
64,爆破瓶追加,Blast C+,mhxx-romfs-game-array+mhxx-dex-1.0
65,速射,Rapid Fire,mhxx-romfs-game-array+mhxx-dex-1.0
66,射法,Dead Eye,mhxx-romfs-game-array+mhxx-dex-1.0
67,装填数,Loading,mhxx-romfs-game-array+mhxx-dex-1.0
68,不规则射击,Haphazard,mhxx-romfs-game-array+mhxx-dex-1.0
69,弹药节约,Ammo Saver,mhxx-romfs-game-array+mhxx-dex-1.0
70,达人,Expert,mhxx-romfs-game-array+mhxx-dex-1.0
