id,name,english,source,rarity,max_level
0,无,None,mhxx-romfs-game-array,0,0
1,贝鲁纳弓,Petrified Bow,mhxx-romfs-game-array+mhxx-dex-1.0+mhxx-save-format-community,1,11
2,黑曜石弓,Obsidian Bow,mhxx-romfs-game-array+mhxx-dex-1.0+mhxx-save-format-community,3,7
3,王弓远雷,Usurper's Rumble,mhxx-romfs-game-array+mhxx-dex-1.0+mhxx-save-format-community,3,7
4,铬黄飞虫坚弓零式,Arko Nulo (Y),mhxx-romfs-game-array+mhxx-dex-1.0+mhxx-save-format-community,1,8
5,雪白飞虫坚弓零式,Arko Nulo (W),mhxx-romfs-game-array+mhxx-dex-1.0+mhxx-save-format-community,1,8
6,音速弓,Sonic Bow,mhxx-romfs-game-array+mhxx-dex-1.0+mhxx-save-format-community,2,8
7,翅弓蜉蝣,Heat Haze,mhxx-romfs-game-array+mhxx-dex-1.0+mhxx-save-format-community,4,5
8,阴柔鞘翅弓,Feminine Haze,mhxx-romfs-game-array+mhxx-dex-1.0+mhxx-save-format-community,5,7
9,羽饰弓,Plume Bow,mhxx-romfs-game-array+mhxx-dex-1.0+mhxx-save-format-community,1,9
10,隐秘长弓,Hidden Bow,mhxx-romfs-game-array+mhxx-dex-1.0+mhxx-save-format-community,2,7
11,大钳水弓,Daimyo's Warbow,mhxx-romfs-game-array+mhxx-dex-1.0+mhxx-save-format-community,2,8
12,蓝锋弓,Bear Blade Bow,mhxx-romfs-game-array+mhxx-dex-1.0+mhxx-save-format-community,4,6
13,强力猎弓,Hunter's Stoutbow,mhxx-romfs-game-array+mhxx-dex-1.0+mhxx-save-format-community,1,11
14,耀金弓,Yekla Arc,mhxx-romfs-game-array+mhxx-dex-1.0+mhxx-save-format-community,3,6
15,鬼兜七尺弓,Demon Helm Bow,mhxx-romfs-game-array+mhxx-dex-1.0+mhxx-save-format-community,4,6
16,烈阳弓,Prominence Bow,mhxx-romfs-game-array+mhxx-dex-1.0+mhxx-save-format-community,3,7
17,女王猎弓,Queen Blaster,mhxx-romfs-game-array+mhxx-dex-1.0+mhxx-save-format-community,2,7
18,64式连装弓,Type 64 Multibow,mhxx-romfs-game-array+mhxx-dex-1.0+mhxx-save-format-community,2,8
19,轰龙弓,Tigrex Archer,mhxx-romfs-game-array+mhxx-dex-1.0+mhxx-save-format-community,3,6
20,弓箭箕宿一,Shalya Bow,mhxx-romfs-game-array+mhxx-dex-1.0+mhxx-save-format-community,3,6
21,叛逆穿箭,Seditious Arrow,mhxx-romfs-game-array+mhxx-dex-1.0+mhxx-save-format-community,6,6
22,爆锤震弓,Brazencord,mhxx-romfs-game-array+mhxx-dex-1.0+mhxx-save-format-community,3,7
23,碎龙箭,Dios Flier,mhxx-romfs-game-array+mhxx-dex-1.0+mhxx-save-format-community,3,5
24,爆碎征箭,Demolition Bow,mhxx-romfs-game-array+mhxx-dex-1.0+mhxx-save-format-community,6,6
25,六花晶弓,Crystalline Flower,mhxx-romfs-game-array+mhxx-dex-1.0+mhxx-save-format-community,2,8
26,冰蓝寒光,Blue Alighter,mhxx-romfs-game-array+mhxx-dex-1.0+mhxx-save-format-community,4,5
27,冰冷光弓,Ice Cold Alighter,mhxx-romfs-game-array+mhxx-dex-1.0+mhxx-save-format-community,5,5
28,白电弓,Khezu Bow,mhxx-romfs-game-array+mhxx-dex-1.0+mhxx-save-format-community,2,7
29,猎弓,Hunter's Bow,mhxx-romfs-game-array+mhxx-dex-1.0+mhxx-save-format-community,1,11
30,鹿角的弹弓,Kelbi Stingshot,mhxx-romfs-game-array+mhxx-dex-1.0+mhxx-save-format-community,4,6
31,鸟币弓,Kut-Ku Stave,mhxx-romfs-game-array+mhxx-dex-1.0+mhxx-save-format-community,2,8
32,弓【乌】,Crow Bow,mhxx-romfs-game-array+mhxx-dex-1.0+mhxx-save-format-community,3,5
33,弓【兇】,Vile Bow,mhxx-romfs-game-array+mhxx-dex-1.0+mhxx-save-format-community,6,5
34,雪毛皮弓,Blango Fur Bow,mhxx-romfs-game-array+mhxx-dex-1.0+mhxx-save-format-community,1,7
35,寒冰皮弓,Abominable Bow,mhxx-romfs-game-array+mhxx-dex-1.0+mhxx-save-format-community,5,7
36,海绵齿轮,Spongia Bow,mhxx-romfs-game-array+mhxx-dex-1.0+mhxx-save-format-community,2,8
37,雷光弓,Voltsender,mhxx-romfs-game-array+mhxx-dex-1.0+mhxx-save-format-community,3,7
38,严重风化的弓,Worn Bow,mhxx-romfs-game-array+mhxx-dex-1.0+mhxx-save-format-community,4,8
39,天使之足,Angelbein,mhxx-romfs-game-array+mhxx-dex-1.0+mhxx-save-format-community,6,5
40,钢冰马弓,Icesteel Bow,mhxx-romfs-game-array+mhxx-dex-1.0+mhxx-save-format-community,7,5
41,强狩猎弓,Arca Raptora,mhxx-romfs-game-array+mhxx-dex-1.0+mhxx-save-format-community,4,7
42,霹雳弓,Lightning Bow,mhxx-romfs-game-array+mhxx-dex-1.0+mhxx-save-format-community,3,7
43,巨兽弓,Giant's Bow,mhxx-romfs-game-array+mhxx-dex-1.0+mhxx-save-format-community,3,7
44,狐弓【露湿乱世情】,Blessed Rain,mhxx-romfs-game-array+mhxx-dex-1.0+mhxx-save-format-community,3,7
45,灼炎长弓,Ashen Wrath,mhxx-romfs-game-array+mhxx-dex-1.0+mhxx-save-format-community,3,7
46,视野of失落,Entbehrung,mhxx-romfs-game-array+mhxx-dex-1.0+mhxx-save-format-community,3,6
47,THE俘虏者,Le Ravisseur,mhxx-romfs-game-array+mhxx-dex-1.0+mhxx-save-format-community,6,6
