id,name,english,source,rarity,max_level
0,无,None,mhxx-romfs-game-array,0,0
1,贝鲁纳武装,Petrified Strongarm,mhxx-romfs-game-array+mhxx-dex-1.0+mhxx-save-format-community,1,11
2,黑曜石武装,Obsidian Strongarm,mhxx-romfs-game-array+mhxx-dex-1.0+mhxx-save-format-community,3,8
3,熔岩之盾,Lava's Veil,mhxx-romfs-game-array+mhxx-dex-1.0+mhxx-save-format-community,5,5
4,碎龙武装,Dios Strongarm,mhxx-romfs-game-array+mhxx-dex-1.0+mhxx-save-format-community,3,7
5,爆碎盾斧,Demolition Blade,mhxx-romfs-game-array+mhxx-dex-1.0+mhxx-save-format-community,6,6
6,31式镇压飞龙盾斧,Type 31 Wyvernslayer,mhxx-romfs-game-array+mhxx-dex-1.0+mhxx-save-format-community,2,8
7,剧毒古提亚,Poison Blade,mhxx-romfs-game-array+mhxx-dex-1.0+mhxx-save-format-community,2,9
8,精锐讨伐队盾斧,Elite Blade,mhxx-romfs-game-array+mhxx-dex-1.0+mhxx-save-format-community,1,11
9,鲨护盾,Guardsqual,mhxx-romfs-game-array+mhxx-dex-1.0+mhxx-save-format-community,4,6
10,冰腮,Serrated Glace,mhxx-romfs-game-array+mhxx-dex-1.0+mhxx-save-format-community,5,5
11,黑手甲,Blackguard,mhxx-romfs-game-array+mhxx-dex-1.0+mhxx-save-format-community,2,8
12,卫士队正式盾斧,Sentinel Blade,mhxx-romfs-game-array+mhxx-dex-1.0+mhxx-save-format-community,4,6
13,骑士团队证盾斧,K. Captain's Blade,mhxx-romfs-game-array+mhxx-dex-1.0+mhxx-save-format-community,5,5
14,轰龙切割者,Tigrex Divide,mhxx-romfs-game-array+mhxx-dex-1.0+mhxx-save-format-community,3,7
15,焰火盾斧,Dear Lutemis,mhxx-romfs-game-array+mhxx-dex-1.0+mhxx-save-format-community,3,8
16,月神金盾,Luna Eostre,mhxx-romfs-game-array+mhxx-dex-1.0+mhxx-save-format-community,7,5
17,恶棍盾斧,Rogue Axe,mhxx-romfs-game-array+mhxx-dex-1.0+mhxx-save-format-community,1,10
18,夜鸟盾斧,Horror Zofar,mhxx-romfs-game-array+mhxx-dex-1.0+mhxx-save-format-community,2,9
19,雪之盾,Snowy Veil,mhxx-romfs-game-array+mhxx-dex-1.0+mhxx-save-format-community,1,8
20,骨盾斧,Bone Blade,mhxx-romfs-game-array+mhxx-dex-1.0+mhxx-save-format-community,1,11
21,淬毒之盾,Poisonous Veil,mhxx-romfs-game-array+mhxx-dex-1.0+mhxx-save-format-community,3,7
22,炎斧蛇王,Axelion Blade,mhxx-romfs-game-array+mhxx-dex-1.0+mhxx-save-format-community,3,8
23,业火斧狱雷,Hellsire Blade,mhxx-romfs-game-array+mhxx-dex-1.0+mhxx-save-format-community,7,5
24,海龙暴风雨,Lagia Storm,mhxx-romfs-game-array+mhxx-dex-1.0+mhxx-save-format-community,3,8
25,大刀侍卫,Guardian Blade,mhxx-romfs-game-array+mhxx-dex-1.0+mhxx-save-format-community,2,8
26,昆虫盾,Schildsect,mhxx-romfs-game-array+mhxx-dex-1.0+mhxx-save-format-community,4,7
27,皇虫之盾,Dominisect,mhxx-romfs-game-array+mhxx-dex-1.0+mhxx-save-format-community,6,5
