id,name,english,source,rarity,max_level
0,无,None,mhxx-romfs-game-array,0,0
1,贝鲁纳短剑,Petrified Daggers,mhxx-romfs-game-array+mhxx-dex-1.0+mhxx-save-format-community,1,11
2,黑曜石短剑,Obsidian Daggers,mhxx-romfs-game-array+mhxx-dex-1.0+mhxx-save-format-community,3,8
3,冰层心剑,Gelid Mind,mhxx-romfs-game-array+mhxx-dex-1.0+mhxx-save-format-community,4,5
4,电锯双剑,Twin Chainsaws,mhxx-romfs-game-array+mhxx-dex-1.0+mhxx-save-format-community,2,7
5,机动双锯,Roving Saws,mhxx-romfs-game-array+mhxx-dex-1.0+mhxx-save-format-community,5,5
6,51式武装棍棒,Type 51 Macerators,mhxx-romfs-game-array+mhxx-dex-1.0+mhxx-save-format-community,2,8
7,昆虫指令,Insecticutters,mhxx-romfs-game-array+mhxx-dex-1.0+mhxx-save-format-community,1,8
8,昆虫双切,Insectiscythes,mhxx-romfs-game-array+mhxx-dex-1.0+mhxx-save-format-community,5,5
9,双短剑,Twin Daggers,mhxx-romfs-game-array+mhxx-dex-1.0+mhxx-save-format-community,1,11
10,飓风,Hurricane,mhxx-romfs-game-array+mhxx-dex-1.0+mhxx-save-format-community,2,8
11,利齿双颚,Cleaving Jaws,mhxx-romfs-game-array+mhxx-dex-1.0+mhxx-save-format-community,4,6
12,冷冽剁刀,Cool Cleavers,mhxx-romfs-game-array+mhxx-dex-1.0+mhxx-save-format-community,5,5
13,碎龙双切,Dios Slicers,mhxx-romfs-game-array+mhxx-dex-1.0+mhxx-save-format-community,3,7
14,爆碎双刃,Demolition Blades,mhxx-romfs-game-array+mhxx-dex-1.0+mhxx-save-format-community,6,6
15,双剑轩辕十二,Zakun Twins,mhxx-romfs-game-array+mhxx-dex-1.0+mhxx-save-format-community,3,7
16,叛逆裂爪,Seditious Talons,mhxx-romfs-game-array+mhxx-dex-1.0+mhxx-save-format-community,6,6
17,双战斧,Dual Hatchets,mhxx-romfs-game-array+mhxx-dex-1.0+mhxx-save-format-community,3,7
18,龙卷风,Tornado Hatchets,mhxx-romfs-game-array+mhxx-dex-1.0+mhxx-save-format-community,4,5
19,轰龙双切,Rex Slicers,mhxx-romfs-game-array+mhxx-dex-1.0+mhxx-save-format-community,3,7
20,王双刃雷神,Usurper's Fulgur,mhxx-romfs-game-array+mhxx-dex-1.0+mhxx-save-format-community,3,7
21,秩序细剑,Sworn Rapiers,mhxx-romfs-game-array+mhxx-dex-1.0+mhxx-save-format-community,3,7
22,跳狗龙刺剑,Dual Piercers,mhxx-romfs-game-array+mhxx-dex-1.0+mhxx-save-format-community,1,9
23,火焰风暴,Flamestorm,mhxx-romfs-game-array+mhxx-dex-1.0+mhxx-save-format-community,6,5
24,焰形双剑,Rouge Flames,mhxx-romfs-game-array+mhxx-dex-1.0+mhxx-save-format-community,3,6
25,白电短剑,Khezu Daggers,mhxx-romfs-game-array+mhxx-dex-1.0+mhxx-save-format-community,2,8
26,双骨剑,Bone Scythes,mhxx-romfs-game-array+mhxx-dex-1.0+mhxx-save-format-community,1,11
27,雌雄双焰刀,Twin Flames,mhxx-romfs-game-array+mhxx-dex-1.0+mhxx-save-format-community,3,8
28,金银龙对剑,Wyvern Strife,mhxx-romfs-game-array+mhxx-dex-1.0+mhxx-save-format-community,7,5
29,兄弟钩爪,Talon Carvers,mhxx-romfs-game-array+mhxx-dex-1.0+mhxx-save-format-community,2,9
30,水龙曲刃刀,Plesioth Cutlasses,mhxx-romfs-game-array+mhxx-dex-1.0+mhxx-save-format-community,4,6
31,暴风火,Firestorm,mhxx-romfs-game-array+mhxx-dex-1.0+mhxx-save-format-community,5,6
32,六刃双剑,Bladed Edges,mhxx-romfs-game-array+mhxx-dex-1.0+mhxx-save-format-community,2,7
33,双钳剑,Bladed Pincers,mhxx-romfs-game-array+mhxx-dex-1.0+mhxx-save-format-community,5,5
34,禁忌匕首,Hidden Gemini,mhxx-romfs-game-array+mhxx-dex-1.0+mhxx-save-format-community,2,8
35,蟹角,Crab Horns,mhxx-romfs-game-array+mhxx-dex-1.0+mhxx-save-format-community,2,8
36,迅雷,Monarch,mhxx-romfs-game-array+mhxx-dex-1.0+mhxx-save-format-community,3,8
37,青熊双钺,Cerulean Axes,mhxx-romfs-game-array+mhxx-dex-1.0+mhxx-save-format-community,1,8
38,火刃火焰红莲,Blazeblades,mhxx-romfs-game-array+mhxx-dex-1.0+mhxx-save-format-community,3,8
39,水兽双剑,Ludroth Pair,mhxx-romfs-game-array+mhxx-dex-1.0+mhxx-save-format-community,2,8
40,双海龙剑,Twin Acrus,mhxx-romfs-game-array+mhxx-dex-1.0+mhxx-save-format-community,3,8
41,冰雪双刃,Snow Slicers,mhxx-romfs-game-array+mhxx-dex-1.0+mhxx-save-format-community,2,8
42,白兔脱缰剑,Maulagombs,mhxx-romfs-game-array+mhxx-dex-1.0+mhxx-save-format-community,4,5
43,二重战斧,Dual Battleaxes,mhxx-romfs-game-array+mhxx-dex-1.0+mhxx-save-format-community,2,9
44,蓝速龙双剑,Vprey Claws,mhxx-romfs-game-array+mhxx-dex-1.0+mhxx-save-format-community,1,7
45,寒冰毒液,Snow Venom,mhxx-romfs-game-array+mhxx-dex-1.0+mhxx-save-format-community,2,8
