id,name,english,source,rarity,max_level
0,无,None,mhxx-save-format-community,0,0
1,贝鲁纳大剑,Petrified Blade,mhxx-dex-1.0+mhxx-save-format-community,1,11
2,黑曜石剑,Obsidian Blade,mhxx-dex-1.0+mhxx-save-format-community,3,8
3,斧枪,Halberd,mhxx-dex-1.0+mhxx-save-format-community,3,8
4,决心,Decider,mhxx-dex-1.0+mhxx-save-format-community,5,6
5,火碎斩,Igneous Blade,mhxx-dex-1.0+mhxx-save-format-community,5,5
6,41式对飞龙大剑,Type 41 Wyvernator,mhxx-dex-1.0+mhxx-save-format-community,2,8
7,白电大剑,Khezu Shock Sword,mhxx-dex-1.0+mhxx-save-format-community,2,7
8,防卫者,Defender,mhxx-dex-1.0+mhxx-save-format-community,2,9
9,王大剑风雷,Usurper's Storm,mhxx-dex-1.0+mhxx-save-format-community,3,7
10,灼炎大刀,Barbaroi Blade,mhxx-dex-1.0+mhxx-save-format-community,2,8
11,铁剑,Iron Sword,mhxx-dex-1.0+mhxx-save-format-community,1,11
12,海龙大剑,Lagiacrus Blade,mhxx-dex-1.0+mhxx-save-format-community,3,7
13,雷剑海龙,Lagia Lightning,mhxx-dex-1.0+mhxx-save-format-community,6,6
14,水龙剑,Plesioth Watercutter,mhxx-dex-1.0+mhxx-save-format-community,4,7
15,流剑水龙,Plesioth Wave Sword,mhxx-dex-1.0+mhxx-save-format-community,6,5
16,藏钩大剑,Ravager Blade,mhxx-dex-1.0+mhxx-save-format-community,3,8
17,上位藏钩大剑,Lacerator Blade,mhxx-dex-1.0+mhxx-save-format-community,4,5
18,战术大剑,Tactical Blade,mhxx-dex-1.0+mhxx-save-format-community,3,7
19,隐秘斩切刀,Hidden Blade,mhxx-dex-1.0+mhxx-save-format-community,2,8
20,破坏者大剑,Buster Sword,mhxx-dex-1.0+mhxx-save-format-community,2,9
21,铬金咬剃刀,Chrome Razor,mhxx-dex-1.0+mhxx-save-format-community,4,7
22,黄铜炎剑,Brazenwall,mhxx-dex-1.0+mhxx-save-format-community,3,8
23,斯库拉伽,Skraga,mhxx-dex-1.0+mhxx-save-format-community,2,8
24,武骨厨刀,Santoku Reaver,mhxx-dex-1.0+mhxx-save-format-community,2,8
25,蟾蜍大厨刀,Toad Bereaver,mhxx-dex-1.0+mhxx-save-format-community,5,6
26,骨刃,Bone Cleaver,mhxx-dex-1.0+mhxx-save-format-community,1,11
27,赤翼,Red Wing,mhxx-dex-1.0+mhxx-save-format-community,3,8
28,辉剑火龙,Rathalos Gleamsword,mhxx-dex-1.0+mhxx-save-format-community,7,5
29,大剑参宿七,Cheda Blade,mhxx-dex-1.0+mhxx-save-format-community,3,7
30,叛逆断刀,Seditious Cleaver,mhxx-dex-1.0+mhxx-save-format-community,6,6
31,龙颚,Jawblade,mhxx-dex-1.0+mhxx-save-format-community,2,9
32,龙颚剑,Wyvern Jawblade,mhxx-dex-1.0+mhxx-save-format-community,5,6
33,奇猿狐大剑,Thrash Sword,mhxx-dex-1.0+mhxx-save-format-community,4,6
34,奇猿狐狂刃,Thrash Blade,mhxx-dex-1.0+mhxx-save-format-community,5,6
35,巨骨剑,Golem Blade,mhxx-dex-1.0+mhxx-save-format-community,3,8
36,女武神骨剑,Valkyrie Blade,mhxx-dex-1.0+mhxx-save-format-community,3,8
37,斯巴达之剑,Spartacus Blade,mhxx-dex-1.0+mhxx-save-format-community,6,6
38,轰龙颚,Tiger Jawblade,mhxx-dex-1.0+mhxx-save-format-community,3,7
39,碎龙巨剑,Dios Blade,mhxx-dex-1.0+mhxx-save-format-community,3,7
40,爆碎大剑,Demolition Sword,mhxx-dex-1.0+mhxx-save-format-community,6,6
41,处刑者,Executioner,mhxx-dex-1.0+mhxx-save-format-community,4,7
