id,name,english,source,rarity,max_level
0,无,None,mhxx-save-format-community,0,0
1,贝鲁纳铳枪,Petrified Gunlance,mhxx-dex-1.0+mhxx-save-format-community,1,11
2,黑曜石铳枪,Obsidian Gunlance,mhxx-dex-1.0+mhxx-save-format-community,3,8
3,毒鸟铳枪,Hard Hitter,mhxx-dex-1.0+mhxx-save-format-community,2,9
4,破坏射击,Shattershot,mhxx-dex-1.0+mhxx-save-format-community,2,8
5,电伏特MAX,Full Voltage,mhxx-dex-1.0+mhxx-save-format-community,2,7
6,白兔铳枪,Lagomberator,mhxx-dex-1.0+mhxx-save-format-community,2,8
7,白兔暴风,Lagomberastrophe,mhxx-dex-1.0+mhxx-save-format-community,5,5
8,海洋钓手,Marine Fisher,mhxx-dex-1.0+mhxx-save-format-community,5,6
9,熔铳枪火山,Volcano Gunlance,mhxx-dex-1.0+mhxx-save-format-community,5,5
10,朱鬼铳枪,Red Devil Gunlance,mhxx-dex-1.0+mhxx-save-format-community,2,8
11,苍鬼刨刀铳枪,Blue Devil Uberlance,mhxx-dex-1.0+mhxx-save-format-community,5,6
12,烈焰铳枪,Flamethrower,mhxx-dex-1.0+mhxx-save-format-community,6,5
13,铁铳枪,Iron Gunlance,mhxx-dex-1.0+mhxx-save-format-community,1,11
14,潜海者,Seadiver,mhxx-dex-1.0+mhxx-save-format-community,4,6
15,深渊破坏者,Deepbuster,mhxx-dex-1.0+mhxx-save-format-community,5,5
16,铳枪败臼一,Jaya Gunlance,mhxx-dex-1.0+mhxx-save-format-community,3,7
17,叛逆铳枪,Seditious Gunlance,mhxx-dex-1.0+mhxx-save-format-community,6,6
18,讨伐队正式铳枪,Striker's Gunlance,mhxx-dex-1.0+mhxx-save-format-community,2,8
19,王家护卫,General's Arbalance,mhxx-dex-1.0+mhxx-save-format-community,4,7
20,赤色战车,Red Rook,mhxx-dex-1.0+mhxx-save-format-community,3,8
21,银鳞战车,Silver Rook,mhxx-dex-1.0+mhxx-save-format-community,7,5
22,海龙爆裂铳枪,Lagia Burst,mhxx-dex-1.0+mhxx-save-format-community,3,8
23,碎龙铳枪,Dios Gunlance,mhxx-dex-1.0+mhxx-save-format-community,3,7
24,爆碎铳枪,Demolition Gunlance,mhxx-dex-1.0+mhxx-save-format-community,6,6
25,古式回旋铳枪,Ancient Gyrelance,mhxx-dex-1.0+mhxx-save-format-community,3,7
26,62式突击铳枪,Type 62 Stormlance,mhxx-dex-1.0+mhxx-save-format-community,2,8
27,恶棍铳枪,Rogue Gunlance,mhxx-dex-1.0+mhxx-save-format-community,1,10
28,阿利亚加达,Arya Gadda,mhxx-dex-1.0+mhxx-save-format-community,4,7
29,黄速龙王枪,Genenam Lance,mhxx-dex-1.0+mhxx-save-format-community,1,9
30,骨铳枪,Bone Gunlance,mhxx-dex-1.0+mhxx-save-format-community,1,11
31,鬼铳枪,Demon Gunlance,mhxx-dex-1.0+mhxx-save-format-community,6,6
32,鬼神铳枪,Demonlord Artillery,mhxx-dex-1.0+mhxx-save-format-community,7,5
