id,name,english,source,rarity,max_level
0,无,None,mhxx-save-format-community,0,0
1,贝鲁纳大锤,Petrified Hammer,mhxx-dex-1.0+mhxx-save-format-community,1,11
2,黑曜石大锤,Obsidian Hammer,mhxx-dex-1.0+mhxx-save-format-community,3,8
3,铁拳,Fist of Fury,mhxx-dex-1.0+mhxx-save-format-community,4,6
4,轰龙纹锤,Striped Striker,mhxx-dex-1.0+mhxx-save-format-community,3,7
5,超级新星,Great Nova,mhxx-dex-1.0+mhxx-save-format-community,2,8
6,指虎,Brazenclout,mhxx-dex-1.0+mhxx-save-format-community,3,7
7,42式破甲锤,Type 42 Shellbuster,mhxx-dex-1.0+mhxx-save-format-community,2,7
8,铁锤,Iron Hammer,mhxx-dex-1.0+mhxx-save-format-community,1,11
9,鬼铁丸,Devil Masher,mhxx-dex-1.0+mhxx-save-format-community,5,7
10,铁砧锤,Anvil Hammer,mhxx-dex-1.0+mhxx-save-format-community,3,8
11,加速重锤,Accelerated Hammer,mhxx-dex-1.0+mhxx-save-format-community,4,7
12,螺旋推进锤,Nitro Boost Hammer,mhxx-dex-1.0+mhxx-save-format-community,6,5
13,束缚之力,Binding Bludgeon,mhxx-dex-1.0+mhxx-save-format-community,2,8
14,战锤,War Hammer,mhxx-dex-1.0+mhxx-save-format-community,2,9
15,战争印记,War Stamp,mhxx-dex-1.0+mhxx-save-format-community,5,5
16,铁打击锤,Iron Striker,mhxx-dex-1.0+mhxx-save-format-community,4,6
17,怒发锤,Mane Malice,mhxx-dex-1.0+mhxx-save-format-community,6,6
18,鬼神锤,Demonlord Hammer,mhxx-dex-1.0+mhxx-save-format-community,7,5
19,枪锤,Gun Hammer,mhxx-dex-1.0+mhxx-save-format-community,3,8
20,短敲者,Shot Crusher,mhxx-dex-1.0+mhxx-save-format-community,6,5
21,钉锤,Spiked Hammer,mhxx-dex-1.0+mhxx-save-format-community,1,10
22,海雷涡流锤,Vortex Hammer,mhxx-dex-1.0+mhxx-save-format-community,3,7
23,雷锤漩涡,Vortical Hammer,mhxx-dex-1.0+mhxx-save-format-community,6,6
24,冻结核心,Frozen Core,mhxx-dex-1.0+mhxx-save-format-community,2,7
25,骨锤,Bone Hammer,mhxx-dex-1.0+mhxx-save-format-community,1,11
26,虾壳印锤,Lobstrosity,mhxx-dex-1.0+mhxx-save-format-community,3,7
27,灾厄之兆,Calamitous Portent,mhxx-dex-1.0+mhxx-save-format-community,2,8
28,碎龙之尾,Dios Tailhammer,mhxx-dex-1.0+mhxx-save-format-community,3,7
29,爆碎破锤,Demolition Hammer,mhxx-dex-1.0+mhxx-save-format-community,6,6
30,独眼巨人锤,Cyclo-Hammer,mhxx-dex-1.0+mhxx-save-format-community,2,9
