id,name,english,source,rarity,max_level
0,无,None,mhxx-save-format-community,0,0
1,贝鲁纳加农炮,Petrified Cannon,mhxx-dex-1.0+mhxx-save-format-community,1,11
2,妃龙炮【远击】,Queen's Longfire,mhxx-dex-1.0+mhxx-save-format-community,5,6
3,黑曜石加农炮,Obsidian Cannon,mhxx-dex-1.0+mhxx-save-format-community,3,6
4,集气虫炮,Griffin's Charge,mhxx-dex-1.0+mhxx-save-format-community,5,5
5,破坏者蟹弩,Crab Buster,mhxx-dex-1.0+mhxx-save-format-community,2,8
6,穿刺棒,Piercing Crab,mhxx-dex-1.0+mhxx-save-format-community,4,6
7,白兔射手,Spheniscine Slayer,mhxx-dex-1.0+mhxx-save-format-community,2,7
8,隐秘狙击手,Hidden Gambit,mhxx-dex-1.0+mhxx-save-format-community,2,8
9,雪鹿弩,Anteka Burst,mhxx-dex-1.0+mhxx-save-format-community,1,7
10,速射狙击弩,Rapidcaster,mhxx-dex-1.0+mhxx-save-format-community,4,5
11,开伦弩,Carom Shot,mhxx-dex-1.0+mhxx-save-format-community,2,6
12,炎戈击弩,Agnaboom,mhxx-dex-1.0+mhxx-save-format-community,5,5
13,潜沙者,Sand Diver,mhxx-dex-1.0+mhxx-save-format-community,1,8
14,水龙弩,Pressurized Plaser,mhxx-dex-1.0+mhxx-save-format-community,4,6
15,十字重弩,Arbalest,mhxx-dex-1.0+mhxx-save-format-community,1,11
16,轰龙咆哮,Tigrex Howl,mhxx-dex-1.0+mhxx-save-format-community,3,6
17,怪鸟炮,Yian Kut-Ku Cannon,mhxx-dex-1.0+mhxx-save-format-community,2,7
18,火炮【乌】,Raven Heirloom,mhxx-dex-1.0+mhxx-save-format-community,3,7
19,拜纳克鲁纳,Binary Blaster,mhxx-dex-1.0+mhxx-save-format-community,2,7
20,战车魔术师,Tankmage,mhxx-dex-1.0+mhxx-save-format-community,2,7
21,冰雪重弩,Icethrower,mhxx-dex-1.0+mhxx-save-format-community,2,7
22,迅雷狙击弩,Quickcaster,mhxx-dex-1.0+mhxx-save-format-community,5,5
23,注射重弩,Injector Cannon,mhxx-dex-1.0+mhxx-save-format-community,1,8
24,终极蜂针,Flechette Gun,mhxx-dex-1.0+mhxx-save-format-community,4,6
25,陨石火箭炮,Meteor Bazooka,mhxx-dex-1.0+mhxx-save-format-community,2,7
26,陨石破坏者,Meteor Buster,mhxx-dex-1.0+mhxx-save-format-community,4,6
27,讨伐队正式重炮,Striker's Bowgun,mhxx-dex-1.0+mhxx-save-format-community,4,5
28,绞蛇咬弩,Bite Blaster,mhxx-dex-1.0+mhxx-save-format-community,2,6
29,重弩天仓一,Sayyad Cannon,mhxx-dex-1.0+mhxx-save-format-community,3,6
30,叛逆怒炮,Seditious Cannon,mhxx-dex-1.0+mhxx-save-format-community,6,6
31,骨制发射器,Bone Shooter,mhxx-dex-1.0+mhxx-save-format-community,1,11
32,碎龙加农炮,Dios Cannon,mhxx-dex-1.0+mhxx-save-format-community,3,5
33,爆碎重炮,Demolition Cannon,mhxx-dex-1.0+mhxx-save-format-community,6,6
34,46式潜伏重炮,Type 46 Gunflage,mhxx-dex-1.0+mhxx-save-format-community,2,7
35,海龙闪击,Lagia Blitz,mhxx-dex-1.0+mhxx-save-format-community,3,7
36,王炮雷弩,Usurper's Tremor,mhxx-dex-1.0+mhxx-save-format-community,3,6
37,草食龙炮,Marino Burst,mhxx-dex-1.0+mhxx-save-format-community,1,7
38,青熊筒,Arzuros Gun,mhxx-dex-1.0+mhxx-save-format-community,4,5
39,荒绳鼓炮,Straw Drumcannon,mhxx-dex-1.0+mhxx-save-format-community,4,5
40,绿山炮,Monteverde,mhxx-dex-1.0+mhxx-save-format-community,6,6
41,矿石结晶新星,Shooting Star,mhxx-dex-1.0+mhxx-save-format-community,5,5
42,电龙炮【进击】,Wyvern Blaster,mhxx-dex-1.0+mhxx-save-format-community,3,7
43,巨兽炮,Giant's Cannon,mhxx-dex-1.0+mhxx-save-format-community,3,7
44,狐重炮【风过云雾散】,Cirrus Blaster,mhxx-dex-1.0+mhxx-save-format-community,3,7
45,灼炎炮弩,Burning Igna,mhxx-dex-1.0+mhxx-save-format-community,3,7
46,导火索of危机,Tödlicher Abzug,mhxx-dex-1.0+mhxx-save-format-community,3,5
47,THE灾难,Le Désastre,mhxx-dex-1.0+mhxx-save-format-community,6,6
48,钢龙坚弩,Daora's Delphinidae,mhxx-dex-1.0+mhxx-save-format-community,3,6
49,霞龙浓雾重弩,Kamaeleon,mhxx-dex-1.0+mhxx-save-format-community,7,5
