id,name,english,source,rarity,max_level
0,无,None,mhxx-romfs-game-array,0,0
1,贝鲁纳号角,Petrified Horn,mhxx-romfs-game-array+mhxx-dex-1.0+mhxx-save-format-community,1,11
2,黑曜石号角,Obsidian Horn,mhxx-romfs-game-array+mhxx-dex-1.0+mhxx-save-format-community,3,8
3,狩猎笛参宿七,Vadya Muse,mhxx-romfs-game-array+mhxx-dex-1.0+mhxx-save-format-community,3,7
4,叛逆战笛,Seditious Warhorn,mhxx-romfs-game-array+mhxx-dex-1.0+mhxx-save-format-community,6,6
5,水兽笛,Droth Drone,mhxx-romfs-game-array+mhxx-dex-1.0+mhxx-save-format-community,2,9
6,怪鸟之歌,Kut-Ku's Song,mhxx-romfs-game-array+mhxx-dex-1.0+mhxx-save-format-community,2,9
7,毒笛狂想曲,Poisoned Capri,mhxx-romfs-game-array+mhxx-dex-1.0+mhxx-save-format-community,2,9
8,首鸣龙陶笛,Larinoth Ocarina,mhxx-romfs-game-array+mhxx-dex-1.0+mhxx-save-format-community,1,7
9,铁号角,Iron Horn,mhxx-romfs-game-array+mhxx-dex-1.0+mhxx-save-format-community,1,11
10,炎戈火风琴,Agnakdion,mhxx-romfs-game-array+mhxx-dex-1.0+mhxx-save-format-community,6,6
11,女武神战铃,Valkyrie Chordmaker,mhxx-romfs-game-array+mhxx-dex-1.0+mhxx-save-format-community,3,8
12,金狩猎笛,Gold Chordmaker,mhxx-romfs-game-array+mhxx-dex-1.0+mhxx-save-format-community,7,5
13,金属风笛,Metal Bagpipe,mhxx-romfs-game-array+mhxx-dex-1.0+mhxx-save-format-community,2,9
14,重风笛,Heavy Bagpipe,mhxx-romfs-game-array+mhxx-dex-1.0+mhxx-save-format-community,4,7
15,海龙角笛,Lagia Horn,mhxx-romfs-game-array+mhxx-dex-1.0+mhxx-save-format-community,3,8
16,隐秘音调,Hidden Harmonic,mhxx-romfs-game-array+mhxx-dex-1.0+mhxx-save-format-community,2,8
17,波莉亚芙之笛,Poli'ahu Pipe,mhxx-romfs-game-array+mhxx-dex-1.0+mhxx-save-format-community,5,6
18,63式军乐口风琴,Type 63 Warmonica,mhxx-romfs-game-array+mhxx-dex-1.0+mhxx-save-format-community,2,8
19,音速笛,Sonic Glass,mhxx-romfs-game-array+mhxx-dex-1.0+mhxx-save-format-community,1,7
20,骨号角,Bone Horn,mhxx-romfs-game-array+mhxx-dex-1.0+mhxx-save-format-community,1,11
21,猎人号角,Hunter's Horn,mhxx-romfs-game-array+mhxx-dex-1.0+mhxx-save-format-community,3,7
22,碎龙铃铛,Dios Bell,mhxx-romfs-game-array+mhxx-dex-1.0+mhxx-save-format-community,3,7
23,爆碎破坏铃,Demolition Chime,mhxx-romfs-game-array+mhxx-dex-1.0+mhxx-save-format-community,6,6
24,危险警笛,Danger Call,mhxx-romfs-game-array+mhxx-dex-1.0+mhxx-save-format-community,2,7
25,危机警笛,Hazardous Call,mhxx-romfs-game-array+mhxx-dex-1.0+mhxx-save-format-community,5,6
26,蓝速龙笛,Velociprey Balloon,mhxx-romfs-game-array+mhxx-dex-1.0+mhxx-save-format-community,1,8
27,蓝速龙王笛,Velocidrome Balloon,mhxx-romfs-game-array+mhxx-dex-1.0+mhxx-save-format-community,4,6
28,白速龙笛,Giaprey Balloon,mhxx-romfs-game-array+mhxx-dex-1.0+mhxx-save-format-community,1,8
29,白电号角,Khezu Horn,mhxx-romfs-game-array+mhxx-dex-1.0+mhxx-save-format-community,2,7
30,公牛低吼,Bull Grunt,mhxx-romfs-game-array+mhxx-dex-1.0+mhxx-save-format-community,1,8
31,青熊笛【壹式】,Zurogong Primo,mhxx-romfs-game-array+mhxx-dex-1.0+mhxx-save-format-community,1,8
32,奇猿狐弯笛,Kecha Whappa,mhxx-romfs-game-array+mhxx-dex-1.0+mhxx-save-format-community,4,6
33,奇猿狐动听弯笛,Kecha Thumpa,mhxx-romfs-game-array+mhxx-dex-1.0+mhxx-save-format-community,5,6
34,轰龙纹笛,Striped Dragonga,mhxx-romfs-game-array+mhxx-dex-1.0+mhxx-save-format-community,3,7
35,轰音巨笛,Brazengaita,mhxx-romfs-game-array+mhxx-dex-1.0+mhxx-save-format-community,3,8
36,鬼面木鱼,Demon Block,mhxx-romfs-game-array+mhxx-dex-1.0+mhxx-save-format-community,2,9
37,震山太鼓,Mountain Crusher,mhxx-romfs-game-array+mhxx-dex-1.0+mhxx-save-format-community,6,5
38,甲壳响板,Shell Castanet,mhxx-romfs-game-array+mhxx-dex-1.0+mhxx-save-format-community,2,8
39,虫甲笛零式,Vicello Nulo,mhxx-romfs-game-array+mhxx-dex-1.0+mhxx-save-format-community,1,9
40,绿虫甲笛零式,Vicello Nulo (G),mhxx-romfs-game-array+mhxx-dex-1.0+mhxx-save-format-community,2,8
41,红虫甲笛零式,Vicello Nulo (R),mhxx-romfs-game-array+mhxx-dex-1.0+mhxx-save-format-community,2,8
42,白虫甲笛零式,Vicello Nulo (W),mhxx-romfs-game-array+mhxx-dex-1.0+mhxx-save-format-community,2,8
43,王琴轰雷,Usurper's Growl,mhxx-romfs-game-array+mhxx-dex-1.0+mhxx-save-format-community,3,7
44,夜鸟琴,Fool's Harp,mhxx-romfs-game-array+mhxx-dex-1.0+mhxx-save-format-community,2,9
45,熔岩竖琴,Lava Alphorn,mhxx-romfs-game-array+mhxx-dex-1.0+mhxx-save-format-community,5,5
46,三味线【乌】,Raven Shamisen,mhxx-romfs-game-array+mhxx-dex-1.0+mhxx-save-format-community,3,7
47,三味线【兇】,Vile Shamisen,mhxx-romfs-game-array+mhxx-dex-1.0+mhxx-save-format-community,6,5
48,雪狮琴,Dodotto Horn,mhxx-romfs-game-array+mhxx-dex-1.0+mhxx-save-format-community,2,7
49,绿宝石狩猎笛,Emerald Flap,mhxx-romfs-game-array+mhxx-dex-1.0+mhxx-save-format-community,3,9
