id,name,english,source,rarity,max_level
0,无,None,mhxx-save-format-community,0,0
1,贝鲁纳虫棍,Petrified Rod,mhxx-dex-1.0+mhxx-save-format-community,1,11
2,黑曜石棍,Obsidian Rod,mhxx-dex-1.0+mhxx-save-format-community,3,8
3,怪鸟矛,Kut-Ku Pike,mhxx-dex-1.0+mhxx-save-format-community,2,9
4,皇家扫帚,Royal Bloom,mhxx-dex-1.0+mhxx-save-format-community,2,8
5,跳狗龙棍,Fader Rod,mhxx-dex-1.0+mhxx-save-format-community,1,9
6,虫棍河鼓二,Altair,mhxx-dex-1.0+mhxx-save-format-community,3,7
7,叛逆破棍,Seditious Breaker,mhxx-dex-1.0+mhxx-save-format-community,6,6
8,隐秘之镰,Hidden Scythe,mhxx-dex-1.0+mhxx-save-format-community,2,8
9,雷光膛棍,Bolt Chamber,mhxx-dex-1.0+mhxx-save-format-community,2,9
10,铁刺刀,Iron Bayonet,mhxx-dex-1.0+mhxx-save-format-community,1,11
11,正负电极管,Arcane Strike,mhxx-dex-1.0+mhxx-save-format-community,2,9
12,青之刺刀,Azure Bayonet,mhxx-dex-1.0+mhxx-save-format-community,1,8
13,乾坤火龙棍,Heaven's Rath Glaive,mhxx-dex-1.0+mhxx-save-format-community,7,5
14,红之枪斧,Crimson Fury,mhxx-dex-1.0+mhxx-save-format-community,2,8
15,沙锚,Sand Anchor,mhxx-dex-1.0+mhxx-save-format-community,1,8
16,鱼鳍鱼叉,Fin Harpoon,mhxx-dex-1.0+mhxx-save-format-community,5,5
17,冰河虫棍,Névé Rod,mhxx-dex-1.0+mhxx-save-format-community,4,7
18,骨制虫棍,Bone Staff,mhxx-dex-1.0+mhxx-save-format-community,1,11
19,高空长刃,Sky-high Glaive,mhxx-dex-1.0+mhxx-save-format-community,5,5
20,如意棒,Mind Stick,mhxx-dex-1.0+mhxx-save-format-community,4,7
21,坚实长棍,Sturdy Glaive,mhxx-dex-1.0+mhxx-save-format-community,3,7
22,火焰斧枪,Flaming Halberd,mhxx-dex-1.0+mhxx-save-format-community,6,6
23,黑暗蓝刃,Deep Blue Glaive,mhxx-dex-1.0+mhxx-save-format-community,5,6
24,碎龙虫棍,Dios Rod,mhxx-dex-1.0+mhxx-save-format-community,3,7
25,爆碎黑曜杵,Demolition Press,mhxx-dex-1.0+mhxx-save-format-community,6,6
26,针叶常春藤,Needle Ivy,mhxx-dex-1.0+mhxx-save-format-community,2,8
27,舞乱棍,Wardance Cudgel,mhxx-dex-1.0+mhxx-save-format-community,1,8
28,怒怒舞乱棍,Rage Cudgel,mhxx-dex-1.0+mhxx-save-format-community,2,7
29,甲壳轮棍,Shell Intoner,mhxx-dex-1.0+mhxx-save-format-community,2,8
30,甲虫三叉戟,Hortadent,mhxx-dex-1.0+mhxx-save-format-community,1,8
31,教团刀棍,Sect Happa,mhxx-dex-1.0+mhxx-save-format-community,4,6
32,飞天刀棍,Trim Happa,mhxx-dex-1.0+mhxx-save-format-community,6,5
33,热雷之电龙棍,Astalos Cudgel,mhxx-dex-1.0+mhxx-save-format-community,3,9
34,巨兽棍,Giant's Cudgel,mhxx-dex-1.0+mhxx-save-format-community,3,9
35,狐薙刀【秋风引枝露】,Fox Halberd,mhxx-dex-1.0+mhxx-save-format-community,3,9
36,灼炎长棍,Flaming Teuza,mhxx-dex-1.0+mhxx-save-format-community,3,9
37,狙击of戏法,Leumundslist,mhxx-dex-1.0+mhxx-save-format-community,3,7
38,THE追踪者,Le Traqueur,mhxx-dex-1.0+mhxx-save-format-community,3,8
39,灵魂钢龙棍,Daora's Entom,mhxx-dex-1.0+mhxx-save-format-community,3,6
40,轮棍,Caster's Rod,mhxx-dex-1.0+mhxx-save-format-community,3,6
41,深蓝闪电,Indigo Flash,mhxx-dex-1.0+mhxx-save-format-community,3,7
42,金碎棍棒,Metal Mauler,mhxx-dex-1.0+mhxx-save-format-community,6,6
43,鬼神棍【猿王】,Demonlord Cudgel,mhxx-dex-1.0+mhxx-save-format-community,7,5
44,名为蛇夫的白骸,Skeletal Cudgel,mhxx-dex-1.0+mhxx-save-format-community,3,7
45,极星棍【蛇夫】,Polaris Zimbal,mhxx-dex-1.0+mhxx-save-format-community,7,5
46,崩杖虫鸣预言末日,Ukanlos Staff,mhxx-dex-1.0+mhxx-save-format-community,7,5
47,煌黑龙棍,Alatreon Dragonspire,mhxx-dex-1.0+mhxx-save-format-community,7,5
48,黑棍,Black Rod,mhxx-dex-1.0+mhxx-save-format-community,3,7
49,扫棍打磨,Push Broom,mhxx-dex-1.0+mhxx-save-format-community,3,6
