id,name,english,source,rarity,max_level
0,无,None,mhxx-save-format-community,0,0
1,贝鲁纳长枪,Petrified Lance,mhxx-dex-1.0+mhxx-save-format-community,1,11
2,黑曜石长枪,Obsidian Lance,mhxx-dex-1.0+mhxx-save-format-community,3,8
3,斑斓十字,Cross Coloris,mhxx-dex-1.0+mhxx-save-format-community,2,8
4,方天戟【乌】,Incessant Raven,mhxx-dex-1.0+mhxx-save-format-community,3,7
5,方天戟【兇】,Incessant Evil,mhxx-dex-1.0+mhxx-save-format-community,6,5
6,弯曲爬虫,Twistcrawl,mhxx-dex-1.0+mhxx-save-format-community,2,7
7,扭曲爬虫,Twisting Crawler,mhxx-dex-1.0+mhxx-save-format-community,5,5
8,山脉战矛,Boros Spear,mhxx-dex-1.0+mhxx-save-format-community,6,5
9,蛇枪【蛇神】,Naag Serpentblade,mhxx-dex-1.0+mhxx-save-format-community,2,8
10,铁长枪,Iron Lance,mhxx-dex-1.0+mhxx-save-format-community,1,11
11,赛因斯长枪,Squire Spear,mhxx-dex-1.0+mhxx-save-format-community,4,7
12,刺铠长枪,Estoc,mhxx-dex-1.0+mhxx-save-format-community,2,7
13,圣骑士长枪,Paladin Lance,mhxx-dex-1.0+mhxx-save-format-community,3,7
14,巴别塔,Babel Spear,mhxx-dex-1.0+mhxx-save-format-community,5,6
15,击龙枪【哼】,Growling Wyvern,mhxx-dex-1.0+mhxx-save-format-community,4,7
16,轰龙之刺,Tiger Stinger,mhxx-dex-1.0+mhxx-save-format-community,3,7
17,熔岩锥,Lava Cone,mhxx-dex-1.0+mhxx-save-format-community,5,5
18,神圣长枪,Thane Lance,mhxx-dex-1.0+mhxx-save-format-community,1,10
19,十字长枪,Acrus Lance,mhxx-dex-1.0+mhxx-save-format-community,3,7
20,雷枪多利斯,Doris Spear,mhxx-dex-1.0+mhxx-save-format-community,6,6
21,钢壳铁骑枪,Steel Knight's Pike,mhxx-dex-1.0+mhxx-save-format-community,3,7
22,龙骑枪盖伯加,Dragon Rider Spear,mhxx-dex-1.0+mhxx-save-format-community,6,6
23,钻头长枪,Drill Lance,mhxx-dex-1.0+mhxx-save-format-community,2,8
24,隐秘穿刺,Hidden Stinger,mhxx-dex-1.0+mhxx-save-format-community,2,8
25,锐利长枪,Spiked Spear,mhxx-dex-1.0+mhxx-save-format-community,1,8
26,水龙矛,Aqua Spear,mhxx-dex-1.0+mhxx-save-format-community,4,6
27,摇篮曲之矛,Rockabye Spear,mhxx-dex-1.0+mhxx-save-format-community,5,6
28,雷枪【雷】,Thunderspear,mhxx-dex-1.0+mhxx-save-format-community,3,8
29,43式强袭枪,Type 43 Dragonlance,mhxx-dex-1.0+mhxx-save-format-community,2,7
