equipment_type,weapon_id,save_level,display_level,slots,source
7,0,0,1,0,mhxx-romfs-native-table
7,1,0,1,0,mhxx-romfs-native-table
7,1,1,2,0,mhxx-romfs-native-table
7,1,2,3,0,mhxx-romfs-native-table
7,1,3,4,0,mhxx-romfs-native-table
7,1,4,5,0,mhxx-romfs-native-table
7,1,5,6,1,mhxx-romfs-native-table
7,1,6,7,1,mhxx-romfs-native-table
7,1,7,8,1,mhxx-romfs-native-table
7,1,8,9,2,mhxx-romfs-native-table
7,1,9,10,2,mhxx-romfs-native-table
7,1,10,11,3,mhxx-romfs-native-table
7,2,0,1,0,mhxx-romfs-native-table
7,2,1,2,0,mhxx-romfs-native-table
7,2,2,3,0,mhxx-romfs-native-table
7,2,3,4,0,mhxx-romfs-native-table
7,2,4,5,0,mhxx-romfs-native-table
7,2,5,6,0,mhxx-romfs-native-table
7,2,6,7,1,mhxx-romfs-native-table
7,2,7,8,2,mhxx-romfs-native-table
7,3,0,1,0,mhxx-romfs-native-table
7,3,1,2,0,mhxx-romfs-native-table
7,3,2,3,0,mhxx-romfs-native-table
7,3,3,4,0,mhxx-romfs-native-table
7,3,4,5,0,mhxx-romfs-native-table
7,3,5,6,0,mhxx-romfs-native-table
7,3,6,7,0,mhxx-romfs-native-table
7,3,7,8,0,mhxx-romfs-native-table
7,4,0,1,1,mhxx-romfs-native-table
7,4,1,2,1,mhxx-romfs-native-table
7,4,2,3,1,mhxx-romfs-native-table
7,4,3,4,1,mhxx-romfs-native-table
7,4,4,5,1,mhxx-romfs-native-table
7,4,5,6,1,mhxx-romfs-native-table
7,5,0,1,1,mhxx-romfs-native-table
7,5,1,2,1,mhxx-romfs-native-table
7,5,2,3,1,mhxx-romfs-native-table
7,5,3,4,2,mhxx-romfs-native-table
7,5,4,5,3,mhxx-romfs-native-table
7,6,0,1,0,mhxx-romfs-native-table
7,6,1,2,0,mhxx-romfs-native-table
7,6,2,3,0,mhxx-romfs-native-table
7,6,3,4,0,mhxx-romfs-native-table
7,6,4,5,0,mhxx-romfs-native-table
7,6,5,6,0,mhxx-romfs-native-table
7,6,6,7,0,mhxx-romfs-native-table
7,6,7,8,0,mhxx-romfs-native-table
7,7,0,1,0,mhxx-romfs-native-table
7,7,1,2,2,mhxx-romfs-native-table
7,7,2,3,2,mhxx-romfs-native-table
7,7,3,4,2,mhxx-romfs-native-table
7,7,4,5,2,mhxx-romfs-native-table
7,7,5,6,2,mhxx-romfs-native-table
7,7,6,7,2,mhxx-romfs-native-table
7,8,0,1,0,mhxx-romfs-native-table
7,8,1,2,0,mhxx-romfs-native-table
7,8,2,3,0,mhxx-romfs-native-table
7,8,3,4,0,mhxx-romfs-native-table
7,8,4,5,0,mhxx-romfs-native-table
7,8,5,6,0,mhxx-romfs-native-table
7,8,6,7,0,mhxx-romfs-native-table
7,8,7,8,0,mhxx-romfs-native-table
7,8,8,9,0,mhxx-romfs-native-table
7,9,0,1,1,mhxx-romfs-native-table
7,9,1,2,1,mhxx-romfs-native-table
7,9,2,3,1,mhxx-romfs-native-table
7,9,3,4,1,mhxx-romfs-native-table
7,9,4,5,1,mhxx-romfs-native-table
7,9,5,6,1,mhxx-romfs-native-table
7,9,6,7,1,mhxx-romfs-native-table
7,10,0,1,0,mhxx-romfs-native-table
7,10,1,2,0,mhxx-romfs-native-table
7,10,2,3,0,mhxx-romfs-native-table
7,10,3,4,0,mhxx-romfs-native-table
7,10,4,5,0,mhxx-romfs-native-table
7,10,5,6,0,mhxx-romfs-native-table
7,10,6,7,0,mhxx-romfs-native-table
7,10,7,8,0,mhxx-romfs-native-table
7,11,0,1,0,mhxx-romfs-native-table
7,11,1,2,0,mhxx-romfs-native-table
7,11,2,3,0,mhxx-romfs-native-table
7,11,3,4,0,mhxx-romfs-native-table
7,11,4,5,0,mhxx-romfs-native-table
7,11,5,6,0,mhxx-romfs-native-table
7,11,6,7,0,mhxx-romfs-native-table
7,11,7,8,0,mhxx-romfs-native-table
7,11,8,9,0,mhxx-romfs-native-table
7,11,9,10,0,mhxx-romfs-native-table
7,11,10,11,0,mhxx-romfs-native-table
7,12,0,1,1,mhxx-romfs-native-table
7,12,1,2,1,mhxx-romfs-native-table
7,12,2,3,1,mhxx-romfs-native-table
7,12,3,4,2,mhxx-romfs-native-table
7,12,4,5,2,mhxx-romfs-native-table
7,12,5,6,2,mhxx-romfs-native-table
7,12,6,7,3,mhxx-romfs-native-table
7,13,0,1,1,mhxx-romfs-native-table
7,13,1,2,1,mhxx-romfs-native-table
7,13,2,3,1,mhxx-romfs-native-table
7,13,3,4,1,mhxx-romfs-native-table
7,13,4,5,1,mhxx-romfs-native-table
7,13,5,6,1,mhxx-romfs-native-table
7,14,0,1,0,mhxx-romfs-native-table
7,14,1,2,0,mhxx-romfs-native-table
7,14,2,3,0,mhxx-romfs-native-table
7,14,3,4,0,mhxx-romfs-native-table
7,14,4,5,0,mhxx-romfs-native-table
7,14,5,6,0,mhxx-romfs-native-table
7,14,6,7,0,mhxx-romfs-native-table
7,15,0,1,0,mhxx-romfs-native-table
7,15,1,2,0,mhxx-romfs-native-table
7,15,2,3,0,mhxx-romfs-native-table
7,15,3,4,0,mhxx-romfs-native-table
7,15,4,5,0,mhxx-romfs-native-table
7,16,0,1,1,mhxx-romfs-native-table
7,16,1,2,1,mhxx-romfs-native-table
7,16,2,3,2,mhxx-romfs-native-table
7,16,3,4,2,mhxx-romfs-native-table
7,16,4,5,2,mhxx-romfs-native-table
7,16,5,6,2,mhxx-romfs-native-table
7,16,6,7,2,mhxx-romfs-native-table
7,16,7,8,2,mhxx-romfs-native-table
7,17,0,1,1,mhxx-romfs-native-table
7,17,1,2,1,mhxx-romfs-native-table
7,17,2,3,1,mhxx-romfs-native-table
7,17,3,4,1,mhxx-romfs-native-table
7,17,4,5,1,mhxx-romfs-native-table
7,18,0,1,2,mhxx-romfs-native-table
7,18,1,2,2,mhxx-romfs-native-table
7,18,2,3,3,mhxx-romfs-native-table
7,18,3,4,3,mhxx-romfs-native-table
7,18,4,5,3,mhxx-romfs-native-table
7,18,5,6,3,mhxx-romfs-native-table
7,18,6,7,3,mhxx-romfs-native-table
7,19,0,1,0,mhxx-romfs-native-table
7,19,1,2,1,mhxx-romfs-native-table
7,19,2,3,2,mhxx-romfs-native-table
7,19,3,4,2,mhxx-romfs-native-table
7,19,4,5,2,mhxx-romfs-native-table
7,19,5,6,2,mhxx-romfs-native-table
7,19,6,7,2,mhxx-romfs-native-table
7,19,7,8,2,mhxx-romfs-native-table
7,20,0,1,0,mhxx-romfs-native-table
7,20,1,2,0,mhxx-romfs-native-table
7,20,2,3,0,mhxx-romfs-native-table
7,20,3,4,0,mhxx-romfs-native-table
7,20,4,5,0,mhxx-romfs-native-table
7,20,5,6,0,mhxx-romfs-native-table
7,20,6,7,0,mhxx-romfs-native-table
7,20,7,8,0,mhxx-romfs-native-table
7,20,8,9,0,mhxx-romfs-native-table
7,21,0,1,2,mhxx-romfs-native-table
7,21,1,2,2,mhxx-romfs-native-table
7,21,2,3,2,mhxx-romfs-native-table
7,21,3,4,2,mhxx-romfs-native-table
7,21,4,5,2,mhxx-romfs-native-table
7,21,5,6,2,mhxx-romfs-native-table
7,21,6,7,2,mhxx-romfs-native-table
7,22,0,1,0,mhxx-romfs-native-table
7,22,1,2,0,mhxx-romfs-native-table
7,22,2,3,0,mhxx-romfs-native-table
7,22,3,4,0,mhxx-romfs-native-table
7,22,4,5,0,mhxx-romfs-native-table
7,22,5,6,1,mhxx-romfs-native-table
7,22,6,7,1,mhxx-romfs-native-table
7,22,7,8,1,mhxx-romfs-native-table
7,23,0,1,0,mhxx-romfs-native-table
7,23,1,2,0,mhxx-romfs-native-table
7,23,2,3,0,mhxx-romfs-native-table
7,23,3,4,0,mhxx-romfs-native-table
7,23,4,5,0,mhxx-romfs-native-table
7,23,5,6,0,mhxx-romfs-native-table
7,23,6,7,0,mhxx-romfs-native-table
7,23,7,8,0,mhxx-romfs-native-table
7,24,0,1,0,mhxx-romfs-native-table
7,24,1,2,0,mhxx-romfs-native-table
7,24,2,3,0,mhxx-romfs-native-table
7,24,3,4,0,mhxx-romfs-native-table
7,24,4,5,0,mhxx-romfs-native-table
7,24,5,6,0,mhxx-romfs-native-table
7,24,6,7,1,mhxx-romfs-native-table
7,24,7,8,1,mhxx-romfs-native-table
7,25,0,1,0,mhxx-romfs-native-table
7,25,1,2,0,mhxx-romfs-native-table
7,25,2,3,0,mhxx-romfs-native-table
7,25,3,4,0,mhxx-romfs-native-table
7,25,4,5,0,mhxx-romfs-native-table
7,25,5,6,0,mhxx-romfs-native-table
7,26,0,1,0,mhxx-romfs-native-table
7,26,1,2,0,mhxx-romfs-native-table
7,26,2,3,0,mhxx-romfs-native-table
7,26,3,4,0,mhxx-romfs-native-table
7,26,4,5,0,mhxx-romfs-native-table
7,26,5,6,0,mhxx-romfs-native-table
7,26,6,7,0,mhxx-romfs-native-table
7,26,7,8,0,mhxx-romfs-native-table
7,26,8,9,0,mhxx-romfs-native-table
7,26,9,10,0,mhxx-romfs-native-table
7,26,10,11,0,mhxx-romfs-native-table
7,27,0,1,0,mhxx-romfs-native-table
7,27,1,2,0,mhxx-romfs-native-table
7,27,2,3,0,mhxx-romfs-native-table
7,27,3,4,0,mhxx-romfs-native-table
7,27,4,5,0,mhxx-romfs-native-table
7,27,5,6,0,mhxx-romfs-native-table
7,27,6,7,0,mhxx-romfs-native-table
7,27,7,8,0,mhxx-romfs-native-table
7,28,0,1,1,mhxx-romfs-native-table
7,28,1,2,1,mhxx-romfs-native-table
7,28,2,3,1,mhxx-romfs-native-table
7,28,3,4,1,mhxx-romfs-native-table
7,28,4,5,1,mhxx-romfs-native-table
7,29,0,1,1,mhxx-romfs-native-table
7,29,1,2,1,mhxx-romfs-native-table
7,29,2,3,1,mhxx-romfs-native-table
7,29,3,4,1,mhxx-romfs-native-table
7,29,4,5,1,mhxx-romfs-native-table
7,29,5,6,1,mhxx-romfs-native-table
7,29,6,7,1,mhxx-romfs-native-table
7,30,0,1,2,mhxx-romfs-native-table
7,30,1,2,2,mhxx-romfs-native-table
7,30,2,3,2,mhxx-romfs-native-table
7,30,3,4,2,mhxx-romfs-native-table
7,30,4,5,2,mhxx-romfs-native-table
7,30,5,6,2,mhxx-romfs-native-table
7,31,0,1,0,mhxx-romfs-native-table
7,31,1,2,0,mhxx-romfs-native-table
7,31,2,3,0,mhxx-romfs-native-table
7,31,3,4,1,mhxx-romfs-native-table
7,31,4,5,2,mhxx-romfs-native-table
7,31,5,6,2,mhxx-romfs-native-table
7,31,6,7,2,mhxx-romfs-native-table
7,31,7,8,3,mhxx-romfs-native-table
7,31,8,9,3,mhxx-romfs-native-table
7,32,0,1,1,mhxx-romfs-native-table
7,32,1,2,1,mhxx-romfs-native-table
7,32,2,3,1,mhxx-romfs-native-table
7,32,3,4,1,mhxx-romfs-native-table
7,32,4,5,1,mhxx-romfs-native-table
7,32,5,6,1,mhxx-romfs-native-table
7,33,0,1,1,mhxx-romfs-native-table
7,33,1,2,1,mhxx-romfs-native-table
7,33,2,3,1,mhxx-romfs-native-table
7,33,3,4,1,mhxx-romfs-native-table
7,33,4,5,1,mhxx-romfs-native-table
7,33,5,6,1,mhxx-romfs-native-table
7,34,0,1,2,mhxx-romfs-native-table
7,34,1,2,2,mhxx-romfs-native-table
7,34,2,3,2,mhxx-romfs-native-table
7,34,3,4,2,mhxx-romfs-native-table
7,34,4,5,3,mhxx-romfs-native-table
7,34,5,6,3,mhxx-romfs-native-table
7,35,0,1,1,mhxx-romfs-native-table
7,35,1,2,1,mhxx-romfs-native-table
7,35,2,3,1,mhxx-romfs-native-table
7,35,3,4,2,mhxx-romfs-native-table
7,35,4,5,2,mhxx-romfs-native-table
7,35,5,6,2,mhxx-romfs-native-table
7,35,6,7,2,mhxx-romfs-native-table
7,35,7,8,2,mhxx-romfs-native-table
7,36,0,1,0,mhxx-romfs-native-table
7,36,1,2,0,mhxx-romfs-native-table
7,36,2,3,1,mhxx-romfs-native-table
7,36,3,4,2,mhxx-romfs-native-table
7,36,4,5,2,mhxx-romfs-native-table
7,36,5,6,2,mhxx-romfs-native-table
7,36,6,7,2,mhxx-romfs-native-table
7,36,7,8,2,mhxx-romfs-native-table
7,37,0,1,1,mhxx-romfs-native-table
7,37,1,2,1,mhxx-romfs-native-table
7,37,2,3,1,mhxx-romfs-native-table
7,37,3,4,1,mhxx-romfs-native-table
7,37,4,5,1,mhxx-romfs-native-table
7,37,5,6,1,mhxx-romfs-native-table
