id,name,english,source,rarity,max_level
0,无,None,mhxx-romfs-game-array,0,0
1,贝鲁纳轻弩,Petrified Shooter,mhxx-romfs-game-array+mhxx-dex-1.0+mhxx-save-format-community,1,11
2,碎龙弓弩,Dios Blaster,mhxx-romfs-game-array+mhxx-dex-1.0+mhxx-save-format-community,3,6
3,爆碎光弩,Demolition Gun,mhxx-romfs-game-array+mhxx-dex-1.0+mhxx-save-format-community,6,6
4,黑曜石轻弩,Obsidian Shooter,mhxx-romfs-game-array+mhxx-dex-1.0+mhxx-save-format-community,3,6
5,麒麟筒【三角】,Mythical Three-Horn,mhxx-romfs-game-array+mhxx-dex-1.0+mhxx-save-format-community,3,6
6,飞雷弩,Blitz Bowgun,mhxx-romfs-game-array+mhxx-dex-1.0+mhxx-save-format-community,5,6
7,女武神之火,Valkyrie Fire,mhxx-romfs-game-array+mhxx-dex-1.0+mhxx-save-format-community,3,11
8,缭乱对弩,Blossomayhem,mhxx-romfs-game-array+mhxx-dex-1.0+mhxx-save-format-community,7,5
9,雪狮之尾,Tail String,mhxx-romfs-game-array+mhxx-dex-1.0+mhxx-save-format-community,2,7
10,雪暴之尾,Tail Blizzard,mhxx-romfs-game-array+mhxx-dex-1.0+mhxx-save-format-community,4,5
11,机敏追踪者,Sawgun,mhxx-romfs-game-array+mhxx-dex-1.0+mhxx-save-format-community,4,6
12,怪鸟之怒,Kut-Ku Anger,mhxx-romfs-game-array+mhxx-dex-1.0+mhxx-save-format-community,1,8
13,斗【乌】,Raven Do,mhxx-romfs-game-array+mhxx-dex-1.0+mhxx-save-format-community,3,7
14,斗【兇】,Vile Do,mhxx-romfs-game-array+mhxx-dex-1.0+mhxx-save-format-community,5,6
15,猎枪,Hunter's Rifle,mhxx-romfs-game-array+mhxx-dex-1.0+mhxx-save-format-community,1,11
16,鲨枪,Mandible Blaster,mhxx-romfs-game-array+mhxx-dex-1.0+mhxx-save-format-community,4,6
17,公牛击弩,Durambarrel,mhxx-romfs-game-array+mhxx-dex-1.0+mhxx-save-format-community,6,5
18,王弩雷管,Usurper's Crime,mhxx-romfs-game-array+mhxx-dex-1.0+mhxx-save-format-community,3,8
19,轻弩尾宿八,Rasasa Bowgun,mhxx-romfs-game-array+mhxx-dex-1.0+mhxx-save-format-community,3,6
20,叛逆旋弩,Seditious Shot,mhxx-romfs-game-array+mhxx-dex-1.0+mhxx-save-format-community,6,6
21,熔岩兽飓风,Scale Tornado,mhxx-romfs-game-array+mhxx-dex-1.0+mhxx-save-format-community,2,6
22,紧绷绷注射筒,Khezu Syringe,mhxx-romfs-game-array+mhxx-dex-1.0+mhxx-save-format-community,2,7
23,丽羽爆裂,Quill Burst,mhxx-romfs-game-array+mhxx-dex-1.0+mhxx-save-format-community,1,9
24,霰弹弩･白,Shotgun (White),mhxx-romfs-game-array+mhxx-dex-1.0+mhxx-save-format-community,1,8
25,霰弹弩･红,Shotgun (Blood),mhxx-romfs-game-array+mhxx-dex-1.0+mhxx-save-format-community,4,5
26,霰弹弩･苍,Shotgun (Azure),mhxx-romfs-game-array+mhxx-dex-1.0+mhxx-save-format-community,4,6
27,霰弹弩･碧,Shotgun (Green),mhxx-romfs-game-array+mhxx-dex-1.0+mhxx-save-format-community,4,5
28,霰弹弩･蛇,Shotgun (Viper),mhxx-romfs-game-array+mhxx-dex-1.0+mhxx-save-format-community,2,6
29,十字弩,Cross Bowgun,mhxx-romfs-game-array+mhxx-dex-1.0+mhxx-save-format-community,1,11
30,沙漠风暴,Desert Storm,mhxx-romfs-game-array+mhxx-dex-1.0+mhxx-save-format-community,4,5
31,熔岩之流,Lava Storm,mhxx-romfs-game-array+mhxx-dex-1.0+mhxx-save-format-community,5,6
32,帆船轻弩,Yakt Shooter,mhxx-romfs-game-array+mhxx-dex-1.0+mhxx-save-format-community,2,6
33,甲壳弹弩,Shell Shooter,mhxx-romfs-game-array+mhxx-dex-1.0+mhxx-save-format-community,4,5
34,弹雨机枪,Machine Strafer,mhxx-romfs-game-array+mhxx-dex-1.0+mhxx-save-format-community,6,6
35,轰龙战车,Tigrex Tank,mhxx-romfs-game-array+mhxx-dex-1.0+mhxx-save-format-community,3,7
36,火龙炮,Rathling Gun,mhxx-romfs-game-array+mhxx-dex-1.0+mhxx-save-format-community,3,9
37,雷炮雷霆交叉,Thundacrus,mhxx-romfs-game-array+mhxx-dex-1.0+mhxx-save-format-community,5,6
38,水兽发射器,Royal Launcher,mhxx-romfs-game-array+mhxx-dex-1.0+mhxx-save-format-community,2,8
39,隐秘连击弩,Hidden Eye,mhxx-romfs-game-array+mhxx-dex-1.0+mhxx-save-format-community,2,8
40,条纹碎甲弩,Striped Shell,mhxx-romfs-game-array+mhxx-dex-1.0+mhxx-save-format-community,1,7
41,虾弩,Lobster Gun,mhxx-romfs-game-array+mhxx-dex-1.0+mhxx-save-format-community,2,6
42,轻巧弩,Maelstrom,mhxx-romfs-game-array+mhxx-dex-1.0+mhxx-save-format-community,6,6
43,鬼岛,Demon's Isle,mhxx-romfs-game-array+mhxx-dex-1.0+mhxx-save-format-community,2,8
44,神岛,God's Isle,mhxx-romfs-game-array+mhxx-dex-1.0+mhxx-save-format-community,5,5
45,电龙弩,Astalos Gun,mhxx-romfs-game-array+mhxx-dex-1.0+mhxx-save-format-community,3,7
46,巨兽弩,Giant's Blaster,mhxx-romfs-game-array+mhxx-dex-1.0+mhxx-save-format-community,3,7
47,狐水铳【滴滴映此生】,Desolate Mist,mhxx-romfs-game-array+mhxx-dex-1.0+mhxx-save-format-community,3,7
48,灼炎轻弩,Burning Answer,mhxx-romfs-game-array+mhxx-dex-1.0+mhxx-save-format-community,3,7
49,光阴of洁白,Fäulnisschleuder,mhxx-romfs-game-array+mhxx-dex-1.0+mhxx-save-format-community,3,6
50,THE神谕者,La Lumière,mhxx-romfs-game-array+mhxx-dex-1.0+mhxx-save-format-community,6,6
51,钢冰蜂弩,Icesteel Wasp,mhxx-romfs-game-array+mhxx-dex-1.0+mhxx-save-format-community,7,5
52,占卜灯,Blessed Lamp,mhxx-romfs-game-array+mhxx-dex-1.0+mhxx-save-format-community,3,6
53,名为巨蟹的白骸,Skeletal Bowgun,mhxx-romfs-game-array+mhxx-dex-1.0+mhxx-save-format-community,3,6
54,极星弩【巨蟹】,Polarstar Shooter,mhxx-romfs-game-array+mhxx-dex-1.0+mhxx-save-format-community,7,5
55,恐暴机关枪,Devil's Grin,mhxx-romfs-game-array+mhxx-dex-1.0+mhxx-save-format-community,6,5
56,业弩黑暗狂乱,"Diregun ""Dementia""",mhxx-romfs-game-array+mhxx-dex-1.0+mhxx-save-format-community,7,5
57,金狮子弩,Rajang Barrage,mhxx-romfs-game-array+mhxx-dex-1.0+mhxx-save-format-community,6,5
58,鬼神筒,Demonlord Blaster,mhxx-romfs-game-array+mhxx-dex-1.0+mhxx-save-format-community,7,5
