id,name,english,source,rarity,max_level
0,无,None,mhxx-romfs-game-array,0,0
1,贝鲁纳马刀,Petrified Saber,mhxx-romfs-game-array+mhxx-dex-1.0+mhxx-save-format-community,1,11
2,黑曜石马刀,Obsidian Saber,mhxx-romfs-game-array+mhxx-dex-1.0+mhxx-save-format-community,3,8
3,音叉,Diapason,mhxx-romfs-game-array+mhxx-dex-1.0+mhxx-save-format-community,3,8
4,守护者之剑,Guardian Sword,mhxx-romfs-game-array+mhxx-dex-1.0+mhxx-save-format-community,3,7
5,水护刀,Aqua Guardian,mhxx-romfs-game-array+mhxx-dex-1.0+mhxx-save-format-community,5,5
6,锁链巨剑,Chainslaughter,mhxx-romfs-game-array+mhxx-dex-1.0+mhxx-save-format-community,4,6
7,白兔刃,Ivory Rabbit,mhxx-romfs-game-array+mhxx-dex-1.0+mhxx-save-format-community,2,9
8,霞龙弯刀,Mirage Finsword,mhxx-romfs-game-array+mhxx-dex-1.0+mhxx-save-format-community,3,6
9,铁刀,Iron Katana,mhxx-romfs-game-array+mhxx-dex-1.0+mhxx-save-format-community,1,11
10,隐秘马刀,Hidden Saber,mhxx-romfs-game-array+mhxx-dex-1.0+mhxx-save-format-community,2,8
11,斩破刀,Eager Cleaver,mhxx-romfs-game-array+mhxx-dex-1.0+mhxx-save-format-community,2,9
12,鬼哭斩破刀,Wailing Ghost,mhxx-romfs-game-array+mhxx-dex-1.0+mhxx-save-format-community,5,5
13,雷刀神雷,Thunderclap,mhxx-romfs-game-array+mhxx-dex-1.0+mhxx-save-format-community,3,8
14,帝王刀,Imperial Saber,mhxx-romfs-game-array+mhxx-dex-1.0+mhxx-save-format-community,3,7
15,冻刃【冰华】,Rimeblossom,mhxx-romfs-game-array+mhxx-dex-1.0+mhxx-save-format-community,2,7
16,雪一文字,Yuki Ichimonji,mhxx-romfs-game-array+mhxx-dex-1.0+mhxx-save-format-community,5,5
17,锯斩匕首,Aikuchi,mhxx-romfs-game-array+mhxx-dex-1.0+mhxx-save-format-community,2,8
18,鬼蟾蜍匕首,Toad Abetter,mhxx-romfs-game-array+mhxx-dex-1.0+mhxx-save-format-community,5,6
19,恶棍长刀,Plume Sword,mhxx-romfs-game-array+mhxx-dex-1.0+mhxx-save-format-community,1,10
20,炎斩【熔】,Liquid Fire Blade,mhxx-romfs-game-array+mhxx-dex-1.0+mhxx-save-format-community,4,5
21,太刀参宿五,Khanga Edge,mhxx-romfs-game-array+mhxx-dex-1.0+mhxx-save-format-community,3,7
22,叛逆斩刃,Seditious Edge,mhxx-romfs-game-array+mhxx-dex-1.0+mhxx-save-format-community,6,6
23,颚刃,Serrated Jaw,mhxx-romfs-game-array+mhxx-dex-1.0+mhxx-save-format-community,1,11
24,烈焰舞者,Dancing Flames,mhxx-romfs-game-array+mhxx-dex-1.0+mhxx-save-format-community,6,6
25,去锈巨剑,Rusty Claymore,mhxx-romfs-game-array+mhxx-dex-1.0+mhxx-save-format-community,3,7
26,骨刀【犬牙】,Canine Katana,mhxx-romfs-game-array+mhxx-dex-1.0+mhxx-save-format-community,4,6
27,骨刀【狼牙】,"Bone Katana ""Wolf""",mhxx-romfs-game-array+mhxx-dex-1.0+mhxx-save-format-community,2,9
28,王刀雷切,Usurper's Boltslicer,mhxx-romfs-game-array+mhxx-dex-1.0+mhxx-save-format-community,3,6
29,一虎刀,Tigrine Edge,mhxx-romfs-game-array+mhxx-dex-1.0+mhxx-save-format-community,3,7
30,碎龙长剑,Dios Katana,mhxx-romfs-game-array+mhxx-dex-1.0+mhxx-save-format-community,3,7
31,爆碎大刀,Demolition Katana,mhxx-romfs-game-array+mhxx-dex-1.0+mhxx-save-format-community,6,6
32,飞龙刀【翠】,"Wyvern Blade ""Verde""",mhxx-romfs-game-array+mhxx-dex-1.0+mhxx-save-format-community,3,8
33,飞龙刀【双炎】,"Wyvern Blade ""Flame""",mhxx-romfs-game-array+mhxx-dex-1.0+mhxx-save-format-community,5,6
34,飞龙刀【朱】,"Wyvern Blade ""Blood""",mhxx-romfs-game-array+mhxx-dex-1.0+mhxx-save-format-community,3,7
35,飞龙刀【银】,"Wyvern Blade ""Pale""",mhxx-romfs-game-array+mhxx-dex-1.0+mhxx-save-format-community,7,5
36,卷曲锐爪,Coiled Nail,mhxx-romfs-game-array+mhxx-dex-1.0+mhxx-save-format-community,2,7
37,卷曲马刀,Coiled Saber,mhxx-romfs-game-array+mhxx-dex-1.0+mhxx-save-format-community,5,5
38,黑刀【零式】,Black Katana Mk.I,mhxx-romfs-game-array+mhxx-dex-1.0+mhxx-save-format-community,2,9
39,骨,Bone,mhxx-romfs-game-array+mhxx-dex-1.0+mhxx-save-format-community,1,9
40,夏尔特,Curviscera,mhxx-romfs-game-array+mhxx-dex-1.0+mhxx-save-format-community,4,6
41,夏尔文化,Bicurviscera,mhxx-romfs-game-array+mhxx-dex-1.0+mhxx-save-format-community,5,6
42,白猿薙,Blango Destroyer,mhxx-romfs-game-array+mhxx-dex-1.0+mhxx-save-format-community,1,8
43,白猿薙【中级】,Blango Decimator,mhxx-romfs-game-array+mhxx-dex-1.0+mhxx-save-format-community,2,7
44,青熊薙,Arzuros Naginata,mhxx-romfs-game-array+mhxx-dex-1.0+mhxx-save-format-community,1,8
45,鬼薙刀,Demon Halberd,mhxx-romfs-game-array+mhxx-dex-1.0+mhxx-save-format-community,6,6
46,鬼神薙刀,Demonlord Katana,mhxx-romfs-game-array+mhxx-dex-1.0+mhxx-save-format-community,7,5
47,大刀【乌】,Daito Crow,mhxx-romfs-game-array+mhxx-dex-1.0+mhxx-save-format-community,3,7
48,大刀【兇】,Daito Bane,mhxx-romfs-game-array+mhxx-dex-1.0+mhxx-save-format-community,6,5
49,水溺刀,Drowning Shaft,mhxx-romfs-game-array+mhxx-dex-1.0+mhxx-save-format-community,2,8
50,雪鹿刀,Anteka Blade,mhxx-romfs-game-array+mhxx-dex-1.0+mhxx-save-format-community,1,7
51,黑暗镰刀,Dark Scythe,mhxx-romfs-game-array+mhxx-dex-1.0+mhxx-save-format-community,1,9
52,镰威太刀,Scythe of Menace,mhxx-romfs-game-array+mhxx-dex-1.0+mhxx-save-format-community,2,6
53,割山镰,Mountain Reaper,mhxx-romfs-game-array+mhxx-dex-1.0+mhxx-save-format-community,6,5
54,蟹钳大镰,Crab Cutter,mhxx-romfs-game-array+mhxx-dex-1.0+mhxx-save-format-community,2,8
55,水龙鞭击者,Plesioth Splasher,mhxx-romfs-game-array+mhxx-dex-1.0+mhxx-save-format-community,4,6
56,将军锐镰,Shogun Cutter,mhxx-romfs-game-array+mhxx-dex-1.0+mhxx-save-format-community,2,7
57,将军镰蟹切割者,Shogun Splitter,mhxx-romfs-game-array+mhxx-dex-1.0+mhxx-save-format-community,5,6
58,飞龙刀【绿柱石】,"Wyvern Blade ""Beryl""",mhxx-romfs-game-array+mhxx-dex-1.0+mhxx-save-format-community,3,9
59,巨兽刃,Giant's Tower,mhxx-romfs-game-array+mhxx-dex-1.0+mhxx-save-format-community,3,9
60,狐刀【月照心自明】,Kakaru Kumo Naki,mhxx-romfs-game-array+mhxx-dex-1.0+mhxx-save-format-community,3,9
61,灼炎太刀,Billowing Luger,mhxx-romfs-game-array+mhxx-dex-1.0+mhxx-save-format-community,3,9
62,钢铁of真实,Stahlfakt,mhxx-romfs-game-array+mhxx-dex-1.0+mhxx-save-format-community,3,7
63,THE正义,La Justicière,mhxx-romfs-game-array+mhxx-dex-1.0+mhxx-save-format-community,3,8
64,残酷伤痛,"Reaver ""Cruelty""",mhxx-romfs-game-array+mhxx-dex-1.0+mhxx-save-format-community,6,5
65,业刀破灭,Consummate Katana,mhxx-romfs-game-array+mhxx-dex-1.0+mhxx-save-format-community,7,5
