id,name,english,source,rarity,max_level
0,无,None,mhxx-save-format-community,0,0
1,贝鲁纳斧,Petrified Axe,mhxx-dex-1.0+mhxx-save-format-community,1,11
2,黑曜石之斧,Obsidian Axe,mhxx-dex-1.0+mhxx-save-format-community,3,8
3,毒蛇切割者,Heavy Divider,mhxx-dex-1.0+mhxx-save-format-community,6,5
4,雷光战斧,Bolt Axe,mhxx-dex-1.0+mhxx-save-format-community,3,7
5,雷斩击斧电光,Volt Axe,mhxx-dex-1.0+mhxx-save-format-community,6,6
6,蛮骨大柴刀,Reckless Hatchet,mhxx-dex-1.0+mhxx-save-format-community,2,8
7,青熊斧,Arzuros Axe,mhxx-dex-1.0+mhxx-save-format-community,1,8
8,碎龙斧,Dios Axe,mhxx-dex-1.0+mhxx-save-format-community,3,7
9,爆碎斩击斧,Demolition Axe,mhxx-dex-1.0+mhxx-save-format-community,6,6
10,机动爆裂,Motor Burst,mhxx-dex-1.0+mhxx-save-format-community,3,7
11,铁斧,Iron Axe,mhxx-dex-1.0+mhxx-save-format-community,1,11
12,精锐讨伐队斩击斧,Elite Switch Axe,mhxx-dex-1.0+mhxx-save-format-community,3,8
13,撕咬齿痕,Notched Doom,mhxx-dex-1.0+mhxx-save-format-community,4,6
14,巨齿鲨齿痕,Notched Tyrant,mhxx-dex-1.0+mhxx-save-format-community,5,5
15,扫荡,General's Strongaxe,mhxx-dex-1.0+mhxx-save-format-community,4,5
16,斩击斧毕宿五,Aksa Switch,mhxx-dex-1.0+mhxx-save-format-community,3,7
17,叛逆伐斧,Seditious Axe,mhxx-dex-1.0+mhxx-save-format-community,6,6
18,龙姬斩击斧,Dragonmaiden Axe,mhxx-dex-1.0+mhxx-save-format-community,3,7
19,煌战金斩击斧,Golden Crescent,mhxx-dex-1.0+mhxx-save-format-community,7,5
20,罗宋红斧,The Shredder,mhxx-dex-1.0+mhxx-save-format-community,2,7
21,骨之万花筒,Dream Captor,mhxx-dex-1.0+mhxx-save-format-community,2,9
22,蟹钳斧,Scissor Axe,mhxx-dex-1.0+mhxx-save-format-community,2,8
23,甲刃施克连,Exoskeleton Axe,mhxx-dex-1.0+mhxx-save-format-community,1,7
