id,name,english,source,rarity,max_level
0,无,None,mhxx-save-format-community,0,0
1,贝鲁纳长剑,Petrified Sword,mhxx-dex-1.0+mhxx-save-format-community,1,11
2,黑曜石之剑,Obsidian Sword,mhxx-dex-1.0+mhxx-save-format-community,3,8
3,碎龙之刃,Dios Edge,mhxx-dex-1.0+mhxx-save-format-community,3,7
4,爆碎裂剑,Demolition Cutter,mhxx-dex-1.0+mhxx-save-format-community,6,6
5,隐秘刀刃,Hidden Edge,mhxx-dex-1.0+mhxx-save-format-community,2,8
6,千年冰晶刃,Frost Edge,mhxx-dex-1.0+mhxx-save-format-community,2,7
7,蓝速龙王撕咬短剑,Velocidrome Bite,mhxx-dex-1.0+mhxx-save-format-community,1,7
8,剑【乌】,Raven Blade,mhxx-dex-1.0+mhxx-save-format-community,3,8
9,锐利轮回刃,Spiked Circle,mhxx-dex-1.0+mhxx-save-format-community,2,8
10,沉眠,Shura Fan,mhxx-dex-1.0+mhxx-save-format-community,2,9
11,猎人匕首,Hunter's Knife,mhxx-dex-1.0+mhxx-save-format-community,1,11
12,奥德赛之刃,Odyssey Blade,mhxx-dex-1.0+mhxx-save-format-community,4,6
13,猎人弯刀,Hunter's Dagger,mhxx-dex-1.0+mhxx-save-format-community,2,8
14,沉重剑,Heavy Bang,mhxx-dex-1.0+mhxx-save-format-community,3,6
15,斩木刀,Baumfäller,mhxx-dex-1.0+mhxx-save-format-community,6,5
16,二重甲壳,Dual Carapace,mhxx-dex-1.0+mhxx-save-format-community,2,8
17,熔岩啄木鸟,Lava Pick,mhxx-dex-1.0+mhxx-save-format-community,2,8
18,士兵短剑,Soldier's Dagger,mhxx-dex-1.0+mhxx-save-format-community,1,8
19,王剑疾雷,Usurper's Firebolt,mhxx-dex-1.0+mhxx-save-format-community,3,7
20,公主细剑,Princess Rapier,mhxx-dex-1.0+mhxx-save-format-community,3,8
21,疯狂蔷薇,Lunatic Rose,mhxx-dex-1.0+mhxx-save-format-community,7,5
22,白电薙刀,Khezu Razor,mhxx-dex-1.0+mhxx-save-format-community,2,7
23,海蛇利齿,Serpent Bite,mhxx-dex-1.0+mhxx-save-format-community,1,9
24,麻痹毒牙,Viper Bite,mhxx-dex-1.0+mhxx-save-format-community,1,7
25,毒牙,Hydra Bite,mhxx-dex-1.0+mhxx-save-format-community,1,8
26,白蛇牙,Snake Bite,mhxx-dex-1.0+mhxx-save-format-community,1,8
27,单手剑星宿一,Naab Sword,mhxx-dex-1.0+mhxx-save-format-community,3,7
28,叛逆碎牙,Seditious Fang,mhxx-dex-1.0+mhxx-save-format-community,6,6
29,骨制反曲刀,Bone Kris,mhxx-dex-1.0+mhxx-save-format-community,1,11
30,灼焰锐剑,Djinn,mhxx-dex-1.0+mhxx-save-format-community,3,8
31,日冕之炎,Corona,mhxx-dex-1.0+mhxx-save-format-community,6,5
32,金鳞盾剑【王墓】,Golden Falchion,mhxx-dex-1.0+mhxx-save-format-community,7,5
33,骨制锐镐,Bone Pick,mhxx-dex-1.0+mhxx-save-format-community,2,9
34,金兽棍,Rajang Club,mhxx-dex-1.0+mhxx-save-format-community,6,6
