id,name,english,source,rarity,slots
0,None,None,mhxx-romfs-game-array+mhxx-romfs-native-table,0,0
1,Leather Gloves,Leather Gloves,mhxx-romfs-game-array+mhxx-dex-1.0+mhxx-save-format-community+mhxx-romfs-native-table,1,1
2,Chainmail Gloves,Chainmail Gloves,mhxx-romfs-game-array+mhxx-dex-1.0+mhxx-save-format-community+mhxx-romfs-native-table,1,1
3,Bherna Braces,Bherna Braces,mhxx-romfs-game-array+mhxx-dex-1.0+mhxx-save-format-community+mhxx-romfs-native-table,1,1
4,Hunting Braces,Hunting Braces,mhxx-romfs-game-array+mhxx-dex-1.0+mhxx-save-format-community+mhxx-romfs-native-table,1,0
5,Hunting Guards,Hunting Guards,mhxx-romfs-game-array+mhxx-dex-1.0+mhxx-save-format-community+mhxx-romfs-native-table,1,0
6,Mafumofu Mittens,Mafumofu Mittens,mhxx-romfs-game-array+mhxx-dex-1.0+mhxx-save-format-community+mhxx-romfs-native-table,1,2
7,Yukumo Kote,Yukumo Kote,mhxx-romfs-game-array+mhxx-dex-1.0+mhxx-save-format-community+mhxx-romfs-native-table,1,1
9,Hunter's Vambraces,Hunter's Vambraces,mhxx-romfs-game-array+mhxx-dex-1.0+mhxx-save-format-community+mhxx-romfs-native-table,1,1
10,Hunter's Guards,Hunter's Guards,mhxx-romfs-game-array+mhxx-dex-1.0+mhxx-save-format-community+mhxx-romfs-native-table,1,1
11,Bone Vambraces,Bone Vambraces,mhxx-romfs-game-array+mhxx-dex-1.0+mhxx-save-format-community+mhxx-romfs-native-table,1,2
12,Bone Guards,Bone Guards,mhxx-romfs-game-array+mhxx-dex-1.0+mhxx-save-format-community+mhxx-romfs-native-table,1,2
17,Trapper's Gauntlets,Trapper's Gauntlets,mhxx-romfs-game-array+mhxx-dex-1.0+mhxx-save-format-community+mhxx-romfs-native-table,1,1
18,Trapper's Gloves,Trapper's Gloves,mhxx-romfs-game-array+mhxx-dex-1.0+mhxx-save-format-community+mhxx-romfs-native-table,1,1
19,Maccao Gauntlets,Maccao Gauntlets,mhxx-romfs-game-array+mhxx-dex-1.0+mhxx-save-format-community+mhxx-romfs-native-table,1,0
20,Maccao Gloves,Maccao Gloves,mhxx-romfs-game-array+mhxx-dex-1.0+mhxx-save-format-community+mhxx-romfs-native-table,1,0
21,Jaggi Gauntlets,Jaggi Gauntlets,mhxx-romfs-game-array+mhxx-dex-1.0+mhxx-save-format-community+mhxx-romfs-native-table,1,0
22,Jaggi Gloves,Jaggi Gloves,mhxx-romfs-game-array+mhxx-dex-1.0+mhxx-save-format-community+mhxx-romfs-native-table,1,0
23,Jaggi Vambraces,Jaggi Vambraces,mhxx-romfs-game-array+mhxx-dex-1.0+mhxx-save-format-community+mhxx-romfs-native-table,1,1
24,Jaggi Guards,Jaggi Guards,mhxx-romfs-game-array+mhxx-dex-1.0+mhxx-save-format-community+mhxx-romfs-native-table,1,1
25,Maccao Braces,Maccao Braces,mhxx-romfs-game-array+mhxx-dex-1.0+mhxx-save-format-community+mhxx-romfs-native-table,1,2
26,Maccao Guards,Maccao Guards,mhxx-romfs-game-array+mhxx-dex-1.0+mhxx-save-format-community+mhxx-romfs-native-table,1,2
27,Velociprey Braces,Velociprey Braces,mhxx-romfs-game-array+mhxx-dex-1.0+mhxx-save-format-community+mhxx-romfs-native-table,1,1
28,Velociprey Guards,Velociprey Guards,mhxx-romfs-game-array+mhxx-dex-1.0+mhxx-save-format-community+mhxx-romfs-native-table,1,1
29,Giaprey Vambraces,Giaprey Vambraces,mhxx-romfs-game-array+mhxx-dex-1.0+mhxx-save-format-community+mhxx-romfs-native-table,1,1
30,Giaprey Guards,Giaprey Guards,mhxx-romfs-game-array+mhxx-dex-1.0+mhxx-save-format-community+mhxx-romfs-native-table,1,1
31,Genprey Vambraces,Genprey Vambraces,mhxx-romfs-game-array+mhxx-dex-1.0+mhxx-save-format-community+mhxx-romfs-native-table,1,1
32,Genprey Guards,Genprey Guards,mhxx-romfs-game-array+mhxx-dex-1.0+mhxx-save-format-community+mhxx-romfs-native-table,1,1
33,Vespoid Vambraces,Vespoid Vambraces,mhxx-romfs-game-array+mhxx-dex-1.0+mhxx-save-format-community+mhxx-romfs-native-table,1,1
