id,name,english,source,rarity,slots
0,None,None,mhxx-romfs-game-array+mhxx-romfs-native-table,0,0
1,Leather Vest,Leather Vest,mhxx-romfs-game-array+mhxx-dex-1.0+mhxx-save-format-community+mhxx-romfs-native-table,1,0
2,Chainmail Vest,Chainmail Vest,mhxx-romfs-game-array+mhxx-dex-1.0+mhxx-save-format-community+mhxx-romfs-native-table,1,1
3,Bherna Mail,Bherna Mail,mhxx-romfs-game-array+mhxx-dex-1.0+mhxx-save-format-community+mhxx-romfs-native-table,1,1
4,Hunting Mail,Hunting Mail,mhxx-romfs-game-array+mhxx-dex-1.0+mhxx-save-format-community+mhxx-romfs-native-table,1,0
5,Hunting Vest,Hunting Vest,mhxx-romfs-game-array+mhxx-dex-1.0+mhxx-save-format-community+mhxx-romfs-native-table,1,0
6,Mafumofu Jacket,Mafumofu Jacket,mhxx-romfs-game-array+mhxx-dex-1.0+mhxx-save-format-community+mhxx-romfs-native-table,1,0
7,Yukumo Dogi,Yukumo Dogi,mhxx-romfs-game-array+mhxx-dex-1.0+mhxx-save-format-community+mhxx-romfs-native-table,1,0
8,Loc Lac Shawl,Loc Lac Shawl,mhxx-romfs-game-array+mhxx-dex-1.0+mhxx-save-format-community+mhxx-romfs-native-table,1,1
9,Hunter's Mail,Hunter's Mail,mhxx-romfs-game-array+mhxx-dex-1.0+mhxx-save-format-community+mhxx-romfs-native-table,1,1
10,Hunter's Vest,Hunter's Vest,mhxx-romfs-game-array+mhxx-dex-1.0+mhxx-save-format-community+mhxx-romfs-native-table,1,1
11,Bone Mail,Bone Mail,mhxx-romfs-game-array+mhxx-dex-1.0+mhxx-save-format-community+mhxx-romfs-native-table,1,0
12,Bone Vest,Bone Vest,mhxx-romfs-game-array+mhxx-dex-1.0+mhxx-save-format-community+mhxx-romfs-native-table,1,0
15,Chaos Plate,Chaos Plate,mhxx-romfs-game-array+mhxx-dex-1.0+mhxx-save-format-community+mhxx-romfs-native-table,1,2
16,Chaos Brigandine,Chaos Brigandine,mhxx-romfs-game-array+mhxx-dex-1.0+mhxx-save-format-community+mhxx-romfs-native-table,1,2
23,Jaggi Mail,Jaggi Mail,mhxx-romfs-game-array+mhxx-dex-1.0+mhxx-save-format-community+mhxx-romfs-native-table,1,0
24,Jaggi Vest,Jaggi Vest,mhxx-romfs-game-array+mhxx-dex-1.0+mhxx-save-format-community+mhxx-romfs-native-table,1,0
25,Maccao Mail,Maccao Mail,mhxx-romfs-game-array+mhxx-dex-1.0+mhxx-save-format-community+mhxx-romfs-native-table,1,0
26,Maccao Vest,Maccao Vest,mhxx-romfs-game-array+mhxx-dex-1.0+mhxx-save-format-community+mhxx-romfs-native-table,1,0
27,Velociprey Mail,Velociprey Mail,mhxx-romfs-game-array+mhxx-dex-1.0+mhxx-save-format-community+mhxx-romfs-native-table,1,0
28,Velociprey Vest,Velociprey Vest,mhxx-romfs-game-array+mhxx-dex-1.0+mhxx-save-format-community+mhxx-romfs-native-table,1,0
29,Giaprey Mail,Giaprey Mail,mhxx-romfs-game-array+mhxx-dex-1.0+mhxx-save-format-community+mhxx-romfs-native-table,1,0
30,Giaprey Vest,Giaprey Vest,mhxx-romfs-game-array+mhxx-dex-1.0+mhxx-save-format-community+mhxx-romfs-native-table,1,0
31,Genprey Mail,Genprey Mail,mhxx-romfs-game-array+mhxx-dex-1.0+mhxx-save-format-community+mhxx-romfs-native-table,1,0
32,Genprey Vest,Genprey Vest,mhxx-romfs-game-array+mhxx-dex-1.0+mhxx-save-format-community+mhxx-romfs-native-table,1,0
33,Vespoid Mail,Vespoid Mail,mhxx-romfs-game-array+mhxx-dex-1.0+mhxx-save-format-community+mhxx-romfs-native-table,1,1
34,Vespoid Vest,Vespoid Vest,mhxx-romfs-game-array+mhxx-dex-1.0+mhxx-save-format-community+mhxx-romfs-native-table,1,1
35,Hornetaur Mail,Hornetaur Mail,mhxx-romfs-game-array+mhxx-dex-1.0+mhxx-save-format-community+mhxx-romfs-native-table,1,0
