id,name,english,source,rarity,slots
0,None,None,mhxx-romfs-game-array+mhxx-romfs-native-table,0,0
1,Leather Headgear,Leather Headgear,mhxx-romfs-game-array+mhxx-dex-1.0+mhxx-save-format-community+mhxx-romfs-native-table,1,1
2,Chainmail Headgear,Chainmail Headgear,mhxx-romfs-game-array+mhxx-dex-1.0+mhxx-save-format-community+mhxx-romfs-native-table,1,3
3,Bherna Turban,Bherna Turban,mhxx-romfs-game-array+mhxx-dex-1.0+mhxx-save-format-community+mhxx-romfs-native-table,1,1
4,Hunting Helm,Hunting Helm,mhxx-romfs-game-array+mhxx-dex-1.0+mhxx-save-format-community+mhxx-romfs-native-table,1,1
5,Hunting Cap,Hunting Cap,mhxx-romfs-game-array+mhxx-dex-1.0+mhxx-save-format-community+mhxx-romfs-native-table,1,1
6,Mafumofu Hood,Mafumofu Hood,mhxx-romfs-game-array+mhxx-dex-1.0+mhxx-save-format-community+mhxx-romfs-native-table,1,2
7,Yukumo Kasa,Yukumo Kasa,mhxx-romfs-game-array+mhxx-dex-1.0+mhxx-save-format-community+mhxx-romfs-native-table,1,1
9,Hunter's Helm,Hunter's Helm,mhxx-romfs-game-array+mhxx-dex-1.0+mhxx-save-format-community+mhxx-romfs-native-table,1,0
10,Hunter's Cap,Hunter's Cap,mhxx-romfs-game-array+mhxx-dex-1.0+mhxx-save-format-community+mhxx-romfs-native-table,1,0
11,Bone Helm,Bone Helm,mhxx-romfs-game-array+mhxx-dex-1.0+mhxx-save-format-community+mhxx-romfs-native-table,1,1
12,Bone Cap,Bone Cap,mhxx-romfs-game-array+mhxx-dex-1.0+mhxx-save-format-community+mhxx-romfs-native-table,1,1
15,Chaoshroom,Chaoshroom,mhxx-romfs-game-array+mhxx-dex-1.0+mhxx-save-format-community+mhxx-romfs-native-table,1,1
16,Chaos Diadem,Chaos Diadem,mhxx-romfs-game-array+mhxx-dex-1.0+mhxx-save-format-community+mhxx-romfs-native-table,1,1
23,Jaggi Helm,Jaggi Helm,mhxx-romfs-game-array+mhxx-dex-1.0+mhxx-save-format-community+mhxx-romfs-native-table,1,0
24,Jaggi Cap,Jaggi Cap,mhxx-romfs-game-array+mhxx-dex-1.0+mhxx-save-format-community+mhxx-romfs-native-table,1,0
