id,name,english,source,slot_cost
0,None,None,mhxx-save-format-community,0
2638,Antidote Jwl 1,Antidote Jwl 1,mhxx-romfs-game-array+mhxx-dex-1.0+mhxx-save-format-community+mhxx-romfs-native-table,1
2639,Antidote Jwl 2,Antidote Jwl 2,mhxx-romfs-game-array+mhxx-dex-1.0+mhxx-save-format-community+mhxx-romfs-native-table,2
2640,Paralysis Jwl 1,Paralysis Jwl 1,mhxx-romfs-game-array+mhxx-dex-1.0+mhxx-save-format-community+mhxx-romfs-native-table,1
2641,Paralysis Jwl 2,Paralysis Jwl 2,mhxx-romfs-game-array+mhxx-dex-1.0+mhxx-save-format-community+mhxx-romfs-native-table,2
2642,Pep Jwl 1,Pep Jwl 1,mhxx-romfs-game-array+mhxx-dex-1.0+mhxx-save-format-community+mhxx-romfs-native-table,1
2643,Pep Jwl 2,Pep Jwl 2,mhxx-romfs-game-array+mhxx-dex-1.0+mhxx-save-format-community+mhxx-romfs-native-table,2
2644,Steadfast Jwl 1,Steadfast Jwl 1,mhxx-romfs-game-array+mhxx-dex-1.0+mhxx-save-format-community+mhxx-romfs-native-table,1
2645,Standfast Jwl 1,Standfast Jwl 1,mhxx-romfs-game-array+mhxx-dex-1.0+mhxx-save-format-community+mhxx-romfs-native-table,1
2646,Earplug Jwl 1,Earplug Jwl 1,mhxx-romfs-game-array+mhxx-dex-1.0+mhxx-save-format-community+mhxx-romfs-native-table,1
2647,Earplug Jwl 3,Earplug Jwl 3,mhxx-romfs-game-array+mhxx-dex-1.0+mhxx-save-format-community+mhxx-romfs-native-table,3
2648,Wind Res Jwl 1,Wind Res Jwl 1,mhxx-romfs-game-array+mhxx-dex-1.0+mhxx-save-format-community+mhxx-romfs-native-table,1
2649,Wind Res Jwl 2,Wind Res Jwl 2,mhxx-romfs-game-array+mhxx-dex-1.0+mhxx-save-format-community+mhxx-romfs-native-table,2
2650,Footing Jwl 1,Footing Jwl 1,mhxx-romfs-game-array+mhxx-dex-1.0+mhxx-save-format-community+mhxx-romfs-native-table,1
2651,Tectonic Jwl 1,Tectonic Jwl 1,mhxx-romfs-game-array+mhxx-dex-1.0+mhxx-save-format-community+mhxx-romfs-native-table,1
2652,Bind Jwl 1,Bind Jwl 1,mhxx-romfs-game-array+mhxx-dex-1.0+mhxx-save-format-community+mhxx-romfs-native-table,1
2653,Shackle Jwl 1,Shackle Jwl 1,mhxx-romfs-game-array+mhxx-dex-1.0+mhxx-save-format-community+mhxx-romfs-native-table,1
2654,Heat Res Jwl 1,Heat Res Jwl 1,mhxx-romfs-game-array+mhxx-dex-1.0+mhxx-save-format-community+mhxx-romfs-native-table,1
2655,Cold Res Jwl 1,Cold Res Jwl 1,mhxx-romfs-game-array+mhxx-dex-1.0+mhxx-save-format-community+mhxx-romfs-native-table,1
2656,Polar Jwl 1,Polar Jwl 1,mhxx-romfs-game-array+mhxx-dex-1.0+mhxx-save-format-community+mhxx-romfs-native-table,1
2657,Polar Jwl 3,Polar Jwl 3,mhxx-romfs-game-array+mhxx-dex-1.0+mhxx-save-format-community+mhxx-romfs-native-table,3
2658,Solar Jwl 1,Solar Jwl 1,mhxx-romfs-game-array+mhxx-dex-1.0+mhxx-save-format-community+mhxx-romfs-native-table,1
2659,Solar Jwl 3,Solar Jwl 3,mhxx-romfs-game-array+mhxx-dex-1.0+mhxx-save-format-community+mhxx-romfs-native-table,3
2660,Safe Jwl 1,Safe Jwl 1,mhxx-romfs-game-array+mhxx-dex-1.0+mhxx-save-format-community+mhxx-romfs-native-table,1
2661,Def Lock Jwl 1,Def Lock Jwl 1,mhxx-romfs-game-array+mhxx-dex-1.0+mhxx-save-format-community+mhxx-romfs-native-table,1
2662,Sane Jwl 1,Sane Jwl 1,mhxx-romfs-game-array+mhxx-dex-1.0+mhxx-save-format-community+mhxx-romfs-native-table,1
2663,Sane Jwl 3,Sane Jwl 3,mhxx-romfs-game-array+mhxx-dex-1.0+mhxx-save-format-community+mhxx-romfs-native-table,3
2664,Biology Jwl 1,Biology Jwl 1,mhxx-romfs-game-array+mhxx-dex-1.0+mhxx-save-format-community+mhxx-romfs-native-table,1
2665,Microbio Jwl 1,Microbio Jwl 1,mhxx-romfs-game-array+mhxx-dex-1.0+mhxx-save-format-community+mhxx-romfs-native-table,1
2666,Staunch Jwl 1,Staunch Jwl 1,mhxx-romfs-game-array+mhxx-dex-1.0+mhxx-save-format-community+mhxx-romfs-native-table,1
2667,Attack Jwl 1,Attack Jwl 1,mhxx-romfs-game-array+mhxx-dex-1.0+mhxx-save-format-community+mhxx-romfs-native-table,1
2668,Attack Jwl 2,Attack Jwl 2,mhxx-romfs-game-array+mhxx-dex-1.0+mhxx-save-format-community+mhxx-romfs-native-table,2
2669,Attack Jwl 3,Attack Jwl 3,mhxx-romfs-game-array+mhxx-dex-1.0+mhxx-save-format-community+mhxx-romfs-native-table,3
2670,Defense Jwl 1,Defense Jwl 1,mhxx-romfs-game-array+mhxx-dex-1.0+mhxx-save-format-community+mhxx-romfs-native-table,1
2671,Defense Jwl 2,Defense Jwl 2,mhxx-romfs-game-array+mhxx-dex-1.0+mhxx-save-format-community+mhxx-romfs-native-table,2
2672,Vitality Jwl 1,Vitality Jwl 1,mhxx-romfs-game-array+mhxx-dex-1.0+mhxx-save-format-community+mhxx-romfs-native-table,1
2673,Fire Res Jwl 1,Fire Res Jwl 1,mhxx-romfs-game-array+mhxx-dex-1.0+mhxx-save-format-community+mhxx-romfs-native-table,1
2674,Nul-Fire Jwl 1,Nul-Fire Jwl 1,mhxx-romfs-game-array+mhxx-dex-1.0+mhxx-save-format-community+mhxx-romfs-native-table,1
2675,Water Res Jwl 1,Water Res Jwl 1,mhxx-romfs-game-array+mhxx-dex-1.0+mhxx-save-format-community+mhxx-romfs-native-table,1
2676,Nul-Water Jwl 1,Nul-Water Jwl 1,mhxx-romfs-game-array+mhxx-dex-1.0+mhxx-save-format-community+mhxx-romfs-native-table,1
2677,ThunderRes Jwl 1,ThunderRes Jwl 1,mhxx-romfs-game-array+mhxx-dex-1.0+mhxx-save-format-community+mhxx-romfs-native-table,1
2678,Nul-Thundr Jwl 1,Nul-Thundr Jwl 1,mhxx-romfs-game-array+mhxx-dex-1.0+mhxx-save-format-community+mhxx-romfs-native-table,1
2679,Ice Res Jwl 1,Ice Res Jwl 1,mhxx-romfs-game-array+mhxx-dex-1.0+mhxx-save-format-community+mhxx-romfs-native-table,1
2680,Nul-Ice Jwl 1,Nul-Ice Jwl 1,mhxx-romfs-game-array+mhxx-dex-1.0+mhxx-save-format-community+mhxx-romfs-native-table,1
2681,Dragon Res Jwl 1,Dragon Res Jwl 1,mhxx-romfs-game-array+mhxx-dex-1.0+mhxx-save-format-community+mhxx-romfs-native-table,1
2682,Nul-Dragon Jwl 1,Nul-Dragon Jwl 1,mhxx-romfs-game-array+mhxx-dex-1.0+mhxx-save-format-community+mhxx-romfs-native-table,1
2683,Resistor Jwl 1,Resistor Jwl 1,mhxx-romfs-game-array+mhxx-dex-1.0+mhxx-save-format-community+mhxx-romfs-native-table,1
2684,Resistor Jwl 3,Resistor Jwl 3,mhxx-romfs-game-array+mhxx-dex-1.0+mhxx-save-format-community+mhxx-romfs-native-table,3
2685,Blaze Jwl 1,Blaze Jwl 1,mhxx-romfs-game-array+mhxx-dex-1.0+mhxx-save-format-community+mhxx-romfs-native-table,1
2686,Blaze Jwl 2,Blaze Jwl 2,mhxx-romfs-game-array+mhxx-dex-1.0+mhxx-save-format-community+mhxx-romfs-native-table,2
2687,Stream Jwl 1,Stream Jwl 1,mhxx-romfs-game-array+mhxx-dex-1.0+mhxx-save-format-community+mhxx-romfs-native-table,1
2688,Stream Jwl 2,Stream Jwl 2,mhxx-romfs-game-array+mhxx-dex-1.0+mhxx-save-format-community+mhxx-romfs-native-table,2
2689,Bolt Jwl 1,Bolt Jwl 1,mhxx-romfs-game-array+mhxx-dex-1.0+mhxx-save-format-community+mhxx-romfs-native-table,1
2690,Bolt Jwl 2,Bolt Jwl 2,mhxx-romfs-game-array+mhxx-dex-1.0+mhxx-save-format-community+mhxx-romfs-native-table,2
2691,Frost Jwl 1,Frost Jwl 1,mhxx-romfs-game-array+mhxx-dex-1.0+mhxx-save-format-community+mhxx-romfs-native-table,1
2692,Frost Jwl 2,Frost Jwl 2,mhxx-romfs-game-array+mhxx-dex-1.0+mhxx-save-format-community+mhxx-romfs-native-table,2
2693,Dragon Jwl 1,Dragon Jwl 1,mhxx-romfs-game-array+mhxx-dex-1.0+mhxx-save-format-community+mhxx-romfs-native-table,1
2694,Dragon Jwl 2,Dragon Jwl 2,mhxx-romfs-game-array+mhxx-dex-1.0+mhxx-save-format-community+mhxx-romfs-native-table,2
2695,Element Jwl 1,Element Jwl 1,mhxx-romfs-game-array+mhxx-dex-1.0+mhxx-save-format-community+mhxx-romfs-native-table,1
2696,Element Jwl 3,Element Jwl 3,mhxx-romfs-game-array+mhxx-dex-1.0+mhxx-save-format-community+mhxx-romfs-native-table,3
2697,Disabler Jwl 1,Disabler Jwl 1,mhxx-romfs-game-array+mhxx-dex-1.0+mhxx-save-format-community+mhxx-romfs-native-table,1
2698,Disabler Jwl 2,Disabler Jwl 2,mhxx-romfs-game-array+mhxx-dex-1.0+mhxx-save-format-community+mhxx-romfs-native-table,2
2699,Grinder Jwl 1,Grinder Jwl 1,mhxx-romfs-game-array+mhxx-dex-1.0+mhxx-save-format-community+mhxx-romfs-native-table,1
2700,Handicraft Jwl 1,Handicraft Jwl 1,mhxx-romfs-game-array+mhxx-dex-1.0+mhxx-save-format-community+mhxx-romfs-native-table,1
2701,Handicraft Jwl 3,Handicraft Jwl 3,mhxx-romfs-game-array+mhxx-dex-1.0+mhxx-save-format-community+mhxx-romfs-native-table,3
2702,Razor Jwl 1,Razor Jwl 1,mhxx-romfs-game-array+mhxx-dex-1.0+mhxx-save-format-community+mhxx-romfs-native-table,1
2703,Razor Jwl 3,Razor Jwl 3,mhxx-romfs-game-array+mhxx-dex-1.0+mhxx-save-format-community+mhxx-romfs-native-table,3
2704,Fencer Jwl 1,Fencer Jwl 1,mhxx-romfs-game-array+mhxx-dex-1.0+mhxx-save-format-community+mhxx-romfs-native-table,1
2705,Fencer Jwl 3,Fencer Jwl 3,mhxx-romfs-game-array+mhxx-dex-1.0+mhxx-save-format-community+mhxx-romfs-native-table,3
2706,Sharp Jwl 1,Sharp Jwl 1,mhxx-romfs-game-array+mhxx-dex-1.0+mhxx-save-format-community+mhxx-romfs-native-table,1
2707,Sharp Jwl 3,Sharp Jwl 3,mhxx-romfs-game-array+mhxx-dex-1.0+mhxx-save-format-community+mhxx-romfs-native-table,3
2708,Blunt Jwl 1,Blunt Jwl 1,mhxx-romfs-game-array+mhxx-dex-1.0+mhxx-save-format-community+mhxx-romfs-native-table,1
2709,Blunt Jwl 2,Blunt Jwl 2,mhxx-romfs-game-array+mhxx-dex-1.0+mhxx-save-format-community+mhxx-romfs-native-table,2
2710,Draw Jwl 1,Draw Jwl 1,mhxx-romfs-game-array+mhxx-dex-1.0+mhxx-save-format-community+mhxx-romfs-native-table,1
2711,Draw Jwl 2,Draw Jwl 2,mhxx-romfs-game-array+mhxx-dex-1.0+mhxx-save-format-community+mhxx-romfs-native-table,2
2712,Gambit Jwl 1,Gambit Jwl 1,mhxx-romfs-game-array+mhxx-dex-1.0+mhxx-save-format-community+mhxx-romfs-native-table,1
2713,Gambit Jwl 3,Gambit Jwl 3,mhxx-romfs-game-array+mhxx-dex-1.0+mhxx-save-format-community+mhxx-romfs-native-table,3
2714,Sheath Jwl 1,Sheath Jwl 1,mhxx-romfs-game-array+mhxx-dex-1.0+mhxx-save-format-community+mhxx-romfs-native-table,1
2715,Sheath Jwl 2,Sheath Jwl 2,mhxx-romfs-game-array+mhxx-dex-1.0+mhxx-save-format-community+mhxx-romfs-native-table,2
2716,Razor Sheath Jwl 1,Razor Sheath Jwl 1,mhxx-romfs-game-array+mhxx-dex-1.0+mhxx-save-format-community+mhxx-romfs-native-table,1
2717,DUMMY Jewel 1,DUMMY Jewel 1,mhxx-romfs-game-array+mhxx-save-format-community+mhxx-romfs-native-table,1
2718,DUMMY Jewel 2,DUMMY Jewel 2,mhxx-romfs-game-array+mhxx-save-format-community+mhxx-romfs-native-table,1
2719,Bladescale Jwl 1,Bladescale Jwl 1,mhxx-romfs-game-array+mhxx-dex-1.0+mhxx-save-format-community+mhxx-romfs-native-table,1
2720,DUMMY Jewel 3,DUMMY Jewel 3,mhxx-romfs-game-array+mhxx-save-format-community+mhxx-romfs-native-table,1
2721,Bladescale Jwl 3,Bladescale Jwl 3,mhxx-romfs-game-array+mhxx-dex-1.0+mhxx-save-format-community+mhxx-romfs-native-table,3
2722,Quickload Jwl 1,Quickload Jwl 1,mhxx-romfs-game-array+mhxx-dex-1.0+mhxx-save-format-community+mhxx-romfs-native-table,1
2723,Quickload Jwl 2,Quickload Jwl 2,mhxx-romfs-game-array+mhxx-dex-1.0+mhxx-save-format-community+mhxx-romfs-native-table,2
2724,Absorber Jwl 1,Absorber Jwl 1,mhxx-romfs-game-array+mhxx-dex-1.0+mhxx-save-format-community+mhxx-romfs-native-table,1
2725,Absorber Jwl 3,Absorber Jwl 3,mhxx-romfs-game-array+mhxx-dex-1.0+mhxx-save-format-community+mhxx-romfs-native-table,3
2726,Sniper Jwl 1,Sniper Jwl 1,mhxx-romfs-game-array+mhxx-dex-1.0+mhxx-save-format-community+mhxx-romfs-native-table,1
2727,Forceshot Jwl 1,Forceshot Jwl 1,mhxx-romfs-game-array+mhxx-dex-1.0+mhxx-save-format-community+mhxx-romfs-native-table,1
2728,Forceshot Jwl 3,Forceshot Jwl 3,mhxx-romfs-game-array+mhxx-dex-1.0+mhxx-save-format-community+mhxx-romfs-native-table,3
2729,Pierce Jwl 1,Pierce Jwl 1,mhxx-romfs-game-array+mhxx-dex-1.0+mhxx-save-format-community+mhxx-romfs-native-table,1
2730,Pierce Jwl 3,Pierce Jwl 3,mhxx-romfs-game-array+mhxx-dex-1.0+mhxx-save-format-community+mhxx-romfs-native-table,3
2731,Pellet Jwl 1,Pellet Jwl 1,mhxx-romfs-game-array+mhxx-dex-1.0+mhxx-save-format-community+mhxx-romfs-native-table,1
2732,Pellet Jwl 3,Pellet Jwl 3,mhxx-romfs-game-array+mhxx-dex-1.0+mhxx-save-format-community+mhxx-romfs-native-table,3
2733,Heavyshot Jwl 1,Heavyshot Jwl 1,mhxx-romfs-game-array+mhxx-dex-1.0+mhxx-save-format-community+mhxx-romfs-native-table,1
2734,Heavyshot Jwl 3,Heavyshot Jwl 3,mhxx-romfs-game-array+mhxx-dex-1.0+mhxx-save-format-community+mhxx-romfs-native-table,3
2735,ShotPlus Jwl 1,ShotPlus Jwl 1,mhxx-romfs-game-array+mhxx-dex-1.0+mhxx-save-format-community+mhxx-romfs-native-table,1
2736,ShotPlus Jwl 2,ShotPlus Jwl 2,mhxx-romfs-game-array+mhxx-dex-1.0+mhxx-save-format-community+mhxx-romfs-native-table,2
2737,PiercePlus Jwl 1,PiercePlus Jwl 1,mhxx-romfs-game-array+mhxx-dex-1.0+mhxx-save-format-community+mhxx-romfs-native-table,1
2738,PelletPlus Jwl 1,PelletPlus Jwl 1,mhxx-romfs-game-array+mhxx-dex-1.0+mhxx-save-format-community+mhxx-romfs-native-table,1
2739,CragPlus Jwl 1,CragPlus Jwl 1,mhxx-romfs-game-array+mhxx-dex-1.0+mhxx-save-format-community+mhxx-romfs-native-table,1
2740,ClustPlus Jwl 1,ClustPlus Jwl 1,mhxx-romfs-game-array+mhxx-dex-1.0+mhxx-save-format-community+mhxx-romfs-native-table,1
2741,ClustPlus Jwl 3,ClustPlus Jwl 3,mhxx-romfs-game-array+mhxx-dex-1.0+mhxx-save-format-community+mhxx-romfs-native-table,3
2742,Poisoncoat Jwl 1,Poisoncoat Jwl 1,mhxx-romfs-game-array+mhxx-dex-1.0+mhxx-save-format-community+mhxx-romfs-native-table,1
2743,Paracoat Jwl 1,Paracoat Jwl 1,mhxx-romfs-game-array+mhxx-dex-1.0+mhxx-save-format-community+mhxx-romfs-native-table,1
2744,Paracoat Jwl 2,Paracoat Jwl 2,mhxx-romfs-game-array+mhxx-dex-1.0+mhxx-save-format-community+mhxx-romfs-native-table,2
2745,Sleep Jwl 1,Sleep Jwl 1,mhxx-romfs-game-array+mhxx-dex-1.0+mhxx-save-format-community+mhxx-romfs-native-table,1
2746,Powercoat Jwl 1,Powercoat Jwl 1,mhxx-romfs-game-array+mhxx-dex-1.0+mhxx-save-format-community+mhxx-romfs-native-table,1
2747,Powercoat Jwl 2,Powercoat Jwl 2,mhxx-romfs-game-array+mhxx-dex-1.0+mhxx-save-format-community+mhxx-romfs-native-table,2
2748,Elemcoat Jwl 1,Elemcoat Jwl 1,mhxx-romfs-game-array+mhxx-dex-1.0+mhxx-save-format-community+mhxx-romfs-native-table,1
2749,Elemcoat Jwl 2,Elemcoat Jwl 2,mhxx-romfs-game-array+mhxx-dex-1.0+mhxx-save-format-community+mhxx-romfs-native-table,2
2750,Rangecoat Jwl 1,Rangecoat Jwl 1,mhxx-romfs-game-array+mhxx-dex-1.0+mhxx-save-format-community+mhxx-romfs-native-table,1
2751,Draincoat Jwl 1,Draincoat Jwl 1,mhxx-romfs-game-array+mhxx-dex-1.0+mhxx-save-format-community+mhxx-romfs-native-table,1
2752,Blastcoat Jwl 1,Blastcoat Jwl 1,mhxx-romfs-game-array+mhxx-dex-1.0+mhxx-save-format-community+mhxx-romfs-native-table,1
2753,Salvo Jwl 1,Salvo Jwl 1,mhxx-romfs-game-array+mhxx-dex-1.0+mhxx-save-format-community+mhxx-romfs-native-table,1
