domain,equipment_type,variant,value,name,english,source
weapon_special,"15,21",phial,1,Power,Power,mhxx-dex-1.0
weapon_special,"15,21",phial,2,Para,Para,mhxx-dex-1.0
weapon_special,"15,21",phial,3,Poison,Poison,mhxx-dex-1.0
weapon_special,"15,21",phial,4,Dragon,Dragon,mhxx-dex-1.0
weapon_special,"15,21",phial,5,Element,Element,mhxx-dex-1.0
weapon_special,"15,21",phial,6,Exhaust,Exhaust,mhxx-dex-1.0
weapon_special,"15,21",phial,7,Impact,Impact,mhxx-dex-1.0
weapon_special,17,arc_type,1,Wide,Wide,mhxx-dex-1.0
weapon_special,17,arc_type,2,Focus,Focus,mhxx-dex-1.0
weapon_special,17,arc_type,3,Blast,Blast,mhxx-dex-1.0
weapon_special,17,arc_type,4,Power,Power,mhxx-dex-1.0
weapon_special,"11,13",recoil,1,Low,Low,mhxx-dex-1.0
weapon_special,"11,13",recoil,2,Some,Some,mhxx-dex-1.0
weapon_special,"11,13",recoil,3,Avg.,Avg.,mhxx-dex-1.0
weapon_special,"11,13",recoil,4,High,High,mhxx-dex-1.0
weapon_special,"11,13",reload_speed,1,V. Fast,V. Fast,mhxx-dex-1.0
weapon_special,"11,13",reload_speed,2,Abv.Avg,Abv.Avg,mhxx-dex-1.0
weapon_special,"11,13",reload_speed,3,Average,Average,mhxx-dex-1.0
weapon_special,"11,13",reload_speed,4,Bel.Avg,Bel.Avg,mhxx-dex-1.0
weapon_special,"11,13",reload_speed,5,V. Slow,V. Slow,mhxx-dex-1.0
weapon_special,"11,13",deviation,0,-,-,mhxx-dex-1.0
weapon_special,"11,13",deviation,1,LR Mild,LR Mild,mhxx-dex-1.0
weapon_special,"11,13",deviation,2,LR Severe,LR Severe,mhxx-dex-1.0
weapon_special,"11,13",deviation,3,L Mild,L Mild,mhxx-dex-1.0
weapon_special,"11,13",deviation,4,L Severe,L Severe,mhxx-dex-1.0
weapon_special,"11,13",deviation,5,R Mild,R Mild,mhxx-dex-1.0
weapon_special,"11,13",deviation,6,R Severe,R Severe,mhxx-dex-1.0
weapon_special,19,song_category,1,Offensive,Offensive,mhxx-dex-1.0
weapon_special,19,song_category,2,Defensive,Defensive,mhxx-dex-1.0
weapon_special,19,song_category,3,Protection,Protection,mhxx-dex-1.0
weapon_special,19,song_category,4,Healing,Healing,mhxx-dex-1.0
weapon_special,19,song_category,5,User-only,User-only,mhxx-dex-1.0
weapon_special,19,song_category,6,Other,Other,mhxx-dex-1.0
kinsect,20,damage_type,1,Cutting,Cutting,mhxx-dex-1.0
kinsect,20,damage_type,2,Blunt,Blunt,mhxx-dex-1.0
weapon_special,13,rapid_fire_gap,1,Low,Low,mhxx-dex-1.0
weapon_special,13,rapid_fire_gap,2,Avg.,Avg.,mhxx-dex-1.0
weapon_special,13,rapid_fire_gap,3,High,High,mhxx-dex-1.0
weapon_special,13,rapid_fire_gap,4,V.High,V.High,mhxx-dex-1.0
weapon_special,19,recital_effect,1,Movement Speed Up,Movement Speed Up,mhxx-dex-1.0
weapon_special,19,recital_effect,2,Attack Deflection Prevention,Attack Deflection Prevention,mhxx-dex-1.0
weapon_special,19,recital_effect,3,Attack +10%,Attack +10%,mhxx-dex-1.0
weapon_special,19,recital_effect,4,Attack +15%,Attack +15%,mhxx-dex-1.0
weapon_special,19,recital_effect,5,Attack +5%,Attack +5%,mhxx-dex-1.0
weapon_special,19,recital_effect,6,Defense +10%,Defense +10%,mhxx-dex-1.0
weapon_special,19,recital_effect,7,Defense +15%,Defense +15%,mhxx-dex-1.0
weapon_special,19,recital_effect,8,Defense +5%,Defense +5%,mhxx-dex-1.0
weapon_special,19,recital_effect,9,Att. & Def. +10%,Att. & Def. +10%,mhxx-dex-1.0
weapon_special,19,recital_effect,10,Att. & Def. +5%,Att. & Def. +5%,mhxx-dex-1.0
weapon_special,19,recital_effect,11,Max Health +30,Max Health +30,mhxx-dex-1.0
weapon_special,19,recital_effect,12,Max Health +50,Max Health +50,mhxx-dex-1.0
weapon_special,19,recital_effect,13,Recovery Speed Up (S),Recovery Speed Up (S),mhxx-dex-1.0
weapon_special,19,recital_effect,14,Recovery Speed Up (L),Recovery Speed Up (L),mhxx-dex-1.0
weapon_special,19,recital_effect,15,Health Recovery (S),Health Recovery (S),mhxx-dex-1.0
weapon_special,19,recital_effect,16,Health Rec. (S) + Ant.,Health Rec. (S) + Ant.,mhxx-dex-1.0
weapon_special,19,recital_effect,17,Health Rec. (M) + Ant.,Health Rec. (M) + Ant.,mhxx-dex-1.0
weapon_special,19,recital_effect,18,Health Rec. (M) + Deod.,Health Rec. (M) + Deod.,mhxx-dex-1.0
weapon_special,19,recital_effect,19,Health Recovery (L),Health Recovery (L),mhxx-dex-1.0
weapon_special,19,recital_effect,20,Fire Res +5 + Fireblight Reduced,Fire Res +5 + Fireblight Reduced,mhxx-dex-1.0
weapon_special,19,recital_effect,21,Fire Res +7 + Fireblight Immune,Fire Res +7 + Fireblight Immune,mhxx-dex-1.0
weapon_special,19,recital_effect,22,Fire Res +7 + Fireblight Immune,Fire Res +7 + Fireblight Immune,mhxx-dex-1.0
