id,name,english,source
0,None,None,mhxx-save-format-community
1,Head,Head,mhxx-save-format-community
2,Chest,Chest,mhxx-save-format-community
3,Arms,Arms,mhxx-save-format-community
4,Waist,Waist,mhxx-save-format-community
5,Legs,Legs,mhxx-save-format-community
6,Talisman,Talisman,mhxx-save-format-community
7,Great Sword,Great Sword,mhxx-save-format-community
8,Sword and Shield,Sword and Shield,mhxx-save-format-community
9,Hammer,Hammer,mhxx-save-format-community
10,Lance,Lance,mhxx-save-format-community
11,Light Bowgun,Light Bowgun,mhxx-save-format-community
12,Heavy Bowgun,Heavy Bowgun,mhxx-save-format-community
13,Long Sword,Long Sword,mhxx-save-format-community
14,Switch Axe,Switch Axe,mhxx-save-format-community
15,Gunlance,Gunlance,mhxx-save-format-community
16,Bow,Bow,mhxx-save-format-community
17,Dual Blades,Dual Blades,mhxx-save-format-community
18,Hunting Horn,Hunting Horn,mhxx-save-format-community
19,Insect Glaive,Insect Glaive,mhxx-save-format-community
20,Charge Blade,Charge Blade,mhxx-save-format-community
