id,name,english,source
0,None,None,mhxx-romfs-game-array
1,Book of Combos 1,Book of Combos 1,mhxx-romfs-game-array+mhxx-dex-1.0
2,Book of Combos 2,Book of Combos 2,mhxx-romfs-game-array+mhxx-dex-1.0
3,Book of Combos 3,Book of Combos 3,mhxx-romfs-game-array+mhxx-dex-1.0
4,Book of Combos 4,Book of Combos 4,mhxx-romfs-game-array+mhxx-dex-1.0
5,Book of Combos 5,Book of Combos 5,mhxx-romfs-game-array+mhxx-dex-1.0
6,Organizer Guide,Organizer Guide,mhxx-romfs-game-array+mhxx-dex-1.0
7,Pack Rat Guide,Pack Rat Guide,mhxx-romfs-game-array+mhxx-dex-1.0
8,Binoculars,Binoculars,mhxx-romfs-game-array+mhxx-dex-1.0
9,Potion,Potion,mhxx-romfs-game-array+mhxx-dex-1.0
10,Mega Potion,Mega Potion,mhxx-romfs-game-array+mhxx-dex-1.0
11,Nutrients,Nutrients,mhxx-romfs-game-array+mhxx-dex-1.0
12,Mega Nutrients,Mega Nutrients,mhxx-romfs-game-array+mhxx-dex-1.0
13,Antidote,Antidote,mhxx-romfs-game-array+mhxx-dex-1.0
14,Immunizer,Immunizer,mhxx-romfs-game-array+mhxx-dex-1.0
15,Dash Juice,Dash Juice,mhxx-romfs-game-array+mhxx-dex-1.0
16,Mega Dash Juice,Mega Dash Juice,mhxx-romfs-game-array+mhxx-dex-1.0
17,Demondrug,Demondrug,mhxx-romfs-game-array+mhxx-dex-1.0
18,Mega Demondrug,Mega Demondrug,mhxx-romfs-game-array+mhxx-dex-1.0
19,Might Pill,Might Pill,mhxx-romfs-game-array+mhxx-dex-1.0
20,Armorskin,Armorskin,mhxx-romfs-game-array+mhxx-dex-1.0
21,Mega Armorskin,Mega Armorskin,mhxx-romfs-game-array+mhxx-dex-1.0
22,Adamant Pill,Adamant Pill,mhxx-romfs-game-array+mhxx-dex-1.0
23,Cool Drink,Cool Drink,mhxx-romfs-game-array+mhxx-dex-1.0
24,Hot Drink,Hot Drink,mhxx-romfs-game-array+mhxx-dex-1.0
25,Cleanser,Cleanser,mhxx-romfs-game-array+mhxx-dex-1.0
26,Psychoserum,Psychoserum,mhxx-romfs-game-array+mhxx-dex-1.0
