id,name,english,source,rarity
0,None,None,mhxx-romfs-game-array,0
1,F Acorn Mail,F Acorn Mail,mhxx-romfs-game-array+mhxx-dex-1.0+mhxx-save-format-community,1
2,F Bherna Mail,F Bherna Mail,mhxx-romfs-game-array+mhxx-dex-1.0+mhxx-save-format-community,1
3,F Alloy Mail,F Alloy Mail,mhxx-romfs-game-array+mhxx-dex-1.0+mhxx-save-format-community,1
4,F Bone Mail,F Bone Mail,mhxx-romfs-game-array+mhxx-dex-1.0+mhxx-save-format-community,1
5,F Jaggi Mail,F Jaggi Mail,mhxx-romfs-game-array+mhxx-dex-1.0+mhxx-save-format-community,1
6,F Hunting Mail,F Hunting Mail,mhxx-romfs-game-array+mhxx-dex-1.0+mhxx-save-format-community,2
7,F Mafumofu Vest,F Mafumofu Vest,mhxx-romfs-game-array+mhxx-dex-1.0+mhxx-save-format-community,2
8,F Yukumo Dogi,F Yukumo Dogi,mhxx-romfs-game-array+mhxx-dex-1.0+mhxx-save-format-community,2
9,F Alta Shirt,F Alta Shirt,mhxx-romfs-game-array+mhxx-dex-1.0+mhxx-save-format-community,2
10,F Rheno Mail,F Rheno Mail,mhxx-romfs-game-array+mhxx-dex-1.0+mhxx-save-format-community,2
11,F Bnaha Suit,F Bnaha Suit,mhxx-romfs-game-array+mhxx-dex-1.0+mhxx-save-format-community,2
12,F Maccao Mail,F Maccao Mail,mhxx-romfs-game-array+mhxx-dex-1.0+mhxx-save-format-community,2
13,F Velociprey Mail,F Velociprey Mail,mhxx-romfs-game-array+mhxx-dex-1.0+mhxx-save-format-community,2
14,F Bulldrome Vest,F Bulldrome Vest,mhxx-romfs-game-array+mhxx-dex-1.0+mhxx-save-format-community,2
15,F Arzuros Mail,F Arzuros Mail,mhxx-romfs-game-array+mhxx-dex-1.0+mhxx-save-format-community,2
16,F Genprey Mail,F Genprey Mail,mhxx-romfs-game-array+mhxx-dex-1.0+mhxx-save-format-community,2
17,F Cephalos Dress,F Cephalos Dress,mhxx-romfs-game-array+mhxx-dex-1.0+mhxx-save-format-community,2
18,F Stone Body,F Stone Body,mhxx-romfs-game-array+mhxx-dex-1.0+mhxx-save-format-community,2
19,F Venombee Wings,F Venombee Wings,mhxx-romfs-game-array+mhxx-dex-1.0+mhxx-save-format-community,2
20,F Gourmet Suit,F Gourmet Suit,mhxx-romfs-game-array+mhxx-dex-1.0+mhxx-save-format-community,2
21,F Moofy Suit,F Moofy Suit,mhxx-romfs-game-array+mhxx-dex-1.0+mhxx-save-format-community,2
22,F Aptonoth Suit,F Aptonoth Suit,mhxx-romfs-game-array+mhxx-dex-1.0+mhxx-save-format-community,2
23,F Popo Wear,F Popo Wear,mhxx-romfs-game-array+mhxx-dex-1.0+mhxx-save-format-community,2
24,F Gargwa Vest,F Gargwa Vest,mhxx-romfs-game-array+mhxx-dex-1.0+mhxx-save-format-community,2
25,F Ioprey Mail,F Ioprey Mail,mhxx-romfs-game-array+mhxx-dex-1.0+mhxx-save-format-community,2
26,F Lagombi Mail,F Lagombi Mail,mhxx-romfs-game-array+mhxx-dex-1.0+mhxx-save-format-community,2
27,F Kut-Ku Wear,F Kut-Ku Wear,mhxx-romfs-game-array+mhxx-dex-1.0+mhxx-save-format-community,2
28,F Gypceros Cloth,F Gypceros Cloth,mhxx-romfs-game-array+mhxx-dex-1.0+mhxx-save-format-community,2
29,F Cabra Wrap,F Cabra Wrap,mhxx-romfs-game-array+mhxx-dex-1.0+mhxx-save-format-community,2
30,F Daimyo Suit,F Daimyo Suit,mhxx-romfs-game-array+mhxx-dex-1.0+mhxx-save-format-community,2
31,F Ludroth Mail,F Ludroth Mail,mhxx-romfs-game-array+mhxx-dex-1.0+mhxx-save-format-community,2
32,F Khezu Apron,F Khezu Apron,mhxx-romfs-game-array+mhxx-dex-1.0+mhxx-save-format-community,2
33,F Nibel Mail,F Nibel Mail,mhxx-romfs-game-array+mhxx-dex-1.0+mhxx-save-format-community,2
34,F Scholarly Suit,F Scholarly Suit,mhxx-romfs-game-array+mhxx-dex-1.0+mhxx-save-format-community,2
35,F Derring Lorica,F Derring Lorica,mhxx-romfs-game-array+mhxx-dex-1.0+mhxx-save-format-community,2
36,F Edel Frills,F Edel Frills,mhxx-romfs-game-array+mhxx-dex-1.0+mhxx-save-format-community,2
37,F Kittendant Suit,F Kittendant Suit,mhxx-romfs-game-array+mhxx-dex-1.0+mhxx-save-format-community,2
38,F Mosgharl Mail,F Mosgharl Mail,mhxx-romfs-game-array+mhxx-dex-1.0+mhxx-save-format-community,2
39,F Larinoth Suit,F Larinoth Suit,mhxx-romfs-game-array+mhxx-dex-1.0+mhxx-save-format-community,2
40,F Death Stench Coat,F Death Stench Coat,mhxx-romfs-game-array+mhxx-dex-1.0+mhxx-save-format-community,2
41,F Marauder Armor,F Marauder Armor,mhxx-romfs-game-array+mhxx-dex-1.0+mhxx-save-format-community,2
42,F Volvi Mail,F Volvi Mail,mhxx-romfs-game-array+mhxx-dex-1.0+mhxx-save-format-community,2
43,F Malfestio Mail,F Malfestio Mail,mhxx-romfs-game-array+mhxx-dex-1.0+mhxx-save-format-community,2
44,F Rathian Mail,F Rathian Mail,mhxx-romfs-game-array+mhxx-dex-1.0+mhxx-save-format-community,2
45,F Blango Garb,F Blango Garb,mhxx-romfs-game-array+mhxx-dex-1.0+mhxx-save-format-community,2
46,F Ceanataur Suit,F Ceanataur Suit,mhxx-romfs-game-array+mhxx-dex-1.0+mhxx-save-format-community,2
47,F Naja Sirwal,F Naja Sirwal,mhxx-romfs-game-array+mhxx-dex-1.0+mhxx-save-format-community,2
48,F Narga Mail,F Narga Mail,mhxx-romfs-game-array+mhxx-dex-1.0+mhxx-save-format-community,2
49,F Maiden Mail,F Maiden Mail,mhxx-romfs-game-array+mhxx-dex-1.0+mhxx-save-format-community,3
50,F Helper Mail,F Helper Mail,mhxx-romfs-game-array+mhxx-dex-1.0+mhxx-save-format-community,3
51,F Pretty Robe,F Pretty Robe,mhxx-romfs-game-array+mhxx-dex-1.0+mhxx-save-format-community,3
52,F Chaos Skirt,F Chaos Skirt,mhxx-romfs-game-array+mhxx-dex-1.0+mhxx-save-format-community,3
53,F El Dora Mail,F El Dora Mail,mhxx-romfs-game-array+mhxx-dex-1.0+mhxx-save-format-community,3
54,F Artian Gear,F Artian Gear,mhxx-romfs-game-array+mhxx-dex-1.0+mhxx-save-format-community,3
55,F Garuga Robe,F Garuga Robe,mhxx-romfs-game-array+mhxx-dex-1.0+mhxx-save-format-community,3
56,F Uragaan Mail,F Uragaan Mail,mhxx-romfs-game-array+mhxx-dex-1.0+mhxx-save-format-community,3
57,F Rathalos Mail,F Rathalos Mail,mhxx-romfs-game-array+mhxx-dex-1.0+mhxx-save-format-community,3
58,F Lagia Mail,F Lagia Mail,mhxx-romfs-game-array+mhxx-dex-1.0+mhxx-save-format-community,3
59,F Astalos Suit,F Astalos Suit,mhxx-romfs-game-array+mhxx-dex-1.0+mhxx-save-format-community,3
60,F Gammoth Coat,F Gammoth Coat,mhxx-romfs-game-array+mhxx-dex-1.0+mhxx-save-format-community,3
61,F Mizutsune Suit,F Mizutsune Suit,mhxx-romfs-game-array+mhxx-dex-1.0+mhxx-save-format-community,3
62,F Guild Suit,F Guild Suit,mhxx-romfs-game-array+mhxx-dex-1.0+mhxx-save-format-community,3
63,F Glavenus Mail,F Glavenus Mail,mhxx-romfs-game-array+mhxx-dex-1.0+mhxx-save-format-community,3
64,F Zinogre Mail,F Zinogre Mail,mhxx-romfs-game-array+mhxx-dex-1.0+mhxx-save-format-community,3
65,F Gore Ghost,F Gore Ghost,mhxx-romfs-game-array+mhxx-dex-1.0+mhxx-save-format-community,3
66,F Seregios Mail,F Seregios Mail,mhxx-romfs-game-array+mhxx-dex-1.0+mhxx-save-format-community,3
67,F Tigrex Mail,F Tigrex Mail,mhxx-romfs-game-array+mhxx-dex-1.0+mhxx-save-format-community,3
68,F Kirin Vest,F Kirin Vest,mhxx-romfs-game-array+mhxx-dex-1.0+mhxx-save-format-community,3
69,F Brachy Gloves,F Brachy Gloves,mhxx-romfs-game-array+mhxx-dex-1.0+mhxx-save-format-community,3
70,F Angel Feathers,F Angel Feathers,mhxx-romfs-game-array+mhxx-dex-1.0+mhxx-save-format-community,3
71,F Kushala Cista,F Kushala Cista,mhxx-romfs-game-array+mhxx-dex-1.0+mhxx-save-format-community,3
72,F Genie Carpet,F Genie Carpet,mhxx-romfs-game-array+mhxx-dex-1.0+mhxx-save-format-community,3
73,F Kaiser Robe,F Kaiser Robe,mhxx-romfs-game-array+mhxx-dex-1.0+mhxx-save-format-community,3
74,F Husk Suit,F Husk Suit,mhxx-romfs-game-array+mhxx-dex-1.0+mhxx-save-format-community,3
75,F Acorn Mail S,F Acorn Mail S,mhxx-romfs-game-array+mhxx-dex-1.0+mhxx-save-format-community,4
