forte_id,kind,role,entry_id,source
0,move,primary,31,mhxx-romfs-native-table
1,move,primary,29,mhxx-romfs-native-table
1,move,secondary,6,mhxx-romfs-native-table
1,move,secondary,26,mhxx-romfs-native-table
2,move,primary,30,mhxx-romfs-native-table
2,move,secondary,7,mhxx-romfs-native-table
2,move,secondary,24,mhxx-romfs-native-table
3,move,primary,20,mhxx-romfs-native-table
3,move,secondary,5,mhxx-romfs-native-table
3,move,secondary,24,mhxx-romfs-native-table
4,move,primary,3,mhxx-romfs-native-table
4,move,secondary,5,mhxx-romfs-native-table
4,move,secondary,7,mhxx-romfs-native-table
5,move,primary,12,mhxx-romfs-native-table
5,move,secondary,6,mhxx-romfs-native-table
5,move,secondary,27,mhxx-romfs-native-table
6,move,primary,37,mhxx-romfs-native-table
6,move,secondary,26,mhxx-romfs-native-table
6,move,secondary,27,mhxx-romfs-native-table
7,move,primary,46,mhxx-romfs-native-table
7,move,secondary_fixed,47,mhxx-romfs-native-table
0,skill,innate,45,mhxx-romfs-native-table
0,skill,innate,38,mhxx-romfs-native-table
1,skill,innate,3,mhxx-romfs-native-table
1,skill,innate,10,mhxx-romfs-native-table
2,skill,innate,16,mhxx-romfs-native-table
2,skill,innate,18,mhxx-romfs-native-table
3,skill,innate,41,mhxx-romfs-native-table
3,skill,innate,43,mhxx-romfs-native-table
4,skill,innate,5,mhxx-romfs-native-table
4,skill,innate,46,mhxx-romfs-native-table
5,skill,innate,24,mhxx-romfs-native-table
5,skill,innate,11,mhxx-romfs-native-table
6,skill,innate,44,mhxx-romfs-native-table
6,skill,innate,22,mhxx-romfs-native-table
7,skill,innate,77,mhxx-romfs-native-table
7,skill,innate,78,mhxx-romfs-native-table
-1,move,common,9,mhxx-romfs-native-table
-1,move,common,1,mhxx-romfs-native-table
