scope,pattern_id,sequence,valid_length,weight,source
normal_move,0,CCCCCCCC,14,5,mhxx-romfs-native-table
normal_move,1,BBCCCC,12,15,mhxx-romfs-native-table
normal_move,2,BBBCC,11,20,mhxx-romfs-native-table
normal_move,3,BBBB,10,15,mhxx-romfs-native-table
normal_move,4,ACCCCC,12,20,mhxx-romfs-native-table
normal_move,5,ABCCC,11,15,mhxx-romfs-native-table
normal_move,6,ABBC,10,10,mhxx-romfs-native-table
charisma_move,0,CCCCCCCCC,15,5,mhxx-romfs-native-table
charisma_move,1,BBCCCCC,13,15,mhxx-romfs-native-table
charisma_move,2,BBBCCC,12,20,mhxx-romfs-native-table
charisma_move,3,BBBBC,11,15,mhxx-romfs-native-table
charisma_move,4,ACCCCCC,13,20,mhxx-romfs-native-table
charisma_move,5,ABCCCC,12,15,mhxx-romfs-native-table
charisma_move,6,ABBCC,11,5,mhxx-romfs-native-table
charisma_move,7,ABBB,10,5,mhxx-romfs-native-table
skill,0,CCCCCCCC,12,5,mhxx-romfs-native-table
skill,1,BBCCCC,10,15,mhxx-romfs-native-table
skill,2,BBBCC,9,20,mhxx-romfs-native-table
skill,3,BBBB,8,15,mhxx-romfs-native-table
skill,4,ACCCCC,10,20,mhxx-romfs-native-table
skill,5,ABCCC,9,15,mhxx-romfs-native-table
skill,6,ABBC,8,10,mhxx-romfs-native-table
