id,name,english,source,rarity
0,None,None,mhxx-romfs-game-array,0
1,F Acorn Helm,F Acorn Helm,mhxx-romfs-game-array+mhxx-dex-1.0+mhxx-save-format-community,1
2,F Bherna Hood,F Bherna Hood,mhxx-romfs-game-array+mhxx-dex-1.0+mhxx-save-format-community,1
3,F Alloy Helm,F Alloy Helm,mhxx-romfs-game-array+mhxx-dex-1.0+mhxx-save-format-community,1
4,F Bone Helm,F Bone Helm,mhxx-romfs-game-array+mhxx-dex-1.0+mhxx-save-format-community,1
5,F Jaggi Helm,F Jaggi Helm,mhxx-romfs-game-array+mhxx-dex-1.0+mhxx-save-format-community,1
6,F Hunting Helm,F Hunting Helm,mhxx-romfs-game-array+mhxx-dex-1.0+mhxx-save-format-community,2
7,F Mafumofu Hood,F Mafumofu Hood,mhxx-romfs-game-array+mhxx-dex-1.0+mhxx-save-format-community,2
8,F Yukumo Kasa,F Yukumo Kasa,mhxx-romfs-game-array+mhxx-dex-1.0+mhxx-save-format-community,2
9,F Alta Hat,F Alta Hat,mhxx-romfs-game-array+mhxx-dex-1.0+mhxx-save-format-community,2
10,F Rheno Helm,F Rheno Helm,mhxx-romfs-game-array+mhxx-dex-1.0+mhxx-save-format-community,2
11,F Bnaha Cap,F Bnaha Cap,mhxx-romfs-game-array+mhxx-dex-1.0+mhxx-save-format-community,2
12,F Maccao Helm,F Maccao Helm,mhxx-romfs-game-array+mhxx-dex-1.0+mhxx-save-format-community,2
13,F Velociprey Helm,F Velociprey Helm,mhxx-romfs-game-array+mhxx-dex-1.0+mhxx-save-format-community,2
14,F Bulldrome Mask,F Bulldrome Mask,mhxx-romfs-game-array+mhxx-dex-1.0+mhxx-save-format-community,2
15,F Arzuros Helm,F Arzuros Helm,mhxx-romfs-game-array+mhxx-dex-1.0+mhxx-save-format-community,2
16,F Genprey Helm,F Genprey Helm,mhxx-romfs-game-array+mhxx-dex-1.0+mhxx-save-format-community,2
17,F Cephalos Hat,F Cephalos Hat,mhxx-romfs-game-array+mhxx-dex-1.0+mhxx-save-format-community,2
18,F Stone Head,F Stone Head,mhxx-romfs-game-array+mhxx-dex-1.0+mhxx-save-format-community,2
19,F Venombee Cap,F Venombee Cap,mhxx-romfs-game-array+mhxx-dex-1.0+mhxx-save-format-community,2
20,F Gourmet Toque,F Gourmet Toque,mhxx-romfs-game-array+mhxx-dex-1.0+mhxx-save-format-community,2
21,F Moofy Head,F Moofy Head,mhxx-romfs-game-array+mhxx-dex-1.0+mhxx-save-format-community,2
22,F Aptonoth Mask,F Aptonoth Mask,mhxx-romfs-game-array+mhxx-dex-1.0+mhxx-save-format-community,2
23,F Popo Head,F Popo Head,mhxx-romfs-game-array+mhxx-dex-1.0+mhxx-save-format-community,2
24,F Gargwa Mask,F Gargwa Mask,mhxx-romfs-game-array+mhxx-dex-1.0+mhxx-save-format-community,2
25,F Ioprey Helm,F Ioprey Helm,mhxx-romfs-game-array+mhxx-dex-1.0+mhxx-save-format-community,2
26,F Lagombi Helm,F Lagombi Helm,mhxx-romfs-game-array+mhxx-dex-1.0+mhxx-save-format-community,2
27,F Kut-Ku Mask,F Kut-Ku Mask,mhxx-romfs-game-array+mhxx-dex-1.0+mhxx-save-format-community,2
28,F Gypceros Crest,F Gypceros Crest,mhxx-romfs-game-array+mhxx-dex-1.0+mhxx-save-format-community,2
29,F Cabra Horn,F Cabra Horn,mhxx-romfs-game-array+mhxx-dex-1.0+mhxx-save-format-community,2
30,F Daimyo Mask,F Daimyo Mask,mhxx-romfs-game-array+mhxx-dex-1.0+mhxx-save-format-community,2
31,F Ludroth Helm,F Ludroth Helm,mhxx-romfs-game-array+mhxx-dex-1.0+mhxx-save-format-community,2
32,F Khezu Cap,F Khezu Cap,mhxx-romfs-game-array+mhxx-dex-1.0+mhxx-save-format-community,2
33,F Nibel Helm,F Nibel Helm,mhxx-romfs-game-array+mhxx-dex-1.0+mhxx-save-format-community,2
