id,name,english,source,generation_tier,generation_group,role,teachable,memory_cost,generation_weights
0,-----,-----,mhxx-save-format-community,0,,empty,0,,
1,Health Up (S),Health Up (S),mhxx-save-format-community,1,C,generated,1,,5/3/8/10
2,Health Up (L),Health Up (L),mhxx-save-format-community,2,B,generated,1,,6/3/10/5
3,Attack Up (S),Attack Up (S),mhxx-save-format-community,0,,innate,1,,
4,Attack Up (L),Attack Up (L),mhxx-save-format-community,2,B,generated,1,,8/15/3/5
5,Defense Up (S),Defense Up (S),mhxx-save-format-community,0,,innate,1,,
6,Defense Up (L),Defense Up (L),mhxx-save-format-community,2,B,generated,1,,6/3/15/5
7,Omniresistance,Omniresistance,mhxx-save-format-community,3,A,generated,1,,15/5/25/5
8,Critical Up (S),Critical Up (S),mhxx-save-format-community,1,C,generated,1,,7/20/2/4
9,Critical Up (L),Critical Up (L),mhxx-save-format-community,2,B,generated,1,,8/15/3/5
10,Handicraft,Handicraft,mhxx-save-format-community,0,,innate,1,,
11,Bombay Boost,Bombay Boost,mhxx-save-format-community,0,,innate,1,,
12,Element Attack Up,Element Attack Up,mhxx-save-format-community,3,A,generated,1,,15/25/5/5
13,Status Attack Up,Status Attack Up,mhxx-save-format-community,3,A,generated,1,,10/25/5/10
14,Knockout King,Knockout King,mhxx-save-format-community,2,B,generated,1,,8/3/3/15
15,Stamina Drain,Stamina Drain,mhxx-save-format-community,1,C,generated,1,,5/15/2/10
16,Guard (S),Guard (S),mhxx-save-format-community,0,,innate,1,,
17,Guard (L),Guard (L),mhxx-save-format-community,2,B,generated,1,,8/3/5/15
18,Guard Boost,Guard Boost,mhxx-save-format-community,0,,innate,1,,
19,Support Priority,Support Priority,mhxx-save-format-community,3,A,generated,1,,15/5/15/35
20,Support Boost,Support Boost,mhxx-save-format-community,2,B,generated,1,,8/3/5/10
21,Support Move +1,Support Move +1,mhxx-save-format-community,3,A,generated,1,,15/10/15/25
22,Pilfer Boost,Pilfer Boost,mhxx-save-format-community,0,,innate,1,,
23,Revival Pro,Revival Pro,mhxx-save-format-community,3,A,generated,1,,15/5/30/15
24,Heat/Bomb Res,Heat/Bomb Res,mhxx-save-format-community,0,,innate,1,,
