id,name,english,source,rarity
0,None,None,mhxx-save-format-community,0
1,F Bone Wedge,F Bone Wedge,mhxx-dex-1.0,1
2,F Bherna Staff,F Bherna Staff,mhxx-dex-1.0,1
3,F Iron Sword,F Iron Sword,mhxx-dex-1.0,1
4,F Bone Hammer,F Bone Hammer,mhxx-dex-1.0,1
5,F Jaggi Knife,F Jaggi Knife,mhxx-dex-1.0,1
6,F Hunting Knife,F Hunting Knife,mhxx-dex-1.0,2
7,F Yukumo Bokken,F Yukumo Bokken,mhxx-dex-1.0,2
8,F Wood Chopper,F Wood Chopper,mhxx-dex-1.0,2
9,F Paw Punch,F Paw Punch,mhxx-dex-1.0,2
10,F Alta Net,F Alta Net,mhxx-dex-1.0,2
11,F Rheno Hammer,F Rheno Hammer,mhxx-dex-1.0,2
12,F Bnaha Dagger,F Bnaha Dagger,mhxx-dex-1.0,2
13,F Maccao Dagger,F Maccao Dagger,mhxx-dex-1.0,2
14,F Vprey Bayonet,F Vprey Bayonet,mhxx-dex-1.0,2
15,F Bulldrome Tusk,F Bulldrome Tusk,mhxx-dex-1.0,2
16,F Arzuros Mace,F Arzuros Mace,mhxx-dex-1.0,2
17,F Genprey Bayonet,F Genprey Bayonet,mhxx-dex-1.0,2
18,F Cephalos Brush,F Cephalos Brush,mhxx-dex-1.0,2
19,F Machalite Wedge,F Machalite Wedge,mhxx-dex-1.0,2
20,F Giant Acorn,F Giant Acorn,mhxx-dex-1.0,2
21,F Stone Cat Statue,F Stone Cat Statue,mhxx-dex-1.0,2
22,F Venombee Bat,F Venombee Bat,mhxx-dex-1.0,2
23,F Gourmet Cheese,F Gourmet Cheese,mhxx-dex-1.0,2
24,F Moofah Cotton,F Moofah Cotton,mhxx-dex-1.0,2
25,F Aptonoth Meat,F Aptonoth Meat,mhxx-dex-1.0,2
26,F Fish Stick,F Fish Stick,mhxx-dex-1.0,2
27,F Grilled Hammer,F Grilled Hammer,mhxx-dex-1.0,2
28,F Ioprey Bayonet,F Ioprey Bayonet,mhxx-dex-1.0,2
29,F Lagombi Staff,F Lagombi Staff,mhxx-dex-1.0,2
30,F Kut-Ku Cutter,F Kut-Ku Cutter,mhxx-dex-1.0,2
31,F Gypceros Glare,F Gypceros Glare,mhxx-dex-1.0,2
32,F Cabra Pounder,F Cabra Pounder,mhxx-dex-1.0,2
33,F Daimyo Shears,F Daimyo Shears,mhxx-dex-1.0,2
34,F Ludroth Paw,F Ludroth Paw,mhxx-dex-1.0,2
35,F Khezu Whaccine,F Khezu Whaccine,mhxx-dex-1.0,2
36,F Nibel Blammer,F Nibel Blammer,mhxx-dex-1.0,2
37,F Quest Book,F Quest Book,mhxx-dex-1.0,2
38,F Vprey Wedge,F Vprey Wedge,mhxx-dex-1.0,2
39,F Barrel Basher,F Barrel Basher,mhxx-dex-1.0,2
40,F Derring Lance,F Derring Lance,mhxx-dex-1.0,2
41,F Edel Rod,F Edel Rod,mhxx-dex-1.0,2
42,F Mosgharl Broom,F Mosgharl Broom,mhxx-dex-1.0,2
43,F Bushwhacker,F Bushwhacker,mhxx-dex-1.0,2
44,F Death Stench Scythe,F Death Stench Scythe,mhxx-dex-1.0,2
45,F Marauder Blade,F Marauder Blade,mhxx-dex-1.0,2
46,F Marauder Gavel,F Marauder Gavel,mhxx-dex-1.0,2
47,F Volvi Lantern,F Volvi Lantern,mhxx-dex-1.0,2
48,F Jester Parasol,F Jester Parasol,mhxx-dex-1.0,2
49,F Rathian Rapier,F Rathian Rapier,mhxx-dex-1.0,2
50,F Blango Spear,F Blango Spear,mhxx-dex-1.0,2
51,F Ceanataur Cutter,F Ceanataur Cutter,mhxx-dex-1.0,2
52,F Naja Pungi,F Naja Pungi,mhxx-dex-1.0,2
53,F Narga Shuriken,F Narga Shuriken,mhxx-dex-1.0,2
54,F Kokoto Beer,F Kokoto Beer,mhxx-dex-1.0,3
55,F Pokke Mop,F Pokke Mop,mhxx-dex-1.0,3
56,F Yukumo Fan,F Yukumo Fan,mhxx-dex-1.0,3
57,F Shroom Rod,F Shroom Rod,mhxx-dex-1.0,3
58,F Eldora Paw,F Eldora Paw,mhxx-dex-1.0,3
59,F Garuga Fan,F Garuga Fan,mhxx-dex-1.0,3
60,F Uragaan Iron,F Uragaan Iron,mhxx-dex-1.0,3
61,F Rathalos Blade,F Rathalos Blade,mhxx-dex-1.0,3
62,F Lagia Anchor,F Lagia Anchor,mhxx-dex-1.0,3
63,F Astalos Spear,F Astalos Spear,mhxx-dex-1.0,3
64,F Enormews Staff,F Enormews Staff,mhxx-dex-1.0,3
65,F Mizutsune Parasol,F Mizutsune Parasol,mhxx-dex-1.0,3
66,F Guild Rapier,F Guild Rapier,mhxx-dex-1.0,3
67,F Moofy Plush,F Moofy Plush,mhxx-dex-1.0,3
68,F Scorching Blade,F Scorching Blade,mhxx-dex-1.0,3
69,F Mewsurper's Peal,F Mewsurper's Peal,mhxx-dex-1.0,3
70,F Katzenlampe,F Katzenlampe,mhxx-dex-1.0,3
71,F Seregios Edge,F Seregios Edge,mhxx-dex-1.0,3
72,F Tigrex Whammer,F Tigrex Whammer,mhxx-dex-1.0,3
73,F Kirin Rumblezap,F Kirin Rumblezap,mhxx-dex-1.0,3
74,F Brachy Punch,F Brachy Punch,mhxx-dex-1.0,3
75,F Le Cœur de Chat,F Le Cœur de Chat,mhxx-dex-1.0,3
76,F Kushala Wand,F Kushala Wand,mhxx-dex-1.0,3
77,F Genie Breath,F Genie Breath,mhxx-dex-1.0,3
78,F Kaiser Mace,F Kaiser Mace,mhxx-dex-1.0,3
79,F White Felyne Husk,F White Felyne Husk,mhxx-dex-1.0,3
80,F Bone Wedge S,F Bone Wedge S,mhxx-dex-1.0,4
81,F Bherna Staff S,F Bherna Staff S,mhxx-dex-1.0,4
82,F Hunting Knife S,F Hunting Knife S,mhxx-dex-1.0,4
83,F Yukumo Bonito,F Yukumo Bonito,mhxx-dex-1.0,4
84,F Carbalite Wedge,F Carbalite Wedge,mhxx-dex-1.0,4
85,F Giant Acorn S,F Giant Acorn S,mhxx-dex-1.0,4
86,F Vprey Wedge S,F Vprey Wedge S,mhxx-dex-1.0,4
87,F Barrel Basher S,F Barrel Basher S,mhxx-dex-1.0,4
88,F Gourmet Cheese S,F Gourmet Cheese S,mhxx-dex-1.0,4
89,F Moofah Cotton S,F Moofah Cotton S,mhxx-dex-1.0,4
90,F Barbecue,F Barbecue,mhxx-dex-1.0,4
91,F Fish Stick S,F Fish Stick S,mhxx-dex-1.0,4
92,F Fingerlicker,F Fingerlicker,mhxx-dex-1.0,4
93,F Bushwhacker S,F Bushwhacker S,mhxx-dex-1.0,4
94,F Paw Punch S,F Paw Punch S,mhxx-dex-1.0,4
95,F Carbalite Sword,F Carbalite Sword,mhxx-dex-1.0,4
96,F Bone Hammer S,F Bone Hammer S,mhxx-dex-1.0,4
97,F Alta Net S,F Alta Net S,mhxx-dex-1.0,4
98,F Bnaha Dagger S,F Bnaha Dagger S,mhxx-dex-1.0,4
99,F Jaggi Knife S,F Jaggi Knife S,mhxx-dex-1.0,4
100,F Rheno Hammer S,F Rheno Hammer S,mhxx-dex-1.0,4
101,F Slagtoth Leaf,F Slagtoth Leaf,mhxx-dex-1.0,4
102,F Maccao Dagger S,F Maccao Dagger S,mhxx-dex-1.0,4
103,F Vprey Bayonet S,F Vprey Bayonet S,mhxx-dex-1.0,4
104,F Bulldrome Tusk S,F Bulldrome Tusk S,mhxx-dex-1.0,4
105,F Arzuros Mace S,F Arzuros Mace S,mhxx-dex-1.0,4
106,F Giaprey Bayonet,F Giaprey Bayonet,mhxx-dex-1.0,4
107,F Genprey Bayonet S,F Genprey Bayonet S,mhxx-dex-1.0,4
108,F Lagombi Staff S,F Lagombi Staff S,mhxx-dex-1.0,4
109,F Cephalos Brush S,F Cephalos Brush S,mhxx-dex-1.0,4
110,F Kut-Ku Cutter S,F Kut-Ku Cutter S,mhxx-dex-1.0,4
111,F Gypceros Glare S,F Gypceros Glare S,mhxx-dex-1.0,4
112,F Cabra Pounder S,F Cabra Pounder S,mhxx-dex-1.0,4
113,F Daimyo Shears S,F Daimyo Shears S,mhxx-dex-1.0,4
114,F Ludroth Paw S,F Ludroth Paw S,mhxx-dex-1.0,4
115,F Conga Cymbals,F Conga Cymbals,mhxx-dex-1.0,4
116,F Kecha Harrow,F Kecha Harrow,mhxx-dex-1.0,4
117,F Barroth Mace,F Barroth Mace,mhxx-dex-1.0,4
118,F Bell Rod,F Bell Rod,mhxx-dex-1.0,5
119,F Gargouille Waltz,F Gargouille Waltz,mhxx-dex-1.0,5
120,F Venombee Bat S,F Venombee Bat S,mhxx-dex-1.0,5
121,F Mosgharl Broom S,F Mosgharl Broom S,mhxx-dex-1.0,5
122,F Meowtetsuken,F Meowtetsuken,mhxx-dex-1.0,5
123,F Pounderpurr,F Pounderpurr,mhxx-dex-1.0,5
124,F Second Sight Lens,F Second Sight Lens,mhxx-dex-1.0,5
125,F Ioprey Bayonet S,F Ioprey Bayonet S,mhxx-dex-1.0,5
126,F Volvi Lantern S,F Volvi Lantern S,mhxx-dex-1.0,5
127,F Basarios Axe,F Basarios Axe,mhxx-dex-1.0,5
128,F Khezu Whaccine S,F Khezu Whaccine S,mhxx-dex-1.0,5
129,F Nibel Blammer S,F Nibel Blammer S,mhxx-dex-1.0,5
130,F Slumbering Duke,F Slumbering Duke,mhxx-dex-1.0,5
131,F Queen Rapier,F Queen Rapier,mhxx-dex-1.0,5
132,F Blango Spear S,F Blango Spear S,mhxx-dex-1.0,5
133,F Ceanataur Cutter S,F Ceanataur Cutter S,mhxx-dex-1.0,5
134,F Nerscylla Wedge,F Nerscylla Wedge,mhxx-dex-1.0,5
135,F Naja Pungi S,F Naja Pungi S,mhxx-dex-1.0,5
136,F Narga Shuriken S,F Narga Shuriken S,mhxx-dex-1.0,5
137,F Garuga Fan S,F Garuga Fan S,mhxx-dex-1.0,5
138,F Uragaan Iron S,F Uragaan Iron S,mhxx-dex-1.0,5
139,F Zamtrios Paw,F Zamtrios Paw,mhxx-dex-1.0,5
140,F Plesioth Board,F Plesioth Board,mhxx-dex-1.0,5
141,F Lava Mace,F Lava Mace,mhxx-dex-1.0,5
142,F Edel Rod S,F Edel Rod S,mhxx-dex-1.0,6
143,F Lulling Moofy Plush,F Lulling Moofy Plush,mhxx-dex-1.0,6
144,F Wood Chopper S,F Wood Chopper S,mhxx-dex-1.0,6
145,F Kut-Ku Cackle,F Kut-Ku Cackle,mhxx-dex-1.0,6
146,F Bulldrome Rrrush,F Bulldrome Rrrush,mhxx-dex-1.0,6
147,F Mighty Shroom Rod,F Mighty Shroom Rod,mhxx-dex-1.0,6
148,F D. Stench Scythe S,F D. Stench Scythe S,mhxx-dex-1.0,6
