id,name,english,source
0,None,None,mhxx-romfs-game-array
1,Poison,Poison,mhxx-romfs-game-array+mhxx-dex-1.0
2,Paralysis,Paralysis,mhxx-romfs-game-array+mhxx-dex-1.0
3,Sleep,Sleep,mhxx-romfs-game-array+mhxx-dex-1.0
4,Stun,Stun,mhxx-romfs-game-array+mhxx-dex-1.0
5,Hearing,Hearing,mhxx-romfs-game-array+mhxx-dex-1.0
6,Wind Res,Wind Res,mhxx-romfs-game-array+mhxx-dex-1.0
7,Tremor Res,Tremor Res,mhxx-romfs-game-array+mhxx-dex-1.0
8,Bind Res,Bind Res,mhxx-romfs-game-array+mhxx-dex-1.0
9,Heat Res,Heat Res,mhxx-romfs-game-array+mhxx-dex-1.0
10,Cold Res,Cold Res,mhxx-romfs-game-array+mhxx-dex-1.0
11,ColdBlooded,ColdBlooded,mhxx-romfs-game-array+mhxx-dex-1.0
12,HotBlooded,HotBlooded,mhxx-romfs-game-array+mhxx-dex-1.0
13,Anti-Theft,Anti-Theft,mhxx-romfs-game-array+mhxx-dex-1.0
14,Def Lock,Def Lock,mhxx-romfs-game-array+mhxx-dex-1.0
15,Frenzy Res,Frenzy Res,mhxx-romfs-game-array+mhxx-dex-1.0
16,Biology,Biology,mhxx-romfs-game-array+mhxx-dex-1.0
17,Bleeding,Bleeding,mhxx-romfs-game-array+mhxx-dex-1.0
18,Attack,Attack,mhxx-romfs-game-array+mhxx-dex-1.0
19,Defense,Defense,mhxx-romfs-game-array+mhxx-dex-1.0
20,Health,Health,mhxx-romfs-game-array+mhxx-dex-1.0
21,Fire Res,Fire Res,mhxx-romfs-game-array+mhxx-dex-1.0
22,Water Res,Water Res,mhxx-romfs-game-array+mhxx-dex-1.0
23,Thunder Res,Thunder Res,mhxx-romfs-game-array+mhxx-dex-1.0
24,Ice Res,Ice Res,mhxx-romfs-game-array+mhxx-dex-1.0
25,Dragon Res,Dragon Res,mhxx-romfs-game-array+mhxx-dex-1.0
26,Blight Res,Blight Res,mhxx-romfs-game-array+mhxx-dex-1.0
27,Fire Atk,Fire Atk,mhxx-romfs-game-array+mhxx-dex-1.0
28,Water Atk,Water Atk,mhxx-romfs-game-array+mhxx-dex-1.0
29,Thunder Atk,Thunder Atk,mhxx-romfs-game-array+mhxx-dex-1.0
30,Ice Atk,Ice Atk,mhxx-romfs-game-array+mhxx-dex-1.0
31,Dragon Atk,Dragon Atk,mhxx-romfs-game-array+mhxx-dex-1.0
32,Elemental,Elemental,mhxx-romfs-game-array+mhxx-dex-1.0
33,Status,Status,mhxx-romfs-game-array+mhxx-dex-1.0
