id,name,english,source,rarity
0,(None),(None),mhxx-save-format-community,0
1,Pawn Talisman,Pawn Talisman,mhxx-save-format-community,0
2,Bishop Talisman,Bishop Talisman,mhxx-save-format-community,0
3,Knight Talisman,Knight Talisman,mhxx-save-format-community,0
4,Rook Talisman,Rook Talisman,mhxx-save-format-community,0
5,Queen Talisman,Queen Talisman,mhxx-save-format-community,0
6,King Talisman,King Talisman,mhxx-save-format-community,0
7,Dragon Talisman,Dragon Talisman,mhxx-save-format-community,0
8,Hero Talisman,Hero Talisman,mhxx-save-format-community,0
9,Legend Talisman,Legend Talisman,mhxx-save-format-community,0
10,Creator Talisman,Creator Talisman,mhxx-save-format-community,0
