id,name,english,source,rarity,max_level
0,None,None,mhxx-romfs-game-array,0,0
1,Petrified Strongarm,Petrified Strongarm,mhxx-romfs-game-array+mhxx-dex-1.0+mhxx-save-format-community,1,11
2,Obsidian Strongarm,Obsidian Strongarm,mhxx-romfs-game-array+mhxx-dex-1.0+mhxx-save-format-community,3,8
3,Lava's Veil,Lava's Veil,mhxx-romfs-game-array+mhxx-dex-1.0+mhxx-save-format-community,5,5
4,Dios Strongarm,Dios Strongarm,mhxx-romfs-game-array+mhxx-dex-1.0+mhxx-save-format-community,3,7
5,Demolition Blade,Demolition Blade,mhxx-romfs-game-array+mhxx-dex-1.0+mhxx-save-format-community,6,6
6,Type 31 Wyvernslayer,Type 31 Wyvernslayer,mhxx-romfs-game-array+mhxx-dex-1.0+mhxx-save-format-community,2,8
7,Poison Blade,Poison Blade,mhxx-romfs-game-array+mhxx-dex-1.0+mhxx-save-format-community,2,9
8,Elite Blade,Elite Blade,mhxx-romfs-game-array+mhxx-dex-1.0+mhxx-save-format-community,1,11
9,Guardsqual,Guardsqual,mhxx-romfs-game-array+mhxx-dex-1.0+mhxx-save-format-community,4,6
10,Serrated Glace,Serrated Glace,mhxx-romfs-game-array+mhxx-dex-1.0+mhxx-save-format-community,5,5
11,Blackguard,Blackguard,mhxx-romfs-game-array+mhxx-dex-1.0+mhxx-save-format-community,2,8
12,Sentinel Blade,Sentinel Blade,mhxx-romfs-game-array+mhxx-dex-1.0+mhxx-save-format-community,4,6
13,K. Captain's Blade,K. Captain's Blade,mhxx-romfs-game-array+mhxx-dex-1.0+mhxx-save-format-community,5,5
14,Tigrex Divide,Tigrex Divide,mhxx-romfs-game-array+mhxx-dex-1.0+mhxx-save-format-community,3,7
15,Dear Lutemis,Dear Lutemis,mhxx-romfs-game-array+mhxx-dex-1.0+mhxx-save-format-community,3,8
16,Luna Eostre,Luna Eostre,mhxx-romfs-game-array+mhxx-dex-1.0+mhxx-save-format-community,7,5
17,Rogue Axe,Rogue Axe,mhxx-romfs-game-array+mhxx-dex-1.0+mhxx-save-format-community,1,10
18,Horror Zofar,Horror Zofar,mhxx-romfs-game-array+mhxx-dex-1.0+mhxx-save-format-community,2,9
19,Snowy Veil,Snowy Veil,mhxx-romfs-game-array+mhxx-dex-1.0+mhxx-save-format-community,1,8
20,Bone Blade,Bone Blade,mhxx-romfs-game-array+mhxx-dex-1.0+mhxx-save-format-community,1,11
21,Poisonous Veil,Poisonous Veil,mhxx-romfs-game-array+mhxx-dex-1.0+mhxx-save-format-community,3,7
