id,name,english,source,rarity,max_level
0,None,None,mhxx-romfs-game-array,0,0
1,Petrified Daggers,Petrified Daggers,mhxx-romfs-game-array+mhxx-dex-1.0+mhxx-save-format-community,1,11
2,Obsidian Daggers,Obsidian Daggers,mhxx-romfs-game-array+mhxx-dex-1.0+mhxx-save-format-community,3,8
3,Gelid Mind,Gelid Mind,mhxx-romfs-game-array+mhxx-dex-1.0+mhxx-save-format-community,4,5
4,Twin Chainsaws,Twin Chainsaws,mhxx-romfs-game-array+mhxx-dex-1.0+mhxx-save-format-community,2,7
5,Roving Saws,Roving Saws,mhxx-romfs-game-array+mhxx-dex-1.0+mhxx-save-format-community,5,5
6,Type 51 Macerators,Type 51 Macerators,mhxx-romfs-game-array+mhxx-dex-1.0+mhxx-save-format-community,2,8
7,Insecticutters,Insecticutters,mhxx-romfs-game-array+mhxx-dex-1.0+mhxx-save-format-community,1,8
8,Insectiscythes,Insectiscythes,mhxx-romfs-game-array+mhxx-dex-1.0+mhxx-save-format-community,5,5
9,Twin Daggers,Twin Daggers,mhxx-romfs-game-array+mhxx-dex-1.0+mhxx-save-format-community,1,11
10,Hurricane,Hurricane,mhxx-romfs-game-array+mhxx-dex-1.0+mhxx-save-format-community,2,8
11,Cleaving Jaws,Cleaving Jaws,mhxx-romfs-game-array+mhxx-dex-1.0+mhxx-save-format-community,4,6
12,Cool Cleavers,Cool Cleavers,mhxx-romfs-game-array+mhxx-dex-1.0+mhxx-save-format-community,5,5
13,Dios Slicers,Dios Slicers,mhxx-romfs-game-array+mhxx-dex-1.0+mhxx-save-format-community,3,7
14,Demolition Blades,Demolition Blades,mhxx-romfs-game-array+mhxx-dex-1.0+mhxx-save-format-community,6,6
15,Zakun Twins,Zakun Twins,mhxx-romfs-game-array+mhxx-dex-1.0+mhxx-save-format-community,3,7
16,Seditious Talons,Seditious Talons,mhxx-romfs-game-array+mhxx-dex-1.0+mhxx-save-format-community,6,6
17,Dual Hatchets,Dual Hatchets,mhxx-romfs-game-array+mhxx-dex-1.0+mhxx-save-format-community,3,7
18,Tornado Hatchets,Tornado Hatchets,mhxx-romfs-game-array+mhxx-dex-1.0+mhxx-save-format-community,4,5
19,Rex Slicers,Rex Slicers,mhxx-romfs-game-array+mhxx-dex-1.0+mhxx-save-format-community,3,7
20,Usurper's Fulgur,Usurper's Fulgur,mhxx-romfs-game-array+mhxx-dex-1.0+mhxx-save-format-community,3,7
21,Sworn Rapiers,Sworn Rapiers,mhxx-romfs-game-array+mhxx-dex-1.0+mhxx-save-format-community,3,7
22,Dual Piercers,Dual Piercers,mhxx-romfs-game-array+mhxx-dex-1.0+mhxx-save-format-community,1,9
23,Flamestorm,Flamestorm,mhxx-romfs-game-array+mhxx-dex-1.0+mhxx-save-format-community,6,5
24,Rouge Flames,Rouge Flames,mhxx-romfs-game-array+mhxx-dex-1.0+mhxx-save-format-community,3,6
25,Khezu Daggers,Khezu Daggers,mhxx-romfs-game-array+mhxx-dex-1.0+mhxx-save-format-community,2,8
26,Bone Scythes,Bone Scythes,mhxx-romfs-game-array+mhxx-dex-1.0+mhxx-save-format-community,1,11
27,Twin Flames,Twin Flames,mhxx-romfs-game-array+mhxx-dex-1.0+mhxx-save-format-community,3,8
28,Wyvern Strife,Wyvern Strife,mhxx-romfs-game-array+mhxx-dex-1.0+mhxx-save-format-community,7,5
29,Talon Carvers,Talon Carvers,mhxx-romfs-game-array+mhxx-dex-1.0+mhxx-save-format-community,2,9
30,Plesioth Cutlasses,Plesioth Cutlasses,mhxx-romfs-game-array+mhxx-dex-1.0+mhxx-save-format-community,4,6
31,Firestorm,Firestorm,mhxx-romfs-game-array+mhxx-dex-1.0+mhxx-save-format-community,5,6
32,Bladed Edges,Bladed Edges,mhxx-romfs-game-array+mhxx-dex-1.0+mhxx-save-format-community,2,7
33,Bladed Pincers,Bladed Pincers,mhxx-romfs-game-array+mhxx-dex-1.0+mhxx-save-format-community,5,5
34,Hidden Gemini,Hidden Gemini,mhxx-romfs-game-array+mhxx-dex-1.0+mhxx-save-format-community,2,8
35,Crab Horns,Crab Horns,mhxx-romfs-game-array+mhxx-dex-1.0+mhxx-save-format-community,2,8
36,Monarch,Monarch,mhxx-romfs-game-array+mhxx-dex-1.0+mhxx-save-format-community,3,8
37,Cerulean Axes,Cerulean Axes,mhxx-romfs-game-array+mhxx-dex-1.0+mhxx-save-format-community,1,8
38,Blazeblades,Blazeblades,mhxx-romfs-game-array+mhxx-dex-1.0+mhxx-save-format-community,3,8
39,Ludroth Pair,Ludroth Pair,mhxx-romfs-game-array+mhxx-dex-1.0+mhxx-save-format-community,2,8
