id,name,english,source,rarity,max_level
0,None,None,mhxx-save-format-community,0,0
1,Petrified Blade,Petrified Blade,mhxx-dex-1.0+mhxx-save-format-community,1,11
2,Obsidian Blade,Obsidian Blade,mhxx-dex-1.0+mhxx-save-format-community,3,8
3,Halberd,Halberd,mhxx-dex-1.0+mhxx-save-format-community,3,8
4,Decider,Decider,mhxx-dex-1.0+mhxx-save-format-community,5,6
5,Igneous Blade,Igneous Blade,mhxx-dex-1.0+mhxx-save-format-community,5,5
6,Type 41 Wyvernator,Type 41 Wyvernator,mhxx-dex-1.0+mhxx-save-format-community,2,8
7,Khezu Shock Sword,Khezu Shock Sword,mhxx-dex-1.0+mhxx-save-format-community,2,7
8,Defender,Defender,mhxx-dex-1.0+mhxx-save-format-community,2,9
9,Usurper's Storm,Usurper's Storm,mhxx-dex-1.0+mhxx-save-format-community,3,7
10,Barbaroi Blade,Barbaroi Blade,mhxx-dex-1.0+mhxx-save-format-community,2,8
11,Iron Sword,Iron Sword,mhxx-dex-1.0+mhxx-save-format-community,1,11
12,Lagiacrus Blade,Lagiacrus Blade,mhxx-dex-1.0+mhxx-save-format-community,3,7
13,Lagia Lightning,Lagia Lightning,mhxx-dex-1.0+mhxx-save-format-community,6,6
14,Plesioth Watercutter,Plesioth Watercutter,mhxx-dex-1.0+mhxx-save-format-community,4,7
15,Plesioth Wave Sword,Plesioth Wave Sword,mhxx-dex-1.0+mhxx-save-format-community,6,5
16,Ravager Blade,Ravager Blade,mhxx-dex-1.0+mhxx-save-format-community,3,8
17,Lacerator Blade,Lacerator Blade,mhxx-dex-1.0+mhxx-save-format-community,4,5
18,Tactical Blade,Tactical Blade,mhxx-dex-1.0+mhxx-save-format-community,3,7
19,Hidden Blade,Hidden Blade,mhxx-dex-1.0+mhxx-save-format-community,2,8
20,Buster Sword,Buster Sword,mhxx-dex-1.0+mhxx-save-format-community,2,9
21,Chrome Razor,Chrome Razor,mhxx-dex-1.0+mhxx-save-format-community,4,7
22,Brazenwall,Brazenwall,mhxx-dex-1.0+mhxx-save-format-community,3,8
23,Skraga,Skraga,mhxx-dex-1.0+mhxx-save-format-community,2,8
24,Santoku Reaver,Santoku Reaver,mhxx-dex-1.0+mhxx-save-format-community,2,8
25,Toad Bereaver,Toad Bereaver,mhxx-dex-1.0+mhxx-save-format-community,5,6
26,Bone Cleaver,Bone Cleaver,mhxx-dex-1.0+mhxx-save-format-community,1,11
27,Red Wing,Red Wing,mhxx-dex-1.0+mhxx-save-format-community,3,8
28,Rathalos Gleamsword,Rathalos Gleamsword,mhxx-dex-1.0+mhxx-save-format-community,7,5
29,Cheda Blade,Cheda Blade,mhxx-dex-1.0+mhxx-save-format-community,3,7
30,Seditious Cleaver,Seditious Cleaver,mhxx-dex-1.0+mhxx-save-format-community,6,6
31,Jawblade,Jawblade,mhxx-dex-1.0+mhxx-save-format-community,2,9
32,Wyvern Jawblade,Wyvern Jawblade,mhxx-dex-1.0+mhxx-save-format-community,5,6
33,Thrash Sword,Thrash Sword,mhxx-dex-1.0+mhxx-save-format-community,4,6
34,Thrash Blade,Thrash Blade,mhxx-dex-1.0+mhxx-save-format-community,5,6
35,Golem Blade,Golem Blade,mhxx-dex-1.0+mhxx-save-format-community,3,8
36,Valkyrie Blade,Valkyrie Blade,mhxx-dex-1.0+mhxx-save-format-community,3,8
37,Spartacus Blade,Spartacus Blade,mhxx-dex-1.0+mhxx-save-format-community,6,6
38,Tiger Jawblade,Tiger Jawblade,mhxx-dex-1.0+mhxx-save-format-community,3,7
39,Dios Blade,Dios Blade,mhxx-dex-1.0+mhxx-save-format-community,3,7
40,Demolition Sword,Demolition Sword,mhxx-dex-1.0+mhxx-save-format-community,6,6
41,Executioner,Executioner,mhxx-dex-1.0+mhxx-save-format-community,4,7
42,Ludroth Bone Sword,Ludroth Bone Sword,mhxx-dex-1.0+mhxx-save-format-community,1,7
43,Cataclysm Sword,Cataclysm Sword,mhxx-dex-1.0+mhxx-save-format-community,2,8
44,Snowclad,Snowclad,mhxx-dex-1.0+mhxx-save-format-community,2,9
45,Red Stripe,Red Stripe,mhxx-dex-1.0+mhxx-save-format-community,1,8
46,Red Pincer,Red Pincer,mhxx-dex-1.0+mhxx-save-format-community,2,8
47,Ceanataur Blade,Ceanataur Blade,mhxx-dex-1.0+mhxx-save-format-community,2,8
48,Azure Serpentblade,Azure Serpentblade,mhxx-dex-1.0+mhxx-save-format-community,1,9
49,Saffron Fangblade,Saffron Fangblade,mhxx-dex-1.0+mhxx-save-format-community,1,9
50,Fanged Serpentblade,Fanged Serpentblade,mhxx-dex-1.0+mhxx-save-format-community,1,9
51,Deadly Serpentblade,Deadly Serpentblade,mhxx-dex-1.0+mhxx-save-format-community,2,8
52,White Serpentblade,White Serpentblade,mhxx-dex-1.0+mhxx-save-format-community,1,8
53,Chicken Decapitator,Chicken Decapitator,mhxx-dex-1.0+mhxx-save-format-community,2,9
54,Sentoryu Raven,Sentoryu Raven,mhxx-dex-1.0+mhxx-save-format-community,3,7
55,Sentoryu Bane,Sentoryu Bane,mhxx-dex-1.0+mhxx-save-format-community,6,5
