id,name,english,source,rarity,max_level
0,None,None,mhxx-save-format-community,0,0
1,Petrified Cannon,Petrified Cannon,mhxx-dex-1.0+mhxx-save-format-community,1,11
2,Queen's Longfire,Queen's Longfire,mhxx-dex-1.0+mhxx-save-format-community,5,6
3,Obsidian Cannon,Obsidian Cannon,mhxx-dex-1.0+mhxx-save-format-community,3,6
4,Griffin's Charge,Griffin's Charge,mhxx-dex-1.0+mhxx-save-format-community,5,5
5,Crab Buster,Crab Buster,mhxx-dex-1.0+mhxx-save-format-community,2,8
6,Piercing Crab,Piercing Crab,mhxx-dex-1.0+mhxx-save-format-community,4,6
7,Spheniscine Slayer,Spheniscine Slayer,mhxx-dex-1.0+mhxx-save-format-community,2,7
8,Hidden Gambit,Hidden Gambit,mhxx-dex-1.0+mhxx-save-format-community,2,8
9,Anteka Burst,Anteka Burst,mhxx-dex-1.0+mhxx-save-format-community,1,7
10,Rapidcaster,Rapidcaster,mhxx-dex-1.0+mhxx-save-format-community,4,5
11,Carom Shot,Carom Shot,mhxx-dex-1.0+mhxx-save-format-community,2,6
12,Agnaboom,Agnaboom,mhxx-dex-1.0+mhxx-save-format-community,5,5
13,Sand Diver,Sand Diver,mhxx-dex-1.0+mhxx-save-format-community,1,8
14,Pressurized Plaser,Pressurized Plaser,mhxx-dex-1.0+mhxx-save-format-community,4,6
15,Arbalest,Arbalest,mhxx-dex-1.0+mhxx-save-format-community,1,11
16,Tigrex Howl,Tigrex Howl,mhxx-dex-1.0+mhxx-save-format-community,3,6
17,Yian Kut-Ku Cannon,Yian Kut-Ku Cannon,mhxx-dex-1.0+mhxx-save-format-community,2,7
18,Raven Heirloom,Raven Heirloom,mhxx-dex-1.0+mhxx-save-format-community,3,7
19,Binary Blaster,Binary Blaster,mhxx-dex-1.0+mhxx-save-format-community,2,7
20,Tankmage,Tankmage,mhxx-dex-1.0+mhxx-save-format-community,2,7
21,Icethrower,Icethrower,mhxx-dex-1.0+mhxx-save-format-community,2,7
22,Quickcaster,Quickcaster,mhxx-dex-1.0+mhxx-save-format-community,5,5
23,Injector Cannon,Injector Cannon,mhxx-dex-1.0+mhxx-save-format-community,1,8
24,Flechette Gun,Flechette Gun,mhxx-dex-1.0+mhxx-save-format-community,4,6
25,Meteor Bazooka,Meteor Bazooka,mhxx-dex-1.0+mhxx-save-format-community,2,7
26,Meteor Buster,Meteor Buster,mhxx-dex-1.0+mhxx-save-format-community,4,6
27,Striker's Bowgun,Striker's Bowgun,mhxx-dex-1.0+mhxx-save-format-community,4,5
28,Bite Blaster,Bite Blaster,mhxx-dex-1.0+mhxx-save-format-community,2,6
29,Sayyad Cannon,Sayyad Cannon,mhxx-dex-1.0+mhxx-save-format-community,3,6
30,Seditious Cannon,Seditious Cannon,mhxx-dex-1.0+mhxx-save-format-community,6,6
31,Bone Shooter,Bone Shooter,mhxx-dex-1.0+mhxx-save-format-community,1,11
32,Dios Cannon,Dios Cannon,mhxx-dex-1.0+mhxx-save-format-community,3,5
33,Demolition Cannon,Demolition Cannon,mhxx-dex-1.0+mhxx-save-format-community,6,6
34,Type 46 Gunflage,Type 46 Gunflage,mhxx-dex-1.0+mhxx-save-format-community,2,7
35,Lagia Blitz,Lagia Blitz,mhxx-dex-1.0+mhxx-save-format-community,3,7
36,Usurper's Tremor,Usurper's Tremor,mhxx-dex-1.0+mhxx-save-format-community,3,6
37,Marino Burst,Marino Burst,mhxx-dex-1.0+mhxx-save-format-community,1,7
38,Arzuros Gun,Arzuros Gun,mhxx-dex-1.0+mhxx-save-format-community,4,5
39,Straw Drumcannon,Straw Drumcannon,mhxx-dex-1.0+mhxx-save-format-community,4,5
