id,name,english,source,rarity,max_level
0,None,None,mhxx-save-format-community,0,0
1,Petrified Lance,Petrified Lance,mhxx-dex-1.0+mhxx-save-format-community,1,11
2,Obsidian Lance,Obsidian Lance,mhxx-dex-1.0+mhxx-save-format-community,3,8
3,Cross Coloris,Cross Coloris,mhxx-dex-1.0+mhxx-save-format-community,2,8
4,Incessant Raven,Incessant Raven,mhxx-dex-1.0+mhxx-save-format-community,3,7
5,Incessant Evil,Incessant Evil,mhxx-dex-1.0+mhxx-save-format-community,6,5
6,Twistcrawl,Twistcrawl,mhxx-dex-1.0+mhxx-save-format-community,2,7
7,Twisting Crawler,Twisting Crawler,mhxx-dex-1.0+mhxx-save-format-community,5,5
8,Boros Spear,Boros Spear,mhxx-dex-1.0+mhxx-save-format-community,6,5
9,Naag Serpentblade,Naag Serpentblade,mhxx-dex-1.0+mhxx-save-format-community,2,8
10,Iron Lance,Iron Lance,mhxx-dex-1.0+mhxx-save-format-community,1,11
11,Squire Spear,Squire Spear,mhxx-dex-1.0+mhxx-save-format-community,4,7
12,Estoc,Estoc,mhxx-dex-1.0+mhxx-save-format-community,2,7
13,Paladin Lance,Paladin Lance,mhxx-dex-1.0+mhxx-save-format-community,3,7
14,Babel Spear,Babel Spear,mhxx-dex-1.0+mhxx-save-format-community,5,6
15,Growling Wyvern,Growling Wyvern,mhxx-dex-1.0+mhxx-save-format-community,4,7
16,Tiger Stinger,Tiger Stinger,mhxx-dex-1.0+mhxx-save-format-community,3,7
17,Lava Cone,Lava Cone,mhxx-dex-1.0+mhxx-save-format-community,5,5
18,Thane Lance,Thane Lance,mhxx-dex-1.0+mhxx-save-format-community,1,10
19,Acrus Lance,Acrus Lance,mhxx-dex-1.0+mhxx-save-format-community,3,7
20,Doris Spear,Doris Spear,mhxx-dex-1.0+mhxx-save-format-community,6,6
21,Steel Knight's Pike,Steel Knight's Pike,mhxx-dex-1.0+mhxx-save-format-community,3,7
22,Dragon Rider Spear,Dragon Rider Spear,mhxx-dex-1.0+mhxx-save-format-community,6,6
23,Drill Lance,Drill Lance,mhxx-dex-1.0+mhxx-save-format-community,2,8
24,Hidden Stinger,Hidden Stinger,mhxx-dex-1.0+mhxx-save-format-community,2,8
25,Spiked Spear,Spiked Spear,mhxx-dex-1.0+mhxx-save-format-community,1,8
