id,name,english,source,rarity,max_level
0,None,None,mhxx-romfs-game-array,0,0
1,Petrified Shooter,Petrified Shooter,mhxx-romfs-game-array+mhxx-dex-1.0+mhxx-save-format-community,1,11
2,Dios Blaster,Dios Blaster,mhxx-romfs-game-array+mhxx-dex-1.0+mhxx-save-format-community,3,6
3,Demolition Gun,Demolition Gun,mhxx-romfs-game-array+mhxx-dex-1.0+mhxx-save-format-community,6,6
4,Obsidian Shooter,Obsidian Shooter,mhxx-romfs-game-array+mhxx-dex-1.0+mhxx-save-format-community,3,6
5,Mythical Three-Horn,Mythical Three-Horn,mhxx-romfs-game-array+mhxx-dex-1.0+mhxx-save-format-community,3,6
6,Blitz Bowgun,Blitz Bowgun,mhxx-romfs-game-array+mhxx-dex-1.0+mhxx-save-format-community,5,6
7,Valkyrie Fire,Valkyrie Fire,mhxx-romfs-game-array+mhxx-dex-1.0+mhxx-save-format-community,3,11
8,Blossomayhem,Blossomayhem,mhxx-romfs-game-array+mhxx-dex-1.0+mhxx-save-format-community,7,5
9,Tail String,Tail String,mhxx-romfs-game-array+mhxx-dex-1.0+mhxx-save-format-community,2,7
10,Tail Blizzard,Tail Blizzard,mhxx-romfs-game-array+mhxx-dex-1.0+mhxx-save-format-community,4,5
11,Sawgun,Sawgun,mhxx-romfs-game-array+mhxx-dex-1.0+mhxx-save-format-community,4,6
12,Kut-Ku Anger,Kut-Ku Anger,mhxx-romfs-game-array+mhxx-dex-1.0+mhxx-save-format-community,1,8
13,Raven Do,Raven Do,mhxx-romfs-game-array+mhxx-dex-1.0+mhxx-save-format-community,3,7
14,Vile Do,Vile Do,mhxx-romfs-game-array+mhxx-dex-1.0+mhxx-save-format-community,5,6
15,Hunter's Rifle,Hunter's Rifle,mhxx-romfs-game-array+mhxx-dex-1.0+mhxx-save-format-community,1,11
16,Mandible Blaster,Mandible Blaster,mhxx-romfs-game-array+mhxx-dex-1.0+mhxx-save-format-community,4,6
17,Durambarrel,Durambarrel,mhxx-romfs-game-array+mhxx-dex-1.0+mhxx-save-format-community,6,5
18,Usurper's Crime,Usurper's Crime,mhxx-romfs-game-array+mhxx-dex-1.0+mhxx-save-format-community,3,8
19,Rasasa Bowgun,Rasasa Bowgun,mhxx-romfs-game-array+mhxx-dex-1.0+mhxx-save-format-community,3,6
20,Seditious Shot,Seditious Shot,mhxx-romfs-game-array+mhxx-dex-1.0+mhxx-save-format-community,6,6
21,Scale Tornado,Scale Tornado,mhxx-romfs-game-array+mhxx-dex-1.0+mhxx-save-format-community,2,6
22,Khezu Syringe,Khezu Syringe,mhxx-romfs-game-array+mhxx-dex-1.0+mhxx-save-format-community,2,7
23,Quill Burst,Quill Burst,mhxx-romfs-game-array+mhxx-dex-1.0+mhxx-save-format-community,1,9
24,Shotgun (White),Shotgun (White),mhxx-romfs-game-array+mhxx-dex-1.0+mhxx-save-format-community,1,8
25,Shotgun (Blood),Shotgun (Blood),mhxx-romfs-game-array+mhxx-dex-1.0+mhxx-save-format-community,4,5
26,Shotgun (Azure),Shotgun (Azure),mhxx-romfs-game-array+mhxx-dex-1.0+mhxx-save-format-community,4,6
27,Shotgun (Green),Shotgun (Green),mhxx-romfs-game-array+mhxx-dex-1.0+mhxx-save-format-community,4,5
28,Shotgun (Viper),Shotgun (Viper),mhxx-romfs-game-array+mhxx-dex-1.0+mhxx-save-format-community,2,6
29,Cross Bowgun,Cross Bowgun,mhxx-romfs-game-array+mhxx-dex-1.0+mhxx-save-format-community,1,11
30,Desert Storm,Desert Storm,mhxx-romfs-game-array+mhxx-dex-1.0+mhxx-save-format-community,4,5
31,Lava Storm,Lava Storm,mhxx-romfs-game-array+mhxx-dex-1.0+mhxx-save-format-community,5,6
32,Yakt Shooter,Yakt Shooter,mhxx-romfs-game-array+mhxx-dex-1.0+mhxx-save-format-community,2,6
33,Shell Shooter,Shell Shooter,mhxx-romfs-game-array+mhxx-dex-1.0+mhxx-save-format-community,4,5
34,Machine Strafer,Machine Strafer,mhxx-romfs-game-array+mhxx-dex-1.0+mhxx-save-format-community,6,6
