id,name,english,source,rarity,max_level
0,None,None,mhxx-save-format-community,0,0
1,Petrified Saber,Petrified Saber,mhxx-dex-1.0+mhxx-save-format-community,1,11
2,Obsidian Saber,Obsidian Saber,mhxx-dex-1.0+mhxx-save-format-community,3,8
3,Diapason,Diapason,mhxx-dex-1.0+mhxx-save-format-community,3,8
4,Guardian Sword,Guardian Sword,mhxx-dex-1.0+mhxx-save-format-community,3,7
5,Aqua Guardian,Aqua Guardian,mhxx-dex-1.0+mhxx-save-format-community,5,5
6,Chainslaughter,Chainslaughter,mhxx-dex-1.0+mhxx-save-format-community,4,6
7,Ivory Rabbit,Ivory Rabbit,mhxx-dex-1.0+mhxx-save-format-community,2,9
8,Mirage Finsword,Mirage Finsword,mhxx-dex-1.0+mhxx-save-format-community,3,6
9,Iron Katana,Iron Katana,mhxx-dex-1.0+mhxx-save-format-community,1,11
10,Hidden Saber,Hidden Saber,mhxx-dex-1.0+mhxx-save-format-community,2,8
11,Eager Cleaver,Eager Cleaver,mhxx-dex-1.0+mhxx-save-format-community,2,9
12,Wailing Ghost,Wailing Ghost,mhxx-dex-1.0+mhxx-save-format-community,5,5
13,Thunderclap,Thunderclap,mhxx-dex-1.0+mhxx-save-format-community,3,8
14,Imperial Saber,Imperial Saber,mhxx-dex-1.0+mhxx-save-format-community,3,7
15,Rimeblossom,Rimeblossom,mhxx-dex-1.0+mhxx-save-format-community,2,7
16,Yuki Ichimonji,Yuki Ichimonji,mhxx-dex-1.0+mhxx-save-format-community,5,5
17,Aikuchi,Aikuchi,mhxx-dex-1.0+mhxx-save-format-community,2,8
18,Toad Abetter,Toad Abetter,mhxx-dex-1.0+mhxx-save-format-community,5,6
19,Plume Sword,Plume Sword,mhxx-dex-1.0+mhxx-save-format-community,1,10
20,Liquid Fire Blade,Liquid Fire Blade,mhxx-dex-1.0+mhxx-save-format-community,4,5
21,Khanga Edge,Khanga Edge,mhxx-dex-1.0+mhxx-save-format-community,3,7
22,Seditious Edge,Seditious Edge,mhxx-dex-1.0+mhxx-save-format-community,6,6
23,Serrated Jaw,Serrated Jaw,mhxx-dex-1.0+mhxx-save-format-community,1,11
24,Dancing Flames,Dancing Flames,mhxx-dex-1.0+mhxx-save-format-community,6,6
25,Rusty Claymore,Rusty Claymore,mhxx-dex-1.0+mhxx-save-format-community,3,7
26,Canine Katana,Canine Katana,mhxx-dex-1.0+mhxx-save-format-community,4,6
27,"Bone Katana ""Wolf""","Bone Katana ""Wolf""",mhxx-dex-1.0+mhxx-save-format-community,2,9
28,Usurper's Boltslicer,Usurper's Boltslicer,mhxx-dex-1.0+mhxx-save-format-community,3,6
29,Tigrine Edge,Tigrine Edge,mhxx-dex-1.0+mhxx-save-format-community,3,7
30,Dios Katana,Dios Katana,mhxx-dex-1.0+mhxx-save-format-community,3,7
31,Demolition Katana,Demolition Katana,mhxx-dex-1.0+mhxx-save-format-community,6,6
32,"Wyvern Blade ""Verde""","Wyvern Blade ""Verde""",mhxx-dex-1.0+mhxx-save-format-community,3,8
33,"Wyvern Blade ""Flame""","Wyvern Blade ""Flame""",mhxx-dex-1.0+mhxx-save-format-community,5,6
34,"Wyvern Blade ""Blood""","Wyvern Blade ""Blood""",mhxx-dex-1.0+mhxx-save-format-community,3,7
35,"Wyvern Blade ""Pale""","Wyvern Blade ""Pale""",mhxx-dex-1.0+mhxx-save-format-community,7,5
36,Coiled Nail,Coiled Nail,mhxx-dex-1.0+mhxx-save-format-community,2,7
37,Coiled Saber,Coiled Saber,mhxx-dex-1.0+mhxx-save-format-community,5,5
38,Black Katana Mk.I,Black Katana Mk.I,mhxx-dex-1.0+mhxx-save-format-community,2,9
39,Bone,Bone,mhxx-dex-1.0+mhxx-save-format-community,1,9
40,Curviscera,Curviscera,mhxx-dex-1.0+mhxx-save-format-community,4,6
41,Bicurviscera,Bicurviscera,mhxx-dex-1.0+mhxx-save-format-community,5,6
42,Blango Destroyer,Blango Destroyer,mhxx-dex-1.0+mhxx-save-format-community,1,8
43,Blango Decimator,Blango Decimator,mhxx-dex-1.0+mhxx-save-format-community,2,7
44,Arzuros Naginata,Arzuros Naginata,mhxx-dex-1.0+mhxx-save-format-community,1,8
45,Demon Halberd,Demon Halberd,mhxx-dex-1.0+mhxx-save-format-community,6,6
46,Demonlord Katana,Demonlord Katana,mhxx-dex-1.0+mhxx-save-format-community,7,5
47,Daito Crow,Daito Crow,mhxx-dex-1.0+mhxx-save-format-community,3,7
48,Daito Bane,Daito Bane,mhxx-dex-1.0+mhxx-save-format-community,6,5
49,Drowning Shaft,Drowning Shaft,mhxx-dex-1.0+mhxx-save-format-community,2,8
50,Anteka Blade,Anteka Blade,mhxx-dex-1.0+mhxx-save-format-community,1,7
51,Dark Scythe,Dark Scythe,mhxx-dex-1.0+mhxx-save-format-community,1,9
52,Scythe of Menace,Scythe of Menace,mhxx-dex-1.0+mhxx-save-format-community,2,6
53,Mountain Reaper,Mountain Reaper,mhxx-dex-1.0+mhxx-save-format-community,6,5
54,Crab Cutter,Crab Cutter,mhxx-dex-1.0+mhxx-save-format-community,2,8
55,Plesioth Splasher,Plesioth Splasher,mhxx-dex-1.0+mhxx-save-format-community,4,6
56,Shogun Cutter,Shogun Cutter,mhxx-dex-1.0+mhxx-save-format-community,2,7
57,Shogun Splitter,Shogun Splitter,mhxx-dex-1.0+mhxx-save-format-community,5,6
58,"Wyvern Blade ""Beryl""","Wyvern Blade ""Beryl""",mhxx-dex-1.0+mhxx-save-format-community,3,9
59,Giant's Tower,Giant's Tower,mhxx-dex-1.0+mhxx-save-format-community,3,9
60,Kakaru Kumo Naki,Kakaru Kumo Naki,mhxx-dex-1.0+mhxx-save-format-community,3,9
61,Billowing Luger,Billowing Luger,mhxx-dex-1.0+mhxx-save-format-community,3,9
62,Stahlfakt,Stahlfakt,mhxx-dex-1.0+mhxx-save-format-community,3,7
63,La Justicière,La Justicière,mhxx-dex-1.0+mhxx-save-format-community,3,8
64,"Reaver ""Cruelty""","Reaver ""Cruelty""",mhxx-dex-1.0+mhxx-save-format-community,6,5
65,Consummate Katana,Consummate Katana,mhxx-dex-1.0+mhxx-save-format-community,7,5
66,Skeletal Sword,Skeletal Sword,mhxx-dex-1.0+mhxx-save-format-community,3,7
