id,name,english,source,rarity,max_level
0,None,None,mhxx-romfs-game-array,0,0
1,Petrified Axe,Petrified Axe,mhxx-romfs-game-array+mhxx-dex-1.0+mhxx-save-format-community,1,11
2,Obsidian Axe,Obsidian Axe,mhxx-romfs-game-array+mhxx-dex-1.0+mhxx-save-format-community,3,8
3,Heavy Divider,Heavy Divider,mhxx-romfs-game-array+mhxx-dex-1.0+mhxx-save-format-community,6,5
4,Bolt Axe,Bolt Axe,mhxx-romfs-game-array+mhxx-dex-1.0+mhxx-save-format-community,3,7
5,Volt Axe,Volt Axe,mhxx-romfs-game-array+mhxx-dex-1.0+mhxx-save-format-community,6,6
6,Reckless Hatchet,Reckless Hatchet,mhxx-romfs-game-array+mhxx-dex-1.0+mhxx-save-format-community,2,8
7,Arzuros Axe,Arzuros Axe,mhxx-romfs-game-array+mhxx-dex-1.0+mhxx-save-format-community,1,8
8,Dios Axe,Dios Axe,mhxx-romfs-game-array+mhxx-dex-1.0+mhxx-save-format-community,3,7
9,Demolition Axe,Demolition Axe,mhxx-romfs-game-array+mhxx-dex-1.0+mhxx-save-format-community,6,6
10,Motor Burst,Motor Burst,mhxx-romfs-game-array+mhxx-dex-1.0+mhxx-save-format-community,3,7
11,Iron Axe,Iron Axe,mhxx-romfs-game-array+mhxx-dex-1.0+mhxx-save-format-community,1,11
12,Elite Switch Axe,Elite Switch Axe,mhxx-romfs-game-array+mhxx-dex-1.0+mhxx-save-format-community,3,8
13,Notched Doom,Notched Doom,mhxx-romfs-game-array+mhxx-dex-1.0+mhxx-save-format-community,4,6
14,Notched Tyrant,Notched Tyrant,mhxx-romfs-game-array+mhxx-dex-1.0+mhxx-save-format-community,5,5
15,General's Strongaxe,General's Strongaxe,mhxx-romfs-game-array+mhxx-dex-1.0+mhxx-save-format-community,4,5
16,Aksa Switch,Aksa Switch,mhxx-romfs-game-array+mhxx-dex-1.0+mhxx-save-format-community,3,7
17,Seditious Axe,Seditious Axe,mhxx-romfs-game-array+mhxx-dex-1.0+mhxx-save-format-community,6,6
18,Dragonmaiden Axe,Dragonmaiden Axe,mhxx-romfs-game-array+mhxx-dex-1.0+mhxx-save-format-community,3,7
